Samples	ID83A	ID83B	ID83C
PGENE_1T	1.00E+00	6.79E-01	8.47E-01
PGENE_2T	1.17E+00	8.47E-03	1.17E+00
PGENE_4T	1.42E+00	9.48E-01	1.17E+00
PGENE_5T	1.90E+00	9.14E-01	2.16E+00
PGENE_6T	1.56E+00	3.31E-01	1.68E+00
PGENE_8T	1.31E+00	5.60E-01	1.45E+00
PGENE_9T	1.67E+00	4.14E-01	1.82E+00
PGENE_10T	1.40E+00	3.45E-01	1.49E+00
AC_WGS_1T	2.08E+00	8.67E-01	2.30E+00
AC_WGS_2T	3.34E+00	2.43E+00	2.07E+00
AC_WGS_4	1.93E+00	5.93E-01	2.12E+00
AC_WGS_5	3.14E+00	2.18E+00	1.77E+00
AC_WGS_6	2.23E+00	1.39E+00	2.03E+00
AC_WGS_9T	1.02E+00	1.02E+00	1.14E-01
AC_WGS_10	2.02E+00	9.69E-01	2.27E+00
AC_WGS_44	1.51E+00	0.00E+00	1.51E+00
AC_WGS_12	1.85E+00	4.71E-01	2.00E+00
AC_WGS_13T	1.92E+00	1.20E+00	2.00E+00
AC_WGS_15	2.68E+00	4.34E-01	2.88E+00
AC_WGS_17	1.78E+00	5.41E-01	1.93E+00
AC_WGS_18T	2.79E+00	4.90E-02	2.79E+00
AC_WGS_20T	2.54E+00	4.26E-02	2.54E+00
AC_WGS_22	1.73E+00	9.93E-01	1.78E+00
AC_WGS_23	2.58E+00	1.78E+00	2.16E+00
AC_WGS_24	1.71E+00	1.58E-01	1.74E+00
AC_WGS_25	1.79E+00	4.04E-01	1.91E+00
AC_WGS_26	2.71E+00	3.08E-01	2.81E+00
AC_WGS_27	2.05E+00	5.89E-01	2.28E+00
AC_WGS_30	2.06E+00	1.26E+00	1.79E+00
AC_WGS_31	1.64E+00	2.05E-01	1.68E+00
AC_WGS_32	1.45E+00	1.24E+00	1.02E+00
AC_WGS_33	3.34E+00	2.42E+00	2.07E+00
AC_WGS_34	1.62E+00	1.04E+00	1.62E+00
AC_WGS_35	7.10E-01	2.56E-01	7.21E-01
AC_WGS_36	2.45E+00	1.10E+00	2.67E+00
AC_WGS_39	1.63E+00	1.22E+00	1.26E+00
AC_WGS_40	2.37E+00	1.20E-01	2.39E+00
AC_WGS_41	2.48E+00	1.79E+00	1.74E+00
AC_WGS_42	2.59E+00	9.05E-02	2.61E+00
AC_WGS_43	2.66E+00	1.76E-01	2.70E+00
AC_WGS_45	1.73E+00	2.60E-02	1.73E+00
AC_WGS_46	2.44E+00	5.99E-02	2.44E+00
AC_WGS_49	1.79E+00	7.40E-01	2.01E+00
AC_WGS_50	2.15E+00	1.60E+00	2.06E+00
AC_WGS_51	1.91E+00	6.62E-01	2.12E+00
AC_WGS_52	1.82E+00	9.68E-01	1.94E+00
AC_WGS_53	2.29E+00	2.63E-01	2.32E+00
AC_WGS_11	2.23E+00	7.17E-01	2.47E+00
AC_WGS_37	2.03E+00	3.20E-01	2.14E+00
RC596TH1	2.19E+00	5.49E-01	2.31E+00
RC597TH1	3.19E+00	7.41E-02	3.18E+00
RC598TH1	1.33E+00	2.99E-01	1.35E+00
RC599TH1	6.61E-01	6.58E-01	9.68E-01
RC602TH1	2.62E+00	4.02E-01	2.60E+00
RC603TH1	5.52E+00	3.60E+00	2.47E+00
