MutationType	ID83A	ID83B	ID83C
1:Del:C:0	1.22E-10	5.56E-10	1.10E-09
1:Del:C:1	3.08E-06	6.18E-04	1.45E-04
1:Del:C:2	1.43E-06	1.72E-04	5.72E-05
1:Del:C:3	2.68E-10	8.81E-05	3.45E-05
1:Del:C:4	5.95E-10	5.33E-05	1.16E-05
1:Del:C:5	7.21E-06	5.52E-05	3.72E-05
1:Del:T:0	1.22E-10	5.56E-10	1.10E-09
1:Del:T:1	7.73E-06	3.44E-04	6.74E-05
1:Del:T:2	2.73E-06	2.35E-04	9.22E-05
1:Del:T:3	2.80E-06	1.91E-04	3.02E-05
1:Del:T:4	3.30E-06	1.67E-04	7.26E-05
1:Del:T:5	1.51E-04	6.45E-04	1.12E-03
1:Ins:C:0	6.22E-06	8.23E-05	2.95E-05
1:Ins:C:1	3.12E-06	6.39E-05	3.40E-05
1:Ins:C:2	1.99E-06	4.79E-05	5.58E-06
1:Ins:C:3	2.28E-06	4.04E-05	9.92E-06
1:Ins:C:4	4.96E-07	4.62E-05	1.25E-05
1:Ins:C:5	8.44E-06	1.81E-04	2.16E-05
1:Ins:T:0	1.30E-05	1.04E-04	1.61E-05
1:Ins:T:1	8.38E-06	1.94E-04	3.82E-05
1:Ins:T:2	8.82E-06	1.11E-04	5.32E-05
1:Ins:T:3	7.58E-06	9.71E-05	4.05E-05
1:Ins:T:4	6.39E-06	9.91E-05	3.33E-05
1:Ins:T:5	2.96E-04	4.13E-03	2.71E-03
2:Del:R:0	1.77E-04	1.96E-04	1.10E-03
2:Del:R:1	1.21E-07	3.67E-05	1.62E-05
2:Del:R:2	2.71E-10	2.17E-05	1.86E-05
2:Del:R:3	1.29E-06	9.49E-07	1.10E-05
2:Del:R:4	7.99E-10	4.81E-06	2.92E-06
2:Del:R:5	4.18E-06	1.57E-05	3.71E-06
3:Del:R:0	1.62E-05	1.11E-04	1.09E-04
3:Del:R:1	4.58E-06	3.52E-05	2.41E-05
3:Del:R:2	9.01E-07	1.43E-05	3.96E-06
3:Del:R:3	1.22E-10	5.56E-10	1.10E-09
3:Del:R:4	7.66E-10	4.94E-06	9.65E-07
3:Del:R:5	1.22E-10	5.56E-10	1.10E-09
4:Del:R:0	7.86E-06	1.05E-04	5.43E-05
4:Del:R:1	1.44E-07	1.30E-05	8.63E-06
4:Del:R:2	9.77E-07	2.83E-06	1.93E-06
4:Del:R:3	1.22E-10	5.56E-10	1.10E-09
4:Del:R:4	1.22E-10	5.56E-10	1.10E-09
4:Del:R:5	1.22E-10	5.56E-10	1.10E-09
5:Del:R:0	5.08E-06	2.84E-04	7.47E-05
5:Del:R:1	8.65E-10	5.08E-06	2.84E-09
5:Del:R:2	1.22E-10	5.56E-10	1.10E-09
5:Del:R:3	1.22E-10	5.56E-10	1.10E-09
5:Del:R:4	1.22E-10	5.56E-10	1.10E-09
5:Del:R:5	1.22E-10	5.56E-10	1.10E-09
2:Ins:R:0	1.02E-05	1.04E-04	5.36E-05
2:Ins:R:1	5.02E-07	7.55E-05	3.62E-05
2:Ins:R:2	4.54E-06	3.95E-05	2.02E-05
2:Ins:R:3	1.64E-06	2.20E-05	8.09E-06
2:Ins:R:4	3.88E-06	3.14E-05	2.26E-05
2:Ins:R:5	3.16E-05	2.30E-04	1.20E-04
3:Ins:R:0	4.70E-06	4.10E-05	5.59E-06
3:Ins:R:1	1.73E-06	5.88E-05	2.59E-05
3:Ins:R:2	1.49E-06	1.69E-05	9.59E-06
3:Ins:R:3	1.22E-10	5.56E-10	1.10E-09
3:Ins:R:4	3.58E-08	2.44E-06	4.02E-06
3:Ins:R:5	2.59E-06	2.38E-05	1.81E-05
4:Ins:R:0	1.05E-06	3.68E-05	1.13E-05
4:Ins:R:1	5.27E-07	6.67E-05	7.57E-06
4:Ins:R:2	1.22E-07	1.03E-05	6.87E-06
4:Ins:R:3	1.22E-10	5.56E-10	1.10E-09
4:Ins:R:4	3.14E-07	1.01E-05	7.40E-06
4:Ins:R:5	2.93E-07	1.78E-05	8.19E-06
5:Ins:R:0	9.26E-07	6.35E-05	2.43E-05
5:Ins:R:1	2.64E-06	9.60E-05	3.38E-05
5:Ins:R:2	6.23E-10	8.63E-07	6.21E-06
5:Ins:R:3	6.48E-07	1.64E-06	1.67E-06
5:Ins:R:4	5.99E-10	7.60E-06	2.28E-09
5:Ins:R:5	1.95E-08	5.01E-06	5.07E-07
2:Del:M:1	5.53E-06	1.11E-04	2.47E-05
3:Del:M:1	2.13E-05	9.97E-05	1.22E-04
3:Del:M:2	9.45E-06	4.93E-05	5.77E-05
4:Del:M:1	8.17E-06	8.27E-05	5.46E-05
4:Del:M:2	8.67E-06	4.81E-05	3.73E-05
4:Del:M:3	1.61E-06	2.39E-05	1.63E-05
5:Del:M:1	7.18E-10	1.90E-04	7.00E-05
5:Del:M:2	9.42E-07	7.16E-05	6.71E-06
5:Del:M:3	2.77E-06	3.95E-05	1.74E-05
5:Del:M:4	6.51E-07	1.46E-05	5.10E-06
5:Del:M:5	1.86E-07	1.43E-05	8.61E-06
