Samples	ID83A	ID83B	ID83C	ID83D
PGENE_1T	633	20	158	0
PGENE_2T	982	23	0	0
PGENE_4T	897	0	101	77
PGENE_5T	327	287	309	0
PGENE_6T	548	137	90	0
PGENE_8T	294	155	195	0
PGENE_9T	721	113	122	0
PGENE_10T	925	61	109	0
AC_WGS_1T	1083	157	211	0
AC_WGS_2T	1036	53	0	460
AC_WGS_4	954	156	204	0
AC_WGS_5	749	186	585	0
AC_WGS_6	1278	103	359	25
AC_WGS_9T	1419	0	366	0
AC_WGS_10	546	342	315	0
AC_WGS_44	1239	62	0	0
AC_WGS_12	925	123	0	22
AC_WGS_13T	966	136	0	171
AC_WGS_15	1396	92	0	23
AC_WGS_17	1088	87	0	85
AC_WGS_18T	1218	160	0	0
AC_WGS_20T	963	170	13	0
AC_WGS_22	510	237	289	0
AC_WGS_23	742	294	523	0
AC_WGS_24	437	147	0	0
AC_WGS_25	1190	75	0	23
AC_WGS_26	984	195	0	0
AC_WGS_27	1002	152	0	99
AC_WGS_30	795	179	384	0
AC_WGS_31	1566	0	0	0
AC_WGS_32	1291	45	270	0
AC_WGS_33	970	89	0	463
AC_WGS_34	1533	0	56	79
AC_WGS_35	1278	15	69	0
AC_WGS_36	1314	206	340	0
AC_WGS_39	1470	50	313	0
AC_WGS_40	848	218	42	0
AC_WGS_41	1295	2	0	253
AC_WGS_42	854	184	0	0
AC_WGS_43	1281	145	0	0
AC_WGS_45	1158	71	6	0
AC_WGS_46	1092	136	41	0
AC_WGS_49	775	159	64	66
AC_WGS_50	632	215	0	289
AC_WGS_51	883	159	168	0
AC_WGS_52	518	253	306	0
AC_WGS_53	764	221	0	0
AC_WGS_11	860	268	189	0
AC_WGS_37	959	125	4	21
RC596TH1	188	362	0	48
RC597TH1	172	406	33	0
RC598TH1	95	195	0	13
RC599TH1	5	286	54	89
RC602TH1	151	399	0	9
RC603TH1	429	14	0	676
