Samples	ID83A	ID83B	ID83C	ID83D
PGENE_1T	2.46E+00	8.66E-01	1.03E+00	2.64E+00
PGENE_2T	4.00E-01	2.73E-01	1.82E+00	1.87E+00
PGENE_4T	3.17E+00	1.51E+00	1.45E+00	3.12E+00
PGENE_5T	4.22E+00	1.65E+00	2.50E+00	4.44E+00
PGENE_6T	1.11E+00	5.37E-01	1.97E+00	2.17E+00
PGENE_8T	2.56E+00	1.17E+00	1.95E+00	2.94E+00
PGENE_9T	1.75E+00	6.37E-01	1.91E+00	2.34E+00
PGENE_10T	1.47E+00	6.25E-01	1.78E+00	2.18E+00
AC_WGS_1T	3.65E+00	1.50E+00	2.46E+00	4.10E+00
AC_WGS_2T	1.09E+01	6.17E+00	4.60E+00	9.15E+00
AC_WGS_4	2.78E+00	1.10E+00	2.49E+00	3.51E+00
AC_WGS_5	6.70E+00	2.39E+00	3.65E+00	8.68E+00
AC_WGS_6	3.90E+00	1.47E+00	2.41E+00	4.86E+00
AC_WGS_9T	4.31E+00	1.27E+00	6.14E-01	4.22E+00
AC_WGS_10	4.34E+00	1.67E+00	2.52E+00	4.50E+00
AC_WGS_44	9.63E-01	3.32E-01	2.35E+00	2.53E+00
AC_WGS_12	1.64E+00	1.18E+00	2.27E+00	2.66E+00
AC_WGS_13T	3.15E+00	1.69E+00	2.30E+00	3.75E+00
AC_WGS_15	1.65E+00	8.45E-01	3.17E+00	3.27E+00
AC_WGS_17	1.88E+00	9.77E-01	2.45E+00	2.88E+00
AC_WGS_18T	1.34E+00	7.98E-01	3.40E+00	3.61E+00
AC_WGS_20T	1.20E+00	4.84E-01	3.09E+00	3.24E+00
AC_WGS_22	3.70E+00	1.40E+00	2.34E+00	4.38E+00
AC_WGS_23	7.43E+00	3.06E+00	3.76E+00	8.80E+00
AC_WGS_24	4.71E-01	2.89E-01	1.93E+00	1.90E+00
AC_WGS_25	1.94E+00	1.08E+00	2.21E+00	2.63E+00
AC_WGS_26	1.29E+00	1.33E+00	3.31E+00	3.58E+00
AC_WGS_27	2.27E+00	1.21E+00	2.83E+00	3.45E+00
AC_WGS_30	6.23E+00	2.29E+00	3.10E+00	7.32E+00
AC_WGS_31	1.36E+00	9.52E-01	2.37E+00	2.67E+00
AC_WGS_32	4.33E+00	1.48E+00	1.84E+00	4.97E+00
AC_WGS_33	8.86E+00	5.33E+00	3.98E+00	7.26E+00
AC_WGS_34	3.79E+00	1.53E+00	2.13E+00	4.30E+00
AC_WGS_35	1.58E+00	6.49E-01	1.15E+00	1.90E+00
AC_WGS_36	4.50E+00	1.88E+00	2.97E+00	5.11E+00
AC_WGS_39	5.13E+00	2.01E+00	2.27E+00	5.73E+00
AC_WGS_40	9.41E-01	6.42E-01	2.88E+00	3.07E+00
AC_WGS_41	4.10E+00	1.92E+00	2.45E+00	5.25E+00
AC_WGS_42	7.80E-01	3.93E-01	3.23E+00	3.27E+00
AC_WGS_43	1.48E+00	9.49E-01	3.22E+00	3.48E+00
AC_WGS_45	8.23E-01	5.11E-01	2.47E+00	2.60E+00
AC_WGS_46	9.42E-01	3.81E-01	2.99E+00	3.11E+00
AC_WGS_49	2.82E+00	1.18E+00	2.28E+00	3.49E+00
AC_WGS_50	7.14E+00	3.97E+00	3.80E+00	6.41E+00
AC_WGS_51	2.10E+00	9.69E-01	2.33E+00	2.85E+00
AC_WGS_52	2.95E+00	1.17E+00	2.28E+00	3.59E+00
AC_WGS_53	4.96E-01	4.57E-01	2.83E+00	2.85E+00
AC_WGS_11	2.86E+00	1.26E+00	2.97E+00	3.78E+00
AC_WGS_37	1.33E+00	4.73E-01	2.49E+00	2.73E+00
RC596TH1	2.22E+00	1.20E+00	2.26E+00	2.29E+00
RC597TH1	6.61E-01	2.07E-01	3.56E+00	3.66E+00
RC598TH1	6.12E-01	3.96E-01	1.50E+00	1.58E+00
RC599TH1	1.52E+00	1.07E+00	1.07E+00	3.95E-01
RC602TH1	8.88E-01	6.24E-01	2.94E+00	3.08E+00
RC603TH1	7.58E+00	5.89E+00	3.84E+00	5.36E+00
