Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
PGENE_1T	811	1.0	66.296	8.175%	15.246	2.968%	0.0366
PGENE_2T	1005	1.0	47.942	4.77%	19.694	2.893%	0.0143
PGENE_4T	1075	1.0	73.533	6.84%	14.257	2.147%	0.0299
PGENE_5T	923	0.997	143.901	15.591%	40.489	8.213%	0.0478
PGENE_6T	775	1.0	66.427	8.571%	18.765	3.896%	0.0349
PGENE_8T	644	0.996	118.54	18.407%	37.051	9.975%	0.0629
PGENE_9T	956	0.999	99.403	10.398%	30.425	4.981%	0.035
PGENE_10T	1095	0.999	107.371	9.806%	34.201	4.716%	0.0364
AC_WGS_1T	1451	1.0	74.736	5.151%	14.734	1.665%	0.0198
AC_WGS_2T	1549	0.998	236.088	15.241%	57.282	7.054%	0.0428
AC_WGS_4	1314	0.999	146.094	11.118%	45.539	5.458%	0.0313
AC_WGS_5	1520	1.0	122.295	8.046%	25.861	3.124%	0.0182
AC_WGS_6	1765	1.0	80.85	4.581%	14.199	1.32%	0.0148
AC_WGS_9T	1785	1.0	162.525	9.105%	63.132	5.332%	0.0224
AC_WGS_10	1203	0.999	118.244	9.829%	27.083	4.059%	0.0292
AC_WGS_44	1301	1.0	47.402	3.644%	13.058	1.492%	0.0136
AC_WGS_12	1070	0.999	99.437	9.293%	32.184	4.836%	0.0349
AC_WGS_13T	1273	0.999	115.918	9.106%	28.963	4.033%	0.0244
AC_WGS_15	1511	1.0	76.274	5.048%	18.184	1.857%	0.0242
AC_WGS_17	1260	1.0	57.088	4.531%	11.348	1.432%	0.02
AC_WGS_18T	1378	0.999	88.46	6.419%	35.741	4.008%	0.0156
AC_WGS_20T	1146	1.0	29.262	2.553%	6.565	0.895%	0.0152
AC_WGS_22	1036	1.0	95.088	9.178%	19.03	3.281%	0.0366
AC_WGS_23	1559	1.0	123.941	7.95%	24.244	2.849%	0.025
AC_WGS_24	584	1.0	34.582	5.922%	10.229	2.858%	0.0317
AC_WGS_25	1288	1.0	86.595	6.723%	26.0	3.115%	0.0252
AC_WGS_26	1179	0.997	125.842	10.674%	59.377	8.006%	0.031
AC_WGS_27	1253	1.0	76.214	6.083%	17.781	2.31%	0.024
AC_WGS_30	1358	0.999	109.317	8.05%	26.3	3.343%	0.0254
AC_WGS_31	1566	1.0	75.267	4.806%	27.557	2.579%	0.0161
AC_WGS_32	1606	1.0	88.688	5.522%	16.737	1.664%	0.0192
AC_WGS_33	1522	0.999	227.067	14.919%	59.978	7.569%	0.0323
AC_WGS_34	1668	1.0	126.274	7.57%	34.856	3.296%	0.0233
AC_WGS_35	1362	1.0	61.715	4.531%	15.661	1.704%	0.0197
AC_WGS_36	1860	1.0	116.592	6.268%	29.156	2.576%	0.0189
AC_WGS_39	1833	1.0	91.862	5.012%	18.712	1.621%	0.018
AC_WGS_40	1108	1.0	66.361	5.989%	16.916	2.422%	0.0281
AC_WGS_41	1550	0.999	130.812	8.439%	34.411	3.869%	0.0194
AC_WGS_42	1038	1.0	49.273	4.747%	13.055	1.96%	0.0185
AC_WGS_43	1426	1.0	54.118	3.795%	17.807	1.917%	0.0112
AC_WGS_45	1235	1.0	42.829	3.468%	12.335	1.49%	0.0133
AC_WGS_46	1269	1.0	49.187	3.876%	12.437	1.509%	0.0187
AC_WGS_49	1064	1.0	69.972	6.576%	13.22	2.107%	0.0333
AC_WGS_50	1136	0.999	146.156	12.866%	35.039	6.111%	0.0378
AC_WGS_51	1210	0.999	99.86	8.253%	33.141	4.403%	0.0201
AC_WGS_52	1077	0.999	112.128	10.411%	30.045	4.918%	0.0264
AC_WGS_53	985	1.0	41.513	4.215%	9.457	1.541%	0.0216
AC_WGS_11	1317	1.0	64.606	4.906%	11.831	1.508%	0.0196
AC_WGS_37	1109	1.0	46.846	4.224%	11.128	1.553%	0.0218
RC596TH1	598	0.999	81.431	13.617%	18.786	6.312%	0.0581
RC597TH1	611	0.999	55.317	9.054%	16.413	4.876%	0.0384
RC598TH1	303	0.998	41.23	13.607%	11.679	7.583%	0.0619
RC599TH1	434	0.998	58.249	13.421%	11.067	6.012%	0.0612
RC602TH1	559	0.999	50.66	9.063%	14.473	4.987%	0.0373
RC603TH1	1119	0.997	152.278	13.608%	33.123	8.379%	0.0322
