MutationType	ID83A	ID83B	ID83C	ID83D
1:Del:C:0	1.11E-09	1.36E-09	1.19E-09	2.25E-10
1:Del:C:1	1.32E-03	1.95E-03	1.60E-04	4.66E-06
1:Del:C:2	2.53E-04	2.57E-04	7.02E-05	1.16E-06
1:Del:C:3	1.34E-04	1.88E-04	3.97E-05	2.61E-10
1:Del:C:4	9.74E-05	1.09E-04	1.59E-05	5.04E-10
1:Del:C:5	7.86E-05	1.23E-04	3.48E-05	8.28E-06
1:Del:T:0	1.11E-09	1.36E-09	1.19E-09	2.25E-10
1:Del:T:1	6.47E-04	8.67E-04	7.86E-05	8.46E-06
1:Del:T:2	3.45E-04	3.64E-04	1.17E-04	2.49E-06
1:Del:T:3	2.89E-04	3.27E-04	3.15E-05	2.41E-06
1:Del:T:4	3.00E-04	3.24E-04	8.95E-05	3.17E-06
1:Del:T:5	1.85E-03	2.13E-03	1.29E-03	2.50E-04
1:Ins:C:0	1.37E-04	1.83E-04	3.12E-05	7.05E-06
1:Ins:C:1	1.16E-04	1.67E-04	3.17E-05	2.83E-06
1:Ins:C:2	9.29E-05	1.24E-04	4.41E-06	1.70E-06
1:Ins:C:3	9.75E-05	1.29E-04	1.29E-05	1.79E-06
1:Ins:C:4	9.46E-05	1.13E-04	1.68E-05	4.21E-07
1:Ins:C:5	6.25E-04	7.75E-04	2.35E-05	1.07E-05
1:Ins:T:0	1.88E-04	2.56E-04	1.28E-05	1.47E-05
1:Ins:T:1	3.18E-04	4.17E-04	3.31E-05	8.94E-06
1:Ins:T:2	1.66E-04	2.02E-04	5.67E-05	9.46E-06
1:Ins:T:3	1.88E-04	2.19E-04	4.24E-05	8.05E-06
1:Ins:T:4	1.64E-04	1.74E-04	3.29E-05	6.94E-06
1:Ins:T:5	6.07E-03	3.36E-03	3.39E-03	5.20E-04
2:Del:R:0	1.48E-03	1.82E-03	1.45E-03	3.22E-04
2:Del:R:1	5.24E-05	7.47E-05	1.87E-05	1.44E-07
2:Del:R:2	2.63E-05	4.33E-05	1.55E-05	6.22E-08
2:Del:R:3	4.69E-06	4.88E-06	1.16E-05	1.33E-06
2:Del:R:4	5.90E-06	9.70E-06	1.87E-06	7.41E-10
2:Del:R:5	2.70E-05	2.86E-05	5.08E-06	4.98E-06
3:Del:R:0	2.37E-04	2.82E-04	1.16E-04	1.87E-05
3:Del:R:1	8.19E-05	9.84E-05	3.01E-05	4.76E-06
3:Del:R:2	2.09E-05	3.07E-05	3.29E-06	5.03E-07
3:Del:R:3	1.11E-09	1.36E-09	1.19E-09	2.25E-10
3:Del:R:4	6.43E-06	9.85E-06	1.03E-06	6.73E-10
3:Del:R:5	1.11E-09	1.36E-09	1.19E-09	2.25E-10
4:Del:R:0	2.20E-04	2.76E-04	6.82E-05	9.33E-06
4:Del:R:1	2.38E-05	3.26E-05	8.82E-06	1.09E-07
4:Del:R:2	1.07E-05	1.49E-05	1.17E-06	5.89E-07
4:Del:R:3	1.11E-09	1.36E-09	1.19E-09	2.25E-10
4:Del:R:4	1.11E-09	1.36E-09	1.19E-09	2.25E-10
4:Del:R:5	1.11E-09	1.36E-09	1.19E-09	2.25E-10
5:Del:R:0	4.44E-04	4.70E-04	7.99E-05	5.10E-06
5:Del:R:1	5.12E-06	9.49E-06	2.84E-09	7.93E-10
5:Del:R:2	1.11E-09	1.36E-09	1.19E-09	2.25E-10
5:Del:R:3	1.11E-09	1.36E-09	1.19E-09	2.25E-10
5:Del:R:4	1.11E-09	1.36E-09	1.19E-09	2.25E-10
5:Del:R:5	1.11E-09	1.36E-09	1.19E-09	2.25E-10
2:Ins:R:0	1.89E-04	2.23E-04	5.49E-05	1.08E-05
2:Ins:R:1	1.33E-04	1.58E-04	4.46E-05	3.54E-07
2:Ins:R:2	8.43E-05	9.69E-05	2.24E-05	4.90E-06
2:Ins:R:3	3.35E-05	4.75E-05	7.18E-06	1.45E-06
2:Ins:R:4	4.26E-05	5.66E-05	2.28E-05	4.29E-06
