Samples	ID83A	ID83B	ID83C	ID83D	ID83E
PGENE_1T	503	260	48	0	0
PGENE_2T	971	0	34	0	0
PGENE_4T	844	56	0	175	0
PGENE_5T	0	575	348	0	0
PGENE_6T	417	193	165	0	0
PGENE_8T	54	392	198	0	0
PGENE_9T	540	265	151	0	0
PGENE_10T	753	245	97	0	0
AC_WGS_1T	1075	167	139	0	70
AC_WGS_2T	639	116	127	667	0
AC_WGS_4	689	415	210	0	0
AC_WGS_5	929	290	55	0	246
AC_WGS_6	1174	302	97	192	0
AC_WGS_9T	1292	493	0	0	0
AC_WGS_10	241	555	407	0	0
AC_WGS_44	1226	0	75	0	0
AC_WGS_12	911	0	131	0	28
AC_WGS_13T	964	0	118	0	191
AC_WGS_15	1365	0	109	37	0
AC_WGS_17	1016	0	106	138	0
AC_WGS_18T	1198	0	178	0	2
AC_WGS_20T	915	42	189	0	0
AC_WGS_22	260	486	290	0	0
AC_WGS_23	457	712	332	0	58
AC_WGS_24	427	0	157	0	0
AC_WGS_25	1174	0	84	0	30
AC_WGS_26	964	0	215	0	0
AC_WGS_27	920	0	172	161	0
AC_WGS_30	746	356	151	0	105
AC_WGS_31	1557	0	9	0	0
AC_WGS_32	1270	218	26	38	54
AC_WGS_33	506	200	184	632	0
AC_WGS_34	1541	34	0	0	93
AC_WGS_35	1268	56	17	0	21
AC_WGS_36	970	610	280	0	0
AC_WGS_39	1371	350	53	0	59
AC_WGS_40	774	91	243	0	0
AC_WGS_41	1254	0	0	104	192
AC_WGS_42	839	0	199	0	0
AC_WGS_43	1260	0	160	0	6
AC_WGS_45	1093	50	92	0	0
AC_WGS_46	1016	93	160	0	0
AC_WGS_49	762	0	152	119	31
AC_WGS_50	392	48	262	434	0
AC_WGS_51	640	362	208	0	0
AC_WGS_52	224	540	313	0	0
AC_WGS_53	749	0	236	0	0
AC_WGS_11	679	325	313	0	0
AC_WGS_37	867	84	158	0	0
RC596TH1	172	0	360	0	66
RC597TH1	59	122	430	0	0
RC598TH1	85	0	199	0	19
RC599TH1	43	0	251	0	140
RC602TH1	131	0	409	0	19
RC603TH1	241	0	0	497	381
