Samples	ID83A	ID83B	ID83C	ID83D	ID83E
PGENE_1T	4.54E+00	1.08E+00	1.50E+00	4.72E+00	1.73E+00
PGENE_2T	2.23E+00	9.88E-02	2.33E+00	3.58E+00	2.94E-01
PGENE_4T	5.03E+00	1.35E+00	1.75E+00	5.05E+00	3.00E+00
PGENE_5T	6.22E+00	2.05E+00	3.70E+00	6.47E+00	3.70E+00
PGENE_6T	2.36E+00	5.55E-01	1.91E+00	2.88E+00	1.26E+00
PGENE_8T	4.49E+00	1.25E+00	2.28E+00	4.46E+00	2.84E+00
PGENE_9T	3.18E+00	7.61E-01	2.01E+00	3.66E+00	1.51E+00
PGENE_10T	3.12E+00	7.19E-01	2.06E+00	3.82E+00	1.42E+00
AC_WGS_1T	4.78E+00	1.22E+00	3.09E+00	5.88E+00	2.36E+00
AC_WGS_2T	1.07E+01	5.27E+00	4.89E+00	1.07E+01	1.10E+01
AC_WGS_4	5.85E+00	1.32E+00	2.95E+00	6.13E+00	2.85E+00
AC_WGS_5	7.99E+00	2.59E+00	4.01E+00	1.01E+01	4.53E+00
AC_WGS_6	6.34E+00	1.48E+00	3.26E+00	7.70E+00	2.76E+00
AC_WGS_9T	7.71E+00	1.32E+00	1.86E+00	8.00E+00	2.86E+00
AC_WGS_10	5.51E+00	2.00E+00	3.12E+00	6.18E+00	2.87E+00
AC_WGS_44	2.55E+00	1.48E-01	3.00E+00	4.47E+00	4.14E-01
AC_WGS_12	2.77E+00	7.92E-01	2.52E+00	3.89E+00	1.22E+00
AC_WGS_13T	4.61E+00	1.72E+00	2.76E+00	5.36E+00	2.68E+00
AC_WGS_15	4.75E+00	8.71E-01	3.44E+00	5.75E+00	2.13E+00
AC_WGS_17	3.30E+00	8.70E-01	2.49E+00	4.21E+00	1.68E+00
AC_WGS_18T	2.71E+00	2.86E-01	3.80E+00	5.00E+00	9.75E-01
AC_WGS_20T	1.94E+00	2.71E-01	3.46E+00	4.29E+00	5.32E-01
AC_WGS_22	5.71E+00	1.60E+00	3.09E+00	6.57E+00	3.01E+00
AC_WGS_23	8.31E+00	2.68E+00	4.33E+00	1.03E+01	4.27E+00
AC_WGS_24	1.11E+00	3.19E-01	2.00E+00	2.28E+00	4.74E-01
AC_WGS_25	3.19E+00	7.12E-01	2.58E+00	4.20E+00	1.17E+00
AC_WGS_26	2.86E+00	4.33E-01	3.51E+00	4.66E+00	1.63E+00
AC_WGS_27	4.01E+00	1.05E+00	2.97E+00	4.94E+00	2.32E+00
AC_WGS_30	6.68E+00	2.18E+00	3.47E+00	8.15E+00	3.69E+00
AC_WGS_31	3.57E+00	2.46E-01	3.04E+00	5.05E+00	6.77E-01
AC_WGS_32	7.00E+00	1.46E+00	2.59E+00	7.73E+00	2.73E+00
AC_WGS_33	7.72E+00	4.88E+00	3.78E+00	7.96E+00	9.16E+00
AC_WGS_34	6.09E+00	1.44E+00	2.75E+00	7.07E+00	2.65E+00
AC_WGS_35	3.24E+00	3.44E-01	1.89E+00	4.00E+00	7.54E-01
AC_WGS_36	5.11E+00	1.73E+00	3.34E+00	6.26E+00	2.80E+00
AC_WGS_39	6.72E+00	1.67E+00	2.83E+00	7.82E+00	2.94E+00
AC_WGS_40	1.84E+00	3.28E-01	3.07E+00	3.81E+00	5.32E-01
AC_WGS_41	6.23E+00	1.85E+00	3.12E+00	7.33E+00	3.64E+00
AC_WGS_42	1.84E+00	3.00E-01	3.24E+00	3.96E+00	7.39E-01
AC_WGS_43	2.81E+00	3.25E-01	3.57E+00	4.92E+00	7.53E-01
AC_WGS_45	2.48E+00	1.13E-01	2.91E+00	4.27E+00	3.35E-01
AC_WGS_46	2.23E+00	2.89E-01	3.53E+00	4.57E+00	4.31E-01
AC_WGS_49	4.47E+00	1.16E+00	2.77E+00	5.38E+00	1.98E+00
AC_WGS_50	7.67E+00	3.42E+00	4.07E+00	7.21E+00	7.29E+00
AC_WGS_51	4.35E+00	1.09E+00	2.72E+00	5.01E+00	2.04E+00
AC_WGS_52	4.94E+00	1.49E+00	2.91E+00	5.70E+00	2.92E+00
AC_WGS_53	1.82E+00	4.46E-01	2.88E+00	3.52E+00	6.99E-01
AC_WGS_11	4.57E+00	1.27E+00	3.28E+00	5.43E+00	3.03E+00
AC_WGS_37	2.12E+00	4.19E-01	2.88E+00	3.88E+00	9.54E-01
RC596TH1	2.19E+00	1.29E+00	2.44E+00	2.31E+00	1.82E+00
RC597TH1	1.42E+00	6.10E-01	3.34E+00	3.23E+00	1.39E+00
RC598TH1	8.78E-01	4.42E-01	1.46E+00	1.45E+00	7.62E-01
RC599TH1	1.33E+00	1.25E+00	1.49E+00	7.19E-01	1.41E+00
RC602TH1	1.64E+00	6.83E-01	2.76E+00	2.48E+00	1.49E+00
RC603TH1	6.96E+00	5.79E+00	3.13E+00	4.25E+00	9.23E+00
