MutationType	ID83A	ID83B	ID83C	ID83D	ID83E
1:Del:C:0	1.36E-09	1.99E-09	1.21E-09	3.59E-10	1.64E-09
1:Del:C:1	8.81E-04	2.04E-03	1.88E-04	9.23E-05	1.59E-03
1:Del:C:2	2.61E-04	3.30E-04	5.31E-05	2.92E-05	3.13E-04
1:Del:C:3	1.36E-04	2.28E-04	3.73E-05	5.18E-06	1.85E-04
1:Del:C:4	9.71E-05	1.41E-04	1.09E-05	1.47E-05	1.34E-04
1:Del:C:5	7.77E-05	1.38E-04	3.61E-05	1.12E-05	1.04E-04
1:Del:T:0	1.36E-09	1.99E-09	1.21E-09	3.59E-10	1.64E-09
1:Del:T:1	6.15E-04	1.15E-03	9.08E-05	3.03E-05	8.45E-04
1:Del:T:2	3.33E-04	5.01E-04	9.61E-05	5.23E-05	4.25E-04
1:Del:T:3	2.75E-04	4.25E-04	3.66E-05	3.12E-05	3.56E-04
1:Del:T:4	3.23E-04	3.98E-04	7.42E-05	5.46E-05	4.11E-04
1:Del:T:5	2.21E-03	2.99E-03	1.22E-03	4.18E-04	2.69E-03
1:Ins:C:0	1.59E-04	2.43E-04	3.33E-05	1.66E-05	1.91E-04
1:Ins:C:1	1.02E-04	1.54E-04	2.86E-05	1.77E-05	1.26E-04
1:Ins:C:2	1.08E-04	1.50E-04	5.71E-06	2.24E-05	1.35E-04
1:Ins:C:3	1.03E-04	1.54E-04	8.69E-06	1.83E-05	1.45E-04
1:Ins:C:4	8.83E-05	1.40E-04	1.22E-05	1.45E-05	1.25E-04
1:Ins:C:5	6.10E-04	8.42E-04	1.86E-05	8.72E-05	8.23E-04
1:Ins:T:0	2.11E-04	3.24E-04	2.52E-05	2.80E-05	2.65E-04
1:Ins:T:1	3.53E-04	5.32E-04	4.47E-05	3.38E-05	4.08E-04
1:Ins:T:2	1.78E-04	2.75E-04	5.78E-05	2.17E-05	2.08E-04
1:Ins:T:3	2.20E-04	2.86E-04	4.60E-05	1.96E-05	2.66E-04
1:Ins:T:4	1.96E-04	2.38E-04	3.22E-05	2.45E-05	2.29E-04
1:Ins:T:5	5.84E-03	3.21E-03	2.97E-03	1.08E-03	5.82E-03
2:Del:R:0	1.70E-03	2.54E-03	1.63E-03	4.89E-04	2.31E-03
2:Del:R:1	6.05E-05	9.56E-05	1.68E-05	1.21E-05	7.70E-05
2:Del:R:2	2.14E-05	5.13E-05	1.43E-05	1.61E-06	3.51E-05
2:Del:R:3	4.01E-06	1.04E-05	1.25E-05	1.39E-06	7.51E-06
2:Del:R:4	4.63E-06	1.01E-05	1.19E-06	7.93E-10	7.09E-06
2:Del:R:5	2.65E-05	4.17E-05	6.24E-06	5.71E-06	3.48E-05
3:Del:R:0	2.39E-04	3.72E-04	1.19E-04	3.72E-05	3.59E-04
3:Del:R:1	7.46E-05	1.12E-04	2.69E-05	6.88E-06	1.15E-04
3:Del:R:2	2.06E-05	3.41E-05	1.68E-06	1.01E-06	2.55E-05
3:Del:R:3	1.36E-09	1.99E-09	1.21E-09	3.59E-10	1.64E-09
3:Del:R:4	5.71E-06	1.03E-05	1.03E-08	8.29E-10	9.32E-06
3:Del:R:5	1.36E-09	1.99E-09	1.21E-09	3.59E-10	1.64E-09
4:Del:R:0	2.37E-04	3.34E-04	6.25E-05	2.07E-05	3.26E-04
4:Del:R:1	2.37E-05	3.92E-05	6.69E-06	1.52E-06	3.41E-05
4:Del:R:2	1.14E-05	1.71E-05	7.59E-07	2.54E-07	1.56E-05
4:Del:R:3	1.36E-09	1.99E-09	1.21E-09	3.59E-10	1.64E-09
4:Del:R:4	1.36E-09	1.99E-09	1.21E-09	3.59E-10	1.64E-09
4:Del:R:5	1.36E-09	1.99E-09	1.21E-09	3.59E-10	1.64E-09
5:Del:R:0	4.93E-04	6.20E-04	6.89E-05	4.66E-05	5.68E-04
