Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
PGENE_1T	532	253	0	26	0	0
PGENE_2T	966	0	39	0	0	0
PGENE_4T	748	238	0	48	41	0
PGENE_5T	32	691	200	0	0	0
PGENE_6T	433	227	115	0	0	0
PGENE_8T	66	480	98	0	0	0
PGENE_9T	563	307	86	0	0	0
PGENE_10T	730	325	40	0	0	0
AC_WGS_1T	904	0	197	315	0	35
AC_WGS_2T	138	1233	91	0	87	0
AC_WGS_4	688	518	108	0	0	0
AC_WGS_5	591	0	171	609	149	0
AC_WGS_6	1102	370	64	169	60	0
AC_WGS_9T	1301	82	0	402	0	0
AC_WGS_10	267	364	328	244	0	0
AC_WGS_44	1183	41	77	0	0	0
AC_WGS_12	909	0	124	0	37	0
AC_WGS_13T	971	0	103	0	199	0
AC_WGS_15	1304	0	133	74	0	0
AC_WGS_17	977	139	96	0	48	0
AC_WGS_18T	1193	0	170	0	15	0
AC_WGS_20T	915	46	177	8	0	0
AC_WGS_22	269	274	237	256	0	0
AC_WGS_23	379	241	306	553	0	80
AC_WGS_24	433	0	150	0	1	0
AC_WGS_25	1169	0	83	0	36	0
AC_WGS_26	969	0	210	0	0	0
AC_WGS_27	816	246	165	0	26	0
AC_WGS_30	551	0	212	498	0	97
AC_WGS_31	1545	0	21	0	0	0
AC_WGS_32	1083	0	100	400	23	0
AC_WGS_33	168	1103	104	0	147	0
AC_WGS_34	1530	0	0	35	103	0
AC_WGS_35	1219	0	41	91	0	11
AC_WGS_36	1030	544	168	118	0	0
AC_WGS_39	1137	0	145	551	0	0
AC_WGS_40	787	108	213	0	0	0
AC_WGS_41	1227	0	0	76	247	0
AC_WGS_42	845	0	193	0	0	0
AC_WGS_43	1259	0	158	0	9	0
AC_WGS_45	1065	89	81	0	0	0
AC_WGS_46	1029	99	138	3	0	0
AC_WGS_49	684	0	173	131	53	23
AC_WGS_50	80	760	232	0	64	0
AC_WGS_51	638	454	118	0	0	0
AC_WGS_52	287	612	178	0	0	0
AC_WGS_53	736	25	224	0	0	0
AC_WGS_11	724	364	229	0	0	0
AC_WGS_37	865	109	135	0	0	0
RC596TH1	195	0	330	0	73	0
RC597TH1	49	192	370	0	0	0
RC598TH1	97	0	181	0	25	0
RC599TH1	7	0	235	0	30	162
RC602TH1	155	0	379	0	25	0
RC603TH1	156	0	0	341	622	0
