Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
PGENE_1T	3.96E+00	4.04E+00	9.20E-01	1.27E+00	1.57E+00	4.93E+00
PGENE_2T	2.03E+00	3.13E+00	1.75E-01	2.40E+00	7.09E-01	4.95E+00
PGENE_4T	5.19E+00	4.56E+00	1.15E+00	1.46E+00	2.10E+00	5.84E+00
PGENE_5T	6.80E+00	5.91E+00	1.70E+00	3.86E+00	3.36E+00	6.29E+00
PGENE_6T	3.16E+00	2.46E+00	3.71E-01	1.96E+00	1.06E+00	3.88E+00
PGENE_8T	4.94E+00	3.79E+00	8.17E-01	2.41E+00	1.97E+00	4.57E+00
PGENE_9T	3.85E+00	3.50E+00	6.07E-01	2.00E+00	1.24E+00	5.07E+00
PGENE_10T	3.95E+00	3.76E+00	5.25E-01	2.13E+00	1.13E+00	5.89E+00
AC_WGS_1T	5.67E+00	5.36E+00	1.23E+00	3.34E+00	2.47E+00	7.53E+00
AC_WGS_2T	1.31E+01	9.02E+00	4.61E+00	4.61E+00	7.62E+00	1.10E+01
AC_WGS_4	6.55E+00	5.18E+00	8.34E-01	2.86E+00	2.53E+00	7.26E+00
AC_WGS_5	8.08E+00	8.14E+00	2.62E+00	3.72E+00	4.20E+00	1.05E+01
AC_WGS_6	6.48E+00	6.48E+00	1.40E+00	3.16E+00	2.42E+00	8.91E+00
AC_WGS_9T	7.17E+00	8.21E+00	1.09E+00	1.88E+00	2.29E+00	9.95E+00
AC_WGS_10	5.17E+00	5.38E+00	1.99E+00	3.30E+00	2.95E+00	6.55E+00
AC_WGS_44	2.40E+00	4.02E+00	2.61E-01	3.21E+00	5.20E-01	6.34E+00
AC_WGS_12	2.92E+00	3.21E+00	8.04E-01	2.68E+00	1.29E+00	4.94E+00
AC_WGS_13T	5.32E+00	4.73E+00	1.76E+00	2.84E+00	2.52E+00	6.76E+00
AC_WGS_15	5.78E+00	5.56E+00	4.20E-01	3.80E+00	1.95E+00	7.86E+00
AC_WGS_17	3.27E+00	3.77E+00	8.14E-01	2.65E+00	1.40E+00	5.63E+00
AC_WGS_18T	2.28E+00	4.17E+00	4.22E-01	3.92E+00	1.14E+00	6.57E+00
AC_WGS_20T	2.23E+00	3.14E+00	3.39E-01	3.45E+00	6.65E-01	5.50E+00
AC_WGS_22	6.31E+00	5.21E+00	1.75E+00	3.16E+00	3.00E+00	7.26E+00
AC_WGS_23	8.97E+00	7.62E+00	2.41E+00	4.26E+00	4.41E+00	1.08E+01
AC_WGS_24	1.49E+00	1.54E+00	3.39E-01	2.07E+00	6.75E-01	2.80E+00
AC_WGS_25	3.27E+00	4.31E+00	7.86E-01	2.66E+00	1.43E+00	5.83E+00
AC_WGS_26	4.15E+00	3.45E+00	4.93E-01	3.66E+00	2.06E+00	6.15E+00
AC_WGS_27	4.40E+00	4.07E+00	8.87E-01	2.96E+00	1.77E+00	6.17E+00
AC_WGS_30	6.36E+00	7.14E+00	2.16E+00	3.16E+00	3.75E+00	9.14E+00
