MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
1:Del:C:0	1.47E-09	1.18E-09	2.21E-09	1.39E-09	2.16E-09	3.97E-10
1:Del:C:1	1.15E-03	8.97E-04	2.08E-03	1.86E-04	1.75E-03	2.06E-04
1:Del:C:2	2.46E-04	2.84E-04	3.74E-04	5.60E-05	3.58E-04	5.63E-05
1:Del:C:3	1.42E-04	1.32E-04	2.65E-04	4.11E-05	2.16E-04	2.50E-05
1:Del:C:4	9.54E-05	1.04E-04	1.62E-04	1.03E-05	1.46E-04	1.31E-05
1:Del:C:5	8.11E-05	8.57E-05	1.49E-04	4.35E-05	1.31E-04	1.59E-05
1:Del:T:0	1.47E-09	1.18E-09	2.21E-09	1.39E-09	2.16E-09	3.97E-10
1:Del:T:1	6.68E-04	6.56E-04	1.41E-03	5.25E-05	1.17E-03	1.04E-04
1:Del:T:2	3.47E-04	3.66E-04	5.77E-04	1.14E-04	5.18E-04	5.14E-05
1:Del:T:3	3.07E-04	3.00E-04	5.14E-04	3.52E-05	4.53E-04	5.16E-05
1:Del:T:4	2.64E-04	2.94E-04	4.68E-04	7.48E-05	4.23E-04	6.38E-05
1:Del:T:5	2.30E-03	2.02E-03	3.13E-03	1.37E-03	3.24E-03	4.82E-04
1:Ins:C:0	1.59E-04	1.59E-04	2.82E-04	3.36E-05	2.47E-04	4.12E-05
1:Ins:C:1	1.07E-04	1.18E-04	1.69E-04	3.36E-05	1.38E-04	1.90E-05
1:Ins:C:2	9.90E-05	1.13E-04	1.60E-04	1.17E-05	1.53E-04	2.86E-05
1:Ins:C:3	9.04E-05	1.24E-04	1.52E-04	9.89E-06	1.58E-04	2.80E-05
1:Ins:C:4	7.80E-05	9.13E-05	1.47E-04	1.17E-05	1.41E-04	1.69E-05
1:Ins:C:5	5.45E-04	6.09E-04	8.06E-04	4.29E-05	8.46E-04	1.32E-04
1:Ins:T:0	2.41E-04	2.48E-04	3.78E-04	2.25E-05	3.40E-04	5.83E-05
1:Ins:T:1	3.61E-04	4.17E-04	5.74E-04	3.64E-05	5.18E-04	9.23E-05
1:Ins:T:2	2.00E-04	2.14E-04	3.10E-04	6.34E-05	2.78E-04	6.06E-05
