Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
PGENE_1T	470	0	20	0	321	0	0
PGENE_2T	970	0	35	0	0	0	0
PGENE_4T	733	0	11	0	270	61	0
PGENE_5T	162	653	108	0	0	0	0
PGENE_6T	479	215	81	0	0	0	0
PGENE_8T	159	449	36	0	0	0	0
PGENE_9T	626	287	43	0	0	0	0
PGENE_10T	808	287	0	0	0	0	0
AC_WGS_1T	1016	0	112	54	201	0	68
AC_WGS_2T	367	823	0	0	199	160	0
AC_WGS_4	797	478	39	0	0	0	0
AC_WGS_5	183	124	272	895	0	0	46
AC_WGS_6	1066	235	54	112	260	38	0
AC_WGS_9T	1214	0	0	251	320	0	0
AC_WGS_10	580	360	140	0	0	0	123
AC_WGS_44	1209	27	65	0	0	0	0
AC_WGS_12	912	0	123	0	0	35	0
AC_WGS_13T	948	0	129	5	0	191	0
AC_WGS_15	1331	0	114	19	47	0	0
AC_WGS_17	996	154	78	0	0	29	3
AC_WGS_18T	1202	0	168	6	0	2	0
AC_WGS_20T	940	47	157	0	0	0	2
AC_WGS_22	553	315	71	0	0	0	97
AC_WGS_23	886	410	0	0	38	0	225
AC_WGS_24	441	0	143	0	0	0	0
AC_WGS_25	1078	0	115	95	0	0	0
AC_WGS_26	975	0	199	0	0	5	0
AC_WGS_27	862	242	131	0	0	18	0
AC_WGS_30	944	0	0	150	2	0	262
AC_WGS_31	1551	0	15	0	0	0	0
AC_WGS_32	1003	0	98	275	228	2	0
AC_WGS_33	376	958	0	0	20	168	0
AC_WGS_34	1365	0	53	182	0	68	0
AC_WGS_35	1303	0	0	0	26	0	33
AC_WGS_36	1290	462	22	0	0	0	86
AC_WGS_39	1388	0	0	164	169	0	112
AC_WGS_40	830	77	177	0	0	0	24
AC_WGS_41	909	0	120	347	0	174	0
AC_WGS_42	856	0	182	0	0	0	0
AC_WGS_43	1272	0	152	2	0	0	0
AC_WGS_45	1096	76	63	0	0	0	0
AC_WGS_46	1083	51	105	0	0	0	30
AC_WGS_49	469	0	235	270	84	6	0
AC_WGS_50	257	634	144	0	0	101	0
AC_WGS_51	736	418	56	0	0	0	0
AC_WGS_52	409	571	97	0	0	0	0
AC_WGS_53	747	29	209	0	0	0	0
AC_WGS_11	721	184	212	0	200	0	0
AC_WGS_37	896	100	113	0	0	0	0
RC596TH1	142	0	326	60	0	12	58
RC597TH1	80	204	327	0	0	0	0
RC598TH1	58	0	192	39	0	14	0
RC599TH1	43	42	185	0	0	36	128
RC602TH1	68	0	395	81	14	1	0
RC603TH1	290	0	0	80	16	723	10
