Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
PGENE_1T	1.26E+00	5.02E+00	6.13E+00	3.28E+00	1.00E+00	1.13E+00	4.32E+00
PGENE_2T	2.52E+00	5.07E+00	8.45E+00	2.10E+00	2.18E-01	5.21E-01	5.02E+00
PGENE_4T	1.71E+00	5.75E+00	7.16E+00	3.94E+00	1.34E+00	1.37E+00	4.99E+00
PGENE_5T	4.13E+00	6.47E+00	5.98E+00	7.33E+00	1.73E+00	2.96E+00	5.08E+00
PGENE_6T	2.13E+00	3.85E+00	5.38E+00	3.10E+00	5.21E-01	8.34E-01	3.09E+00
PGENE_8T	2.35E+00	4.43E+00	4.54E+00	4.45E+00	1.17E+00	1.32E+00	3.21E+00
PGENE_9T	2.17E+00	5.03E+00	6.95E+00	3.65E+00	6.26E-01	1.02E+00	4.11E+00
PGENE_10T	2.40E+00	6.16E+00	9.13E+00	3.88E+00	7.29E-01	9.37E-01	4.86E+00
AC_WGS_1T	3.55E+00	7.25E+00	9.35E+00	5.03E+00	1.46E+00	1.63E+00	6.26E+00
AC_WGS_2T	4.50E+00	1.11E+01	1.11E+01	1.20E+01	5.51E+00	3.63E+00	8.27E+00
AC_WGS_4	3.08E+00	7.78E+00	9.24E+00	5.78E+00	1.20E+00	1.62E+00	5.70E+00
AC_WGS_5	3.43E+00	8.91E+00	1.04E+01	6.40E+00	2.58E+00	3.21E+00	7.99E+00
AC_WGS_6	3.58E+00	8.86E+00	1.15E+01	5.44E+00	1.65E+00	1.81E+00	7.56E+00
AC_WGS_9T	2.31E+00	1.12E+01	1.33E+01	5.14E+00	1.21E+00	1.55E+00	9.33E+00
AC_WGS_10	3.70E+00	5.90E+00	7.46E+00	5.13E+00	1.56E+00	2.60E+00	5.07E+00
AC_WGS_44	3.46E+00	6.46E+00	1.10E+01	3.04E+00	1.19E-01	6.15E-01	6.22E+00
AC_WGS_12	2.70E+00	4.93E+00	7.51E+00	2.99E+00	8.80E-01	1.07E+00	4.59E+00
AC_WGS_13T	2.91E+00	5.57E+00	7.70E+00	4.63E+00	1.80E+00	2.10E+00	4.92E+00
AC_WGS_15	4.12E+00	8.58E+00	1.14E+01	5.10E+00	9.29E-01	1.40E+00	7.12E+00
AC_WGS_17	2.81E+00	5.86E+00	8.96E+00	3.26E+00	9.16E-01	1.09E+00	5.30E+00
AC_WGS_18T	3.91E+00	6.68E+00	1.07E+01	3.87E+00	4.69E-01	8.36E-01	6.15E+00
AC_WGS_20T	3.51E+00	5.46E+00	8.93E+00	3.09E+00	3.68E-01	6.97E-01	4.94E+00
AC_WGS_22	2.99E+00	6.37E+00	7.39E+00	5.55E+00	1.68E+00	2.12E+00	4.90E+00
AC_WGS_23	4.55E+00	9.26E+00	1.10E+01	8.11E+00	2.69E+00	3.15E+00	7.62E+00
AC_WGS_24	2.14E+00	2.41E+00	3.97E+00	1.52E+00	2.94E-01	6.25E-01	2.17E+00
AC_WGS_25	2.96E+00	6.10E+00	9.29E+00	3.36E+00	7.68E-01	1.06E+00	5.70E+00
AC_WGS_26	3.67E+00	5.67E+00	8.40E+00	3.62E+00	7.33E-01	1.06E+00	5.02E+00
AC_WGS_27	3.07E+00	6.06E+00	8.40E+00	4.11E+00	1.07E+00	1.04E+00	4.97E+00
AC_WGS_30	3.20E+00	8.16E+00	1.00E+01	5.40E+00	1.89E+00	2.77E+00	7.01E+00
AC_WGS_31	3.49E+00	7.68E+00	1.25E+01	3.55E+00	3.92E-01	9.30E-01	7.68E+00
