MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
1:Del:C:0	1.49E-09	1.26E-09	6.70E-10	1.61E-09	1.90E-09	2.86E-09	1.32E-09
1:Del:C:1	1.85E-04	1.12E-03	1.94E-04	1.27E-03	2.10E-03	1.34E-03	9.22E-04
1:Del:C:2	8.03E-05	2.57E-04	1.10E-04	2.99E-04	4.10E-04	4.32E-04	2.93E-04
1:Del:C:3	4.31E-05	1.59E-04	2.91E-05	1.57E-04	2.68E-04	2.48E-04	1.39E-04
1:Del:C:4	2.18E-05	8.52E-05	2.51E-05	1.02E-04	1.55E-04	1.83E-04	1.06E-04
1:Del:C:5	5.39E-05	1.02E-04	4.13E-05	1.16E-04	1.56E-04	1.69E-04	9.80E-05
1:Del:T:0	1.49E-09	1.26E-09	6.70E-10	1.61E-09	1.90E-09	2.86E-09	1.32E-09
1:Del:T:1	1.23E-04	6.99E-04	1.63E-04	7.58E-04	1.52E-03	1.17E-03	6.29E-04
1:Del:T:2	1.16E-04	3.63E-04	1.19E-04	3.90E-04	6.39E-04	5.88E-04	4.12E-04
1:Del:T:3	4.96E-05	3.28E-04	1.02E-04	3.28E-04	5.58E-04	4.98E-04	3.36E-04
1:Del:T:4	1.10E-04	2.70E-04	1.21E-04	3.31E-04	5.00E-04	5.48E-04	3.44E-04
1:Del:T:5	1.58E-03	2.14E-03	7.72E-04	2.50E-03	2.77E-03	4.12E-03	1.85E-03
1:Ins:C:0	4.94E-05	1.81E-04	5.27E-05	1.97E-04	2.76E-04	3.00E-04	1.79E-04
1:Ins:C:1	3.12E-05	1.05E-04	2.71E-05	1.07E-04	1.79E-04	1.31E-04	1.22E-04
1:Ins:C:2	2.31E-05	1.13E-04	2.83E-05	1.11E-04	1.60E-04	1.84E-04	1.22E-04
1:Ins:C:3	1.90E-05	9.84E-05	3.39E-05	9.62E-05	1.37E-04	1.73E-04	1.20E-04
1:Ins:C:4	2.11E-05	7.68E-05	3.70E-05	9.14E-05	1.44E-04	1.71E-04	8.71E-05
1:Ins:C:5	1.03E-04	5.01E-04	1.61E-04	5.68E-04	7.98E-04	9.08E-04	6.07E-04
1:Ins:T:0	5.76E-05	2.40E-04	8.37E-05	2.65E-04	3.85E-04	4.06E-04	2.45E-04
1:Ins:T:1	5.09E-05	4.14E-04	1.17E-04	4.16E-04	6.26E-04	5.16E-04	4.01E-04
1:Ins:T:2	7.51E-05	2.49E-04	8.72E-05	2.18E-04	3.14E-04	3.10E-04	2.28E-04
1:Ins:T:3	6.59E-05	1.94E-04	6.54E-05	2.10E-04	3.65E-04	3.67E-04	2.24E-04
1:Ins:T:4	5.05E-05	1.74E-04	7.14E-05	2.13E-04	2.93E-04	3.07E-04	2.19E-04
1:Ins:T:5	3.35E-03	4.78E-03	2.57E-03	4.50E-03	4.70E-03	4.31E-03	5.65E-03
2:Del:R:0	2.27E-03	1.78E-03	9.68E-04	2.34E-03	3.04E-03	3.90E-03	1.82E-03
2:Del:R:1	2.32E-05	5.63E-05	1.29E-05	6.87E-05	1.19E-04	1.20E-04	7.13E-05
2:Del:R:2	1.43E-05	3.20E-05	2.76E-06	3.02E-05	6.74E-05	4.89E-05	2.38E-05
2:Del:R:3	1.45E-05	4.69E-06	3.26E-06	6.49E-06	1.09E-05	1.41E-05	6.26E-06
2:Del:R:4	1.15E-06	5.81E-06	1.36E-06	6.06E-06	1.33E-05	1.30E-05	6.08E-06
2:Del:R:5	1.51E-05	3.29E-05	1.54E-05	4.09E-05	4.82E-05	6.56E-05	3.79E-05
3:Del:R:0	1.57E-04	2.53E-04	1.17E-04	2.99E-04	3.84E-04	5.27E-04	2.79E-04
3:Del:R:1	3.27E-05	7.08E-05	1.98E-05	7.75E-05	9.40E-05	1.34E-04	8.13E-05
3:Del:R:2	3.33E-06	1.95E-05	9.09E-06	2.11E-05	3.79E-05	3.63E-05	2.11E-05
3:Del:R:3	1.49E-09	1.26E-09	6.70E-10	1.61E-09	1.90E-09	2.86E-09	1.32E-09
3:Del:R:4	8.12E-07	5.44E-06	1.26E-06	6.52E-06	8.81E-06	1.26E-05	5.99E-06
3:Del:R:5	1.49E-09	1.26E-09	6.70E-10	1.61E-09	1.90E-09	2.86E-09	1.32E-09
4:Del:R:0	8.46E-05	2.52E-04	8.34E-05	2.39E-04	3.53E-04	4.30E-04	2.39E-04
4:Del:R:1	7.39E-06	1.97E-05	5.76E-06	2.64E-05	3.71E-05	4.44E-05	2.66E-05
4:Del:R:2	2.01E-06	1.04E-05	2.48E-06	1.18E-05	1.21E-05	1.92E-05	1.24E-05
4:Del:R:3	1.49E-09	1.26E-09	6.70E-10	1.61E-09	1.90E-09	2.86E-09	1.32E-09
4:Del:R:4	1.49E-09	1.26E-09	6.70E-10	1.61E-09	1.90E-09	2.86E-09	1.32E-09
4:Del:R:5	1.49E-09	1.26E-09	6.70E-10	1.61E-09	1.90E-09	2.86E-09	1.32E-09
5:Del:R:0	1.52E-04	5.30E-04	1.69E-04	5.40E-04	7.90E-04	8.93E-04	5.61E-04
5:Del:R:1	2.36E-08	4.48E-06	7.82E-10	4.88E-06	1.64E-05	8.99E-06	4.60E-06
5:Del:R:2	1.49E-09	1.26E-09	6.70E-10	1.61E-09	1.90E-09	2.86E-09	1.32E-09
5:Del:R:3	1.49E-09	1.26E-09	6.70E-10	1.61E-09	1.90E-09	2.86E-09	1.32E-09
5:Del:R:4	1.49E-09	1.26E-09	6.70E-10	1.61E-09	1.90E-09	2.86E-09	1.32E-09
5:Del:R:5	1.49E-09	1.26E-09	6.70E-10	1.61E-09	1.90E-09	2.86E-09	1.32E-09
