Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
PGENE_1T	480	180	0	151	0	0	0	0
PGENE_2T	993	0	12	0	0	0	0	0
PGENE_4T	709	293	0	0	73	0	0	0
PGENE_5T	0	719	148	0	0	0	56	0
PGENE_6T	422	269	84	0	0	0	0	0
PGENE_8T	0	573	71	0	0	0	0	0
PGENE_9T	534	369	53	0	0	0	0	0
PGENE_10T	693	394	8	0	0	0	0	0
AC_WGS_1T	1107	264	80	0	0	0	0	0
AC_WGS_2T	300	1016	30	0	0	203	0	0
AC_WGS_4	618	634	62	0	0	0	0	0
AC_WGS_5	127	0	213	638	429	0	0	113
AC_WGS_6	1150	551	4	51	0	9	0	0
AC_WGS_9T	1015	0	0	770	0	0	0	0
AC_WGS_10	341	641	203	0	0	0	0	18
AC_WGS_44	1246	16	39	0	0	0	0	0
AC_WGS_12	968	0	102	0	0	0	0	0
AC_WGS_13T	715	0	211	0	283	64	0	0
AC_WGS_15	1442	0	69	0	0	0	0	0
AC_WGS_17	996	190	74	0	0	0	0	0
AC_WGS_18T	1252	0	126	0	0	0	0	0
AC_WGS_20T	999	17	130	0	0	0	0	0
AC_WGS_22	385	505	113	0	0	0	0	33
AC_WGS_23	776	0	31	149	0	0	582	21
AC_WGS_24	464	0	120	0	0	0	0	0
AC_WGS_25	1229	0	59	0	0	0	0	0
AC_WGS_26	1019	0	160	0	0	0	0	0
AC_WGS_27	847	276	130	0	0	0	0	0
AC_WGS_30	820	280	0	110	0	0	0	148
AC_WGS_31	1558	0	0	0	8	0	0	0
AC_WGS_32	1084	0	49	473	0	0	0	0
AC_WGS_33	329	887	51	0	0	255	0	0
AC_WGS_34	1440	0	45	0	183	0	0	0
AC_WGS_35	1312	0	0	50	0	0	0	0
AC_WGS_36	1088	693	79	0	0	0	0	0
AC_WGS_39	1257	41	45	490	0	0	0	0
AC_WGS_40	848	95	165	0	0	0	0	0
AC_WGS_41	537	0	257	0	729	27	0	0
AC_WGS_42	891	0	147	0	0	0	0	0
AC_WGS_43	1315	0	111	0	0	0	0	0
AC_WGS_45	1114	77	44	0	0	0	0	0
AC_WGS_46	1106	69	94	0	0	0	0	0
AC_WGS_49	616	131	172	0	145	0	0	0
AC_WGS_50	169	661	179	0	0	127	0	0
AC_WGS_51	576	561	73	0	0	0	0	0
AC_WGS_52	219	725	133	0	0	0	0	0
AC_WGS_53	804	3	178	0	0	0	0	0
AC_WGS_11	766	376	175	0	0	0	0	0
AC_WGS_37	927	86	96	0	0	0	0	0
RC596TH1	247	0	270	0	0	0	0	81
RC597TH1	7	286	318	0	0	0	0	0
RC598TH1	30	0	192	0	81	0	0	0
RC599TH1	0	25	151	0	0	0	143	115
RC602TH1	129	0	364	0	66	0	0	0
RC603TH1	132	0	8	0	310	547	0	122
