Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
PGENE_1T	2.55E+00	1.49E+00	4.25E+00	8.87E-01	6.19E+00	3.72E+00	1.10E+00	6.88E+00
PGENE_2T	1.45E+00	2.85E+00	2.73E+00	3.14E-01	9.28E+00	4.32E+00	7.26E-01	1.19E+01
PGENE_4T	3.12E+00	1.68E+00	4.92E+00	1.24E+00	6.92E+00	4.30E+00	1.38E+00	8.14E+00
PGENE_5T	6.53E+00	3.83E+00	6.96E+00	1.67E+00	5.84E+00	4.38E+00	2.50E+00	5.40E+00
PGENE_6T	2.45E+00	2.09E+00	3.60E+00	4.91E-01	5.47E+00	2.63E+00	8.43E-01	6.93E+00
PGENE_8T	3.88E+00	2.26E+00	4.71E+00	8.90E-01	4.00E+00	2.71E+00	1.01E+00	4.25E+00
PGENE_9T	2.83E+00	2.15E+00	4.81E+00	6.58E-01	7.19E+00	3.28E+00	1.05E+00	8.92E+00
PGENE_10T	2.80E+00	2.60E+00	5.42E+00	7.48E-01	9.15E+00	4.11E+00	8.59E-01	1.19E+01
AC_WGS_1T	4.38E+00	3.46E+00	5.90E+00	1.06E+00	8.69E+00	5.59E+00	1.84E+00	1.05E+01
AC_WGS_2T	9.44E+00	4.48E+00	1.25E+01	4.94E+00	9.50E+00	8.32E+00	3.40E+00	9.97E+00
AC_WGS_4	4.34E+00	3.21E+00	7.15E+00	8.16E-01	9.18E+00	4.62E+00	1.39E+00	1.13E+01
AC_WGS_5	5.12E+00	3.19E+00	7.55E+00	2.32E+00	9.06E+00	7.14E+00	3.07E+00	9.34E+00
AC_WGS_6	4.38E+00	3.52E+00	7.18E+00	1.39E+00	1.14E+01	7.13E+00	1.82E+00	1.35E+01
AC_WGS_9T	3.74E+00	2.40E+00	6.65E+00	1.10E+00	1.47E+01	8.18E+00	1.56E+00	1.55E+01
AC_WGS_10	4.68E+00	3.46E+00	5.82E+00	1.62E+00	6.72E+00	4.38E+00	2.48E+00	7.83E+00
AC_WGS_44	2.32E+00	3.83E+00	4.27E+00	2.92E-01	1.17E+01	5.34E+00	9.50E-01	1.54E+01
AC_WGS_12	2.45E+00	2.93E+00	3.64E+00	8.27E-01	7.75E+00	4.16E+00	1.25E+00	9.82E+00
AC_WGS_13T	3.59E+00	2.96E+00	4.89E+00	1.56E+00	6.67E+00	4.49E+00	2.12E+00	8.72E+00
AC_WGS_15	4.98E+00	4.27E+00	7.62E+00	6.60E-01	1.19E+01	6.65E+00	1.60E+00	1.48E+01
AC_WGS_17	2.76E+00	2.97E+00	3.94E+00	8.97E-01	9.40E+00	4.59E+00	1.23E+00	1.19E+01
AC_WGS_18T	2.59E+00	4.23E+00	4.21E+00	6.40E-01	1.11E+01	5.59E+00	1.41E+00	1.46E+01
AC_WGS_20T	2.50E+00	3.82E+00	3.56E+00	2.65E-01	9.15E+00	4.26E+00	1.05E+00	1.22E+01
AC_WGS_22	4.57E+00	3.02E+00	6.73E+00	1.38E+00	6.18E+00	4.51E+00	2.28E+00	7.27E+00
AC_WGS_23	6.63E+00	4.14E+00	9.49E+00	2.25E+00	9.25E+00	6.76E+00	3.21E+00	1.03E+01
AC_WGS_24	1.62E+00	2.20E+00	1.95E+00	1.83E-01	3.97E+00	2.09E+00	7.88E-01	5.26E+00
AC_WGS_25	2.49E+00	3.11E+00	4.37E+00	6.76E-01	9.97E+00	5.08E+00	1.37E+00	1.26E+01
AC_WGS_26	3.42E+00	4.19E+00	4.99E+00	8.85E-01	8.70E+00	4.82E+00	1.60E+00	1.11E+01
AC_WGS_27	3.59E+00	3.33E+00	4.59E+00	9.22E-01	8.35E+00	4.82E+00	1.33E+00	1.05E+01
AC_WGS_30	4.40E+00	3.16E+00	6.85E+00	1.51E+00	9.37E+00	6.22E+00	2.75E+00	1.08E+01
AC_WGS_31	2.65E+00	3.86E+00	4.18E+00	5.73E-01	1.40E+01	6.98E+00	1.14E+00	1.72E+01
AC_WGS_32	3.81E+00	3.04E+00	6.48E+00	1.28E+00	1.16E+01	7.23E+00	1.80E+00	1.23E+01
AC_WGS_33	7.22E+00	3.46E+00	8.49E+00	4.54E+00	8.52E+00	5.15E+00	3.21E+00	1.03E+01
AC_WGS_34	4.04E+00	3.30E+00	6.62E+00	1.34E+00	1.21E+01	7.72E+00	2.01E+00	1.41E+01
AC_WGS_35	2.15E+00	2.89E+00	4.47E+00	5.32E-01	1.23E+01	5.65E+00	1.02E+00	1.53E+01
AC_WGS_36	4.86E+00	4.05E+00	7.03E+00	1.53E+00	1.21E+01	6.84E+00	2.23E+00	1.54E+01
AC_WGS_39	4.15E+00	3.12E+00	6.83E+00	1.40E+00	1.32E+01	7.86E+00	1.90E+00	1.46E+01
AC_WGS_40	2.46E+00	3.54E+00	3.55E+00	4.95E-01	8.94E+00	3.99E+00	1.29E+00	1.18E+01
AC_WGS_41	4.30E+00	3.08E+00	6.25E+00	1.90E+00	8.26E+00	6.21E+00	2.37E+00	9.89E+00
AC_WGS_42	2.47E+00	3.59E+00	3.26E+00	5.19E-01	7.89E+00	3.68E+00	1.05E+00	1.05E+01
AC_WGS_43	2.44E+00	4.13E+00	4.24E+00	3.28E-01	1.15E+01	5.49E+00	1.32E+00	1.49E+01
AC_WGS_45	2.23E+00	3.51E+00	3.74E+00	4.13E-01	1.11E+01	5.18E+00	8.75E-01	1.44E+01
AC_WGS_46	2.37E+00	3.89E+00	3.94E+00	3.99E-01	1.07E+01	5.00E+00	1.22E+00	1.39E+01
AC_WGS_49	3.43E+00	3.25E+00	4.75E+00	9.11E-01	6.51E+00	4.81E+00	1.55E+00	7.75E+00
AC_WGS_50	7.09E+00	4.11E+00	7.82E+00	2.90E+00	5.92E+00	4.52E+00	2.60E+00	5.30E+00
AC_WGS_51	3.92E+00	3.13E+00	5.03E+00	8.96E-01	8.09E+00	4.49E+00	1.44E+00	1.01E+01
AC_WGS_52	4.25E+00	3.11E+00	5.92E+00	1.16E+00	5.73E+00	3.69E+00	1.65E+00	6.60E+00
AC_WGS_53	2.51E+00	3.27E+00	2.74E+00	3.81E-01	6.82E+00	3.40E+00	1.33E+00	9.06E+00
AC_WGS_11	4.45E+00	3.62E+00	5.47E+00	1.06E+00	7.02E+00	4.08E+00	1.74E+00	8.81E+00
AC_WGS_37	2.50E+00	3.27E+00	4.01E+00	5.33E-01	8.82E+00	3.96E+00	9.51E-01	1.16E+01
RC596TH1	3.01E+00	3.20E+00	2.46E+00	1.04E+00	2.21E+00	1.94E+00	1.75E+00	2.55E+00
RC597TH1	4.14E+00	4.33E+00	2.94E+00	3.93E-01	2.24E+00	1.17E+00	1.53E+00	3.34E+00
RC598TH1	1.67E+00	1.85E+00	1.36E+00	3.96E-01	1.13E+00	8.20E-01	8.70E-01	1.37E+00
RC599TH1	1.96E+00	2.27E+00	1.50E+00	1.17E+00	1.18E+00	1.17E+00	1.74E+00	1.18E+00
RC602TH1	3.27E+00	3.73E+00	2.53E+00	6.04E-01	1.91E+00	1.22E+00	1.52E+00	2.12E+00
RC603TH1	6.87E+00	1.84E+00	6.28E+00	5.93E+00	5.51E+00	6.03E+00	4.75E+00	3.48E+00
