MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
1:Del:C:0	1.95E-09	1.70E-09	1.43E-09	2.38E-09	1.23E-09	1.17E-09	2.69E-09	8.44E-10
1:Del:C:1	1.39E-03	3.92E-04	1.17E-03	2.18E-03	1.01E-03	1.06E-03	1.38E-03	5.86E-04
1:Del:C:2	3.59E-04	1.46E-04	2.74E-04	4.53E-04	2.59E-04	3.10E-04	5.06E-04	2.22E-04
1:Del:C:3	1.87E-04	6.00E-05	1.39E-04	3.08E-04	1.31E-04	1.49E-04	2.91E-04	1.11E-04
1:Del:C:4	1.32E-04	4.51E-05	9.19E-05	1.82E-04	9.23E-05	1.07E-04	1.82E-04	5.96E-05
1:Del:C:5	1.21E-04	6.81E-05	1.02E-04	1.77E-04	9.63E-05	1.06E-04	1.72E-04	6.19E-05
1:Del:T:0	1.95E-09	1.70E-09	1.43E-09	2.38E-09	1.23E-09	1.17E-09	2.69E-09	8.44E-10
1:Del:T:1	1.11E-03	2.80E-04	7.65E-04	1.71E-03	7.22E-04	7.31E-04	1.32E-03	5.85E-04
1:Del:T:2	4.76E-04	1.67E-04	3.70E-04	6.75E-04	3.39E-04	4.07E-04	6.72E-04	2.77E-04
1:Del:T:3	4.22E-04	1.16E-04	3.00E-04	6.34E-04	3.00E-04	3.42E-04	5.42E-04	2.24E-04
1:Del:T:4	4.12E-04	1.47E-04	2.80E-04	5.81E-04	2.91E-04	3.31E-04	6.30E-04	2.43E-04
1:Del:T:5	3.00E-03	1.96E-03	2.13E-03	3.58E-03	1.80E-03	1.84E-03	4.22E-03	1.42E-03
1:Ins:C:0	2.45E-04	7.95E-05	1.69E-04	3.24E-04	1.78E-04	2.02E-04	3.24E-04	1.06E-04
1:Ins:C:1	1.32E-04	5.40E-05	1.06E-04	1.85E-04	1.10E-04	1.27E-04	1.49E-04	7.81E-05
1:Ins:C:2	1.45E-04	4.19E-05	1.01E-04	1.53E-04	9.80E-05	1.30E-04	2.24E-04	9.54E-05
1:Ins:C:3	1.04E-04	2.09E-05	8.93E-05	1.23E-04	8.45E-05	1.18E-04	1.72E-04	7.66E-05
1:Ins:C:4	1.12E-04	2.45E-05	8.50E-05	1.63E-04	7.53E-05	1.02E-04	1.76E-04	8.51E-05
1:Ins:C:5	6.04E-04	1.66E-04	5.29E-04	7.71E-04	4.78E-04	5.90E-04	9.20E-04	4.13E-04
1:Ins:T:0	3.17E-04	9.63E-05	2.53E-04	4.21E-04	2.63E-04	3.27E-04	4.08E-04	1.53E-04
1:Ins:T:1	5.04E-04	1.15E-04	4.19E-04	6.75E-04	3.73E-04	4.59E-04	5.34E-04	2.91E-04
1:Ins:T:2	2.51E-04	1.28E-04	2.32E-04	3.15E-04	2.19E-04	2.37E-04	2.99E-04	1.45E-04
1:Ins:T:3	2.69E-04	8.43E-05	2.35E-04	3.88E-04	1.79E-04	2.35E-04	3.87E-04	1.64E-04
1:Ins:T:4	2.39E-04	8.22E-05	1.75E-04	3.26E-04	1.85E-04	2.37E-04	3.29E-04	1.45E-04
1:Ins:T:5	4.94E-03	3.64E-03	4.37E-03	4.08E-03	4.76E-03	5.50E-03	4.12E-03	4.43E-03
2:Del:R:0	2.82E-03	2.52E-03	1.90E-03	2.74E-03	1.71E-03	1.72E-03	4.20E-03	1.40E-03
2:Del:R:1	8.17E-05	3.07E-05	6.26E-05	1.31E-04	5.79E-05	7.05E-05	1.42E-04	3.96E-05
2:Del:R:2	4.19E-05	1.89E-05	2.79E-05	7.90E-05	2.50E-05	2.58E-05	6.03E-05	1.93E-05
2:Del:R:3	1.07E-05	1.69E-05	8.09E-06	8.25E-06	7.47E-06	7.35E-06	1.81E-05	5.96E-06
2:Del:R:4	8.49E-06	3.81E-06	5.17E-06	1.26E-05	4.83E-06	6.57E-06	1.36E-05	3.33E-06
2:Del:R:5	4.39E-05	1.56E-05	3.70E-05	4.84E-05	3.47E-05	4.38E-05	7.96E-05	1.64E-05
3:Del:R:0	3.51E-04	2.15E-04	2.85E-04	4.86E-04	2.99E-04	2.99E-04	4.97E-04	1.78E-04
3:Del:R:1	9.58E-05	5.73E-05	6.92E-05	9.80E-05	5.61E-05	7.01E-05	1.29E-04	5.79E-05
3:Del:R:2	2.85E-05	5.00E-06	1.92E-05	3.89E-05	1.94E-05	1.91E-05	3.79E-05	1.45E-05
