Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
PGENE_1T	545	146	0	120	0	0	0	0	0
PGENE_2T	964	0	41	0	0	0	0	0	0
PGENE_4T	753	230	0	6	79	7	0	0	0
PGENE_5T	140	698	85	0	0	0	0	0	0
PGENE_6T	481	219	75	0	0	0	0	0	0
PGENE_8T	129	495	20	0	0	0	0	0	0
PGENE_9T	611	307	38	0	0	0	0	0	0
PGENE_10T	773	314	0	8	0	0	0	0	0
AC_WGS_1T	969	0	177	305	0	0	0	0	0
AC_WGS_2T	486	776	0	0	106	181	0	0	0
AC_WGS_4	772	511	31	0	0	0	0	0	0
AC_WGS_5	216	0	216	549	421	0	118	0	0
AC_WGS_6	1144	361	0	5	0	5	0	250	0
AC_WGS_9T	1312	0	0	473	0	0	0	0	0
AC_WGS_10	501	527	173	0	0	0	2	0	0
AC_WGS_44	1202	27	72	0	0	0	0	0	0
AC_WGS_12	857	0	149	0	64	0	0	0	0
AC_WGS_13T	688	0	235	0	286	64	0	0	0
AC_WGS_15	1399	0	112	0	0	0	0	0	0
AC_WGS_17	1009	162	89	0	0	0	0	0	0
AC_WGS_18T	1213	0	165	0	0	0	0	0	0
AC_WGS_20T	967	21	158	0	0	0	0	0	0
AC_WGS_22	513	406	85	0	0	0	32	0	0
AC_WGS_23	706	493	45	178	0	0	137	0	0
AC_WGS_24	450	0	134	0	0	0	0	0	0
AC_WGS_25	1182	0	99	0	7	0	0	0	0
AC_WGS_26	755	0	238	0	186	0	0	0	0
AC_WGS_27	899	218	136	0	0	0	0	0	0
AC_WGS_30	828	118	0	221	0	0	191	0	0
AC_WGS_31	1536	0	30	0	0	0	0	0	0
AC_WGS_32	1123	0	92	354	37	0	0	0	0
AC_WGS_33	594	660	0	16	0	252	0	0	0
AC_WGS_34	1259	0	120	0	289	0	0	0	0
AC_WGS_35	1302	36	24	0	0	0	0	0	0
AC_WGS_36	1225	580	55	0	0	0	0	0	0
AC_WGS_39	1331	0	60	399	0	0	43	0	0
AC_WGS_40	841	85	182	0	0	0	0	0	0
AC_WGS_41	655	0	231	0	600	64	0	0	0
AC_WGS_42	864	0	174	0	0	0	0	0	0
AC_WGS_43	1275	0	151	0	0	0	0	0	0
AC_WGS_45	1091	76	68	0	0	0	0	0	0
AC_WGS_46	1077	72	120	0	0	0	0	0	0
AC_WGS_49	601	52	198	102	111	0	0	0	0
AC_WGS_50	380	497	139	0	0	120	0	0	0
AC_WGS_51	711	453	46	0	0	0	0	0	0
AC_WGS_52	423	567	87	0	0	0	0	0	0
AC_WGS_53	782	0	203	0	0	0	0	0	0
AC_WGS_11	851	294	172	0	0	0	0	0	0
AC_WGS_37	916	77	116	0	0	0	0	0	0
RC596TH1	253	0	287	0	0	0	58	0	0
RC597TH1	118	197	296	0	0	0	0	0	0
RC598TH1	76	0	183	0	44	0	0	0	0
RC599TH1	17	139	148	0	0	8	122	0	0
RC602TH1	212	0	347	0	0	0	0	0	0
RC603TH1	0	0	66	0	449	536	68	0	0
