Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
PGENE_1T	4.78E+00	3.01E+00	6.81E-01	1.15E+00	6.74E+00	4.25E+00	1.98E+00	4.84E+00	1.29E+00
PGENE_2T	6.13E+00	2.17E+00	8.62E-02	8.17E-01	1.14E+01	5.91E+00	2.54E+00	5.75E+00	2.61E+00
PGENE_4T	5.44E+00	3.83E+00	9.86E-01	1.24E+00	7.84E+00	4.87E+00	2.56E+00	5.41E+00	1.60E+00
PGENE_5T	5.66E+00	6.86E+00	1.38E+00	2.23E+00	5.16E+00	3.55E+00	4.90E+00	6.05E+00	3.62E+00
PGENE_6T	3.76E+00	3.07E+00	2.95E-01	7.17E-01	6.67E+00	3.21E+00	2.52E+00	4.35E+00	2.07E+00
PGENE_8T	3.91E+00	4.34E+00	7.55E-01	1.09E+00	4.26E+00	2.54E+00	2.72E+00	3.69E+00	2.10E+00
PGENE_9T	5.11E+00	3.87E+00	4.47E-01	9.43E-01	8.59E+00	4.36E+00	2.49E+00	5.76E+00	2.05E+00
PGENE_10T	6.32E+00	4.21E+00	5.55E-01	6.99E-01	1.16E+01	5.35E+00	2.58E+00	6.93E+00	2.39E+00
AC_WGS_1T	6.65E+00	4.78E+00	8.06E-01	1.78E+00	1.02E+01	6.59E+00	3.99E+00	7.33E+00	3.21E+00
AC_WGS_2T	9.70E+00	1.12E+01	4.39E+00	3.16E+00	9.53E+00	8.04E+00	6.88E+00	1.05E+01	4.00E+00
AC_WGS_4	6.77E+00	5.93E+00	7.33E-01	1.22E+00	1.07E+01	5.60E+00	3.72E+00	7.38E+00	2.96E+00
AC_WGS_5	7.49E+00	5.72E+00	1.87E+00	2.82E+00	8.89E+00	7.29E+00	4.33E+00	8.29E+00	3.00E+00
AC_WGS_6	9.06E+00	4.58E+00	1.22E+00	1.82E+00	1.26E+01	7.76E+00	3.94E+00	7.91E+00	3.01E+00
AC_WGS_9T	1.11E+01	4.51E+00	8.77E-01	1.33E+00	1.51E+01	9.28E+00	3.15E+00	9.04E+00	2.24E+00
AC_WGS_10	5.65E+00	4.80E+00	1.31E+00	2.48E+00	8.07E+00	4.69E+00	4.24E+00	5.87E+00	3.61E+00
AC_WGS_44	7.69E+00	3.87E+00	2.87E-01	9.71E-01	1.48E+01	7.24E+00	3.36E+00	7.95E+00	3.54E+00
AC_WGS_12	5.04E+00	2.91E+00	5.59E-01	1.25E+00	9.41E+00	5.25E+00	2.94E+00	5.46E+00	2.89E+00
AC_WGS_13T	5.37E+00	4.08E+00	1.45E+00	1.93E+00	8.26E+00	5.08E+00	3.50E+00	6.13E+00	2.77E+00
AC_WGS_15	8.84E+00	4.88E+00	6.26E-01	1.18E+00	1.42E+01	7.74E+00	4.81E+00	8.95E+00	4.17E+00
AC_WGS_17	6.44E+00	3.36E+00	8.15E-01	1.01E+00	1.14E+01	6.04E+00	3.06E+00	5.94E+00	2.81E+00
AC_WGS_18T	7.36E+00	3.42E+00	2.16E-01	1.44E+00	1.40E+01	7.49E+00	4.12E+00	7.98E+00	4.13E+00
AC_WGS_20T	5.87E+00	3.05E+00	3.03E-01	1.19E+00	1.14E+01	5.65E+00	3.72E+00	6.55E+00	3.58E+00
AC_WGS_22	5.05E+00	5.47E+00	1.14E+00	1.98E+00	7.09E+00	4.57E+00	3.86E+00	6.76E+00	2.85E+00
AC_WGS_23	7.64E+00	7.08E+00	1.92E+00	2.90E+00	9.78E+00	7.01E+00	4.81E+00	1.01E+01	3.86E+00
AC_WGS_24	2.60E+00	1.44E+00	2.52E-01	7.07E-01	4.98E+00	2.50E+00	2.48E+00	3.02E+00	2.28E+00
AC_WGS_25	6.68E+00	3.69E+00	3.90E-01	1.39E+00	1.22E+01	6.52E+00	3.04E+00	7.35E+00	2.93E+00
AC_WGS_26	5.86E+00	3.07E+00	3.58E-01	1.38E+00	1.05E+01	5.97E+00	4.95E+00	6.38E+00	4.28E+00
AC_WGS_27	6.10E+00	3.95E+00	8.14E-01	1.22E+00	1.01E+01	5.46E+00	4.05E+00	6.37E+00	3.46E+00
AC_WGS_30	6.79E+00	5.30E+00	1.46E+00	2.55E+00	1.04E+01	6.64E+00	3.75E+00	8.68E+00	2.85E+00
AC_WGS_31	9.55E+00	3.30E+00	2.15E-01	1.04E+00	1.62E+01	9.06E+00	3.54E+00	8.20E+00	3.57E+00
AC_WGS_32	9.47E+00	4.23E+00	9.84E-01	1.66E+00	1.23E+01	8.40E+00	3.40E+00	8.55E+00	2.90E+00
AC_WGS_33	6.88E+00	8.41E+00	4.23E+00	2.80E+00	1.03E+01	5.43E+00	5.57E+00	8.15E+00	3.32E+00
AC_WGS_34	9.01E+00	4.53E+00	1.14E+00	2.08E+00	1.35E+01	8.94E+00	3.41E+00	9.00E+00	3.04E+00
AC_WGS_35	8.02E+00	3.67E+00	2.70E-01	9.65E-01	1.44E+01	7.49E+00	2.65E+00	8.07E+00	2.76E+00
AC_WGS_36	8.38E+00	5.83E+00	1.50E+00	2.27E+00	1.47E+01	8.15E+00	4.02E+00	9.62E+00	3.89E+00
AC_WGS_39	9.95E+00	4.50E+00	1.17E+00	1.91E+00	1.39E+01	8.92E+00	3.88E+00	9.48E+00	2.69E+00
AC_WGS_40	5.69E+00	3.48E+00	2.98E-01	1.38E+00	1.13E+01	5.33E+00	3.82E+00	6.30E+00	3.77E+00
