MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
1:Del:C:0	1.37E-09	1.74E-09	2.32E-09	3.13E-09	9.13E-10	1.23E-09	2.39E-09	1.33E-09	2.31E-09
1:Del:C:1	1.04E-03	1.28E-03	2.19E-03	1.22E-03	6.06E-04	1.02E-03	1.42E-03	1.07E-03	6.79E-04
1:Del:C:2	2.92E-04	3.12E-04	4.82E-04	5.25E-04	1.89E-04	2.98E-04	4.01E-04	2.83E-04	3.09E-04
1:Del:C:3	1.42E-04	2.06E-04	3.24E-04	2.78E-04	9.58E-05	1.66E-04	2.29E-04	1.54E-04	1.54E-04
1:Del:C:4	9.15E-05	1.16E-04	1.89E-04	1.95E-04	9.40E-05	1.09E-04	1.59E-04	1.24E-04	1.09E-04
1:Del:C:5	1.07E-04	1.26E-04	2.07E-04	2.19E-04	6.45E-05	1.16E-04	1.60E-04	1.29E-04	1.33E-04
1:Del:T:0	1.37E-09	1.74E-09	2.32E-09	3.13E-09	9.13E-10	1.23E-09	2.39E-09	1.33E-09	2.31E-09
1:Del:T:1	6.00E-04	8.97E-04	1.72E-03	1.20E-03	5.87E-04	6.81E-04	1.14E-03	7.89E-04	6.24E-04
1:Del:T:2	3.96E-04	4.48E-04	7.46E-04	6.88E-04	2.60E-04	3.94E-04	5.59E-04	4.40E-04	3.63E-04
1:Del:T:3	3.18E-04	3.75E-04	6.46E-04	5.23E-04	2.19E-04	3.31E-04	4.74E-04	3.63E-04	2.87E-04
1:Del:T:4	3.01E-04	3.60E-04	6.17E-04	6.23E-04	2.45E-04	3.03E-04	5.16E-04	3.67E-04	3.31E-04
1:Del:T:5	1.96E-03	2.80E-03	3.84E-03	4.57E-03	1.42E-03	1.69E-03	3.54E-03	2.28E-03	3.13E-03
1:Ins:C:0	1.78E-04	2.06E-04	3.44E-04	3.51E-04	1.37E-04	1.99E-04	2.60E-04	1.80E-04	1.78E-04
1:Ins:C:1	1.14E-04	1.36E-04	2.01E-04	1.45E-04	6.24E-05	1.31E-04	1.55E-04	1.33E-04	7.88E-05
1:Ins:C:2	1.18E-04	1.38E-04	1.67E-04	2.07E-04	6.93E-05	1.37E-04	1.55E-04	1.14E-04	1.08E-04
1:Ins:C:3	8.98E-05	1.01E-04	1.32E-04	1.69E-04	6.97E-05	1.25E-04	1.13E-04	1.08E-04	1.02E-04
1:Ins:C:4	8.75E-05	1.07E-04	1.64E-04	1.97E-04	6.18E-05	9.07E-05	1.28E-04	8.85E-05	8.21E-05
1:Ins:C:5	5.52E-04	5.88E-04	7.40E-04	8.09E-04	4.11E-04	5.61E-04	7.67E-04	5.82E-04	4.87E-04
1:Ins:T:0	2.66E-04	2.81E-04	4.22E-04	4.36E-04	1.81E-04	3.15E-04	3.80E-04	2.95E-04	2.47E-04
1:Ins:T:1	3.89E-04	4.47E-04	7.16E-04	5.39E-04	3.27E-04	4.97E-04	5.68E-04	4.19E-04	3.06E-04
1:Ins:T:2	1.93E-04	2.49E-04	3.28E-04	3.62E-04	1.74E-04	2.43E-04	3.00E-04	2.51E-04	2.34E-04
1:Ins:T:3	1.85E-04	2.31E-04	3.78E-04	4.18E-04	1.49E-04	2.27E-04	3.03E-04	2.06E-04	1.95E-04
1:Ins:T:4	1.93E-04	2.34E-04	3.63E-04	3.67E-04	1.55E-04	2.19E-04	2.77E-04	1.86E-04	1.89E-04
1:Ins:T:5	4.83E-03	4.74E-03	3.24E-03	3.82E-03	4.28E-03	5.65E-03	4.70E-03	5.01E-03	3.78E-03
2:Del:R:0	1.63E-03	2.40E-03	2.71E-03	4.51E-03	1.49E-03	1.97E-03	3.63E-03	1.98E-03	3.65E-03
2:Del:R:1	6.34E-05	8.27E-05	1.41E-04	1.45E-04	4.07E-05	8.32E-05	1.02E-04	6.97E-05	5.69E-05
2:Del:R:2	2.56E-05	3.72E-05	8.99E-05	4.99E-05	1.43E-05	2.34E-05	4.26E-05	2.97E-05	2.85E-05
2:Del:R:3	2.94E-06	9.15E-06	9.08E-06	1.98E-05	4.19E-06	8.55E-06	1.62E-05	9.19E-06	1.96E-05
2:Del:R:4	4.03E-06	7.85E-06	1.30E-05	1.40E-05	5.13E-06	7.83E-06	8.51E-06	7.39E-06	5.94E-06
2:Del:R:5	4.38E-05	6.03E-05	6.71E-05	7.91E-05	2.34E-05	5.75E-05	8.28E-05	4.49E-05	3.81E-05
3:Del:R:0	2.83E-04	3.68E-04	4.66E-04	6.28E-04	2.01E-04	2.76E-04	4.75E-04	3.49E-04	3.34E-04
3:Del:R:1	7.13E-05	7.63E-05	1.00E-04	1.39E-04	3.33E-05	6.83E-05	9.46E-05	8.45E-05	7.18E-05
3:Del:R:2	1.73E-05	2.06E-05	3.67E-05	3.86E-05	1.02E-05	2.22E-05	2.58E-05	2.66E-05	1.89E-05
3:Del:R:3	1.37E-09	1.74E-09	2.32E-09	3.13E-09	9.13E-10	1.23E-09	2.39E-09	1.33E-09	2.31E-09
3:Del:R:4	7.56E-06	6.24E-06	1.08E-05	1.54E-05	1.99E-06	7.89E-06	8.19E-06	8.09E-06	5.45E-06
3:Del:R:5	1.37E-09	1.74E-09	2.32E-09	3.13E-09	9.13E-10	1.23E-09	2.39E-09	1.33E-09	2.31E-09
4:Del:R:0	2.25E-04	2.60E-04	3.88E-04	4.74E-04	2.24E-04	2.80E-04	3.90E-04	2.32E-04	2.02E-04
4:Del:R:1	3.00E-05	2.69E-05	4.41E-05	4.92E-05	1.30E-05	2.43E-05	2.57E-05	2.52E-05	2.35E-05
4:Del:R:2	1.00E-05	9.36E-06	1.44E-05	1.68E-05	8.21E-06	1.44E-05	1.21E-05	8.80E-06	9.37E-06
4:Del:R:3	1.37E-09	1.74E-09	2.32E-09	3.13E-09	9.13E-10	1.23E-09	2.39E-09	1.33E-09	2.31E-09
4:Del:R:4	1.37E-09	1.74E-09	2.32E-09	3.13E-09	9.13E-10	1.23E-09	2.39E-09	1.33E-09	2.31E-09
4:Del:R:5	1.37E-09	1.74E-09	2.32E-09	3.13E-09	9.13E-10	1.23E-09	2.39E-09	1.33E-09	2.31E-09
5:Del:R:0	5.34E-04	6.60E-04	9.58E-04	9.21E-04	3.25E-04	5.59E-04	7.79E-04	5.45E-04	5.98E-04
5:Del:R:1	4.94E-06	6.42E-06	1.91E-05	1.17E-05	2.04E-06	3.86E-06	7.24E-06	6.08E-06	4.24E-06
5:Del:R:2	1.37E-09	1.74E-09	2.32E-09	3.13E-09	9.13E-10	1.23E-09	2.39E-09	1.33E-09	2.31E-09
5:Del:R:3	1.37E-09	1.74E-09	2.32E-09	3.13E-09	9.13E-10	1.23E-09	2.39E-09	1.33E-09	2.31E-09
5:Del:R:4	1.37E-09	1.74E-09	2.32E-09	3.13E-09	9.13E-10	1.23E-09	2.39E-09	1.33E-09	2.31E-09
5:Del:R:5	1.37E-09	1.74E-09	2.32E-09	3.13E-09	9.13E-10	1.23E-09	2.39E-09	1.33E-09	2.31E-09
2:Ins:R:0	2.11E-04	2.69E-04	3.91E-04	4.53E-04	1.49E-04	2.36E-04	3.47E-04	2.41E-04	2.63E-04
2:Ins:R:1	1.21E-04	1.56E-04	2.46E-04	2.74E-04	1.04E-04	1.48E-04	2.01E-04	1.45E-04	1.40E-04
