Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
PGENE_1T	811	0.998	129.262	15.939%	41.137	8.009%	0.2697
PGENE_2T	1005	0.999	71.984	7.163%	37.339	5.485%	0.0164
PGENE_4T	1075	0.998	200.492	18.65%	61.558	9.269%	0.3007
PGENE_5T	923	0.995	195.634	21.195%	58.223	11.81%	0.0748
PGENE_6T	775	0.999	87.752	11.323%	38.341	7.961%	0.0948
PGENE_8T	644	0.996	131.811	20.468%	41.473	11.166%	0.0737
PGENE_9T	956	0.999	99.323	10.389%	32.21	5.273%	0.0919
PGENE_10T	1095	0.999	91.446	8.351%	36.039	4.969%	0.074
AC_WGS_1T	1451	1.0	211.857	14.601%	72.707	8.217%	0.1497
AC_WGS_2T	1549	0.998	216.514	13.978%	54.648	6.729%	0.0402
AC_WGS_4	1314	0.999	149.64	11.388%	50.156	6.011%	0.1226
AC_WGS_5	1520	0.998	265.474	17.465%	77.058	9.308%	0.049
AC_WGS_6	1765	0.999	331.713	18.794%	102.718	9.55%	0.2374
AC_WGS_9T	1785	0.996	281.212	15.754%	106.457	8.991%	0.1524
AC_WGS_10	1203	0.997	205.193	17.057%	59.093	8.856%	0.0514
AC_WGS_44	1301	1.0	78.083	6.002%	31.609	3.612%	0.0143
AC_WGS_12	1070	0.999	130.758	12.22%	47.64	7.159%	0.12
AC_WGS_13T	1273	0.999	123.057	9.667%	31.261	4.353%	0.025
AC_WGS_15	1511	1.0	89.749	5.94%	24.312	2.482%	0.0571
AC_WGS_17	1260	1.0	120.223	9.542%	39.624	4.998%	0.1262
AC_WGS_18T	1378	0.999	99.624	7.23%	39.419	4.42%	0.0147
AC_WGS_20T	1146	0.999	68.431	5.971%	30.642	4.179%	0.0111
AC_WGS_22	1036	0.999	116.52	11.247%	27.486	4.739%	0.0407
AC_WGS_23	1559	0.999	137.198	8.8%	33.276	3.911%	0.0281
AC_WGS_24	584	0.995	84.747	14.511%	44.106	12.322%	0.043
AC_WGS_25	1288	0.999	87.545	6.797%	29.873	3.579%	0.0635
AC_WGS_26	1179	0.996	161.882	13.73%	74.438	10.036%	0.0483
AC_WGS_27	1253	0.999	130.579	10.421%	63.168	8.208%	0.1239
AC_WGS_30	1358	0.999	157.014	11.562%	43.619	5.545%	0.0335
AC_WGS_31	1566	0.998	144.457	9.225%	71.356	6.677%	0.0156
AC_WGS_32	1606	0.998	262.198	16.326%	77.948	7.748%	0.2173
AC_WGS_33	1522	0.999	210.815	13.851%	53.329	6.73%	0.0311
AC_WGS_34	1668	0.998	222.93	13.365%	73.159	6.917%	0.1654
AC_WGS_35	1362	0.999	128.484	9.433%	51.012	5.55%	0.0257
AC_WGS_36	1860	0.999	137.855	7.412%	43.819	3.872%	0.0205
AC_WGS_39	1833	0.998	280.983	15.329%	86.517	7.496%	0.1747
AC_WGS_40	1108	0.998	120.101	10.839%	52.466	7.511%	0.028
AC_WGS_41	1550	0.998	270.661	17.462%	80.534	9.054%	0.0537
AC_WGS_42	1038	0.999	90.958	8.763%	38.016	5.709%	0.0211
AC_WGS_43	1426	1.0	59.353	4.162%	19.327	2.081%	0.0126
AC_WGS_45	1235	1.0	59.045	4.781%	25.117	3.033%	0.0128
AC_WGS_46	1269	1.0	45.265	3.567%	15.515	1.882%	0.0111
AC_WGS_49	1064	1.0	77.543	7.288%	18.832	3.001%	0.0359
AC_WGS_50	1136	0.997	210.166	18.501%	57.626	10.051%	0.047
AC_WGS_51	1210	0.999	165.723	13.696%	56.681	7.53%	0.1474
AC_WGS_52	1077	0.999	135.328	12.565%	39.91	6.533%	0.0324
AC_WGS_53	985	0.997	132.146	13.416%	59.341	9.67%	0.044
AC_WGS_11	1317	0.999	136.673	10.378%	36.132	4.607%	0.0287
AC_WGS_37	1109	1.0	63.517	5.727%	18.716	2.612%	0.0458
RC596TH1	598	0.951	278.77	46.617%	100.3	33.701%	0.23
RC597TH1	611	0.948	394.523	64.57%	126.358	37.536%	0.3801
RC598TH1	303	0.946	160.92	53.109%	54.422	35.334%	0.2913
RC599TH1	434	0.923	214.634	49.455%	76.536	41.576%	0.2261
RC602TH1	559	0.934	337.046	60.294%	113.909	39.251%	0.3287
RC603TH1	1119	0.992	179.564	16.047%	51.804	13.104%	0.0414
