MutationsType	ID83A	ID83B
1:Del:C:0	0.00000008	0.00000010
1:Del:C:1	0.00021400	0.11756537
1:Del:C:2	0.00002070	0.02778171
1:Del:C:3	0.00000033	0.01368327
1:Del:C:4	0.00000002	0.00801672
1:Del:C:5	0.00115158	0.00475978
1:Del:T:0	0.00000008	0.00000010
1:Del:T:1	0.00040211	0.06396408
1:Del:T:2	0.00019434	0.03919490
1:Del:T:3	0.00002053	0.03412841
1:Del:T:4	0.00018130	0.02692091
1:Del:T:5	0.18293869	0.11692465
1:Ins:C:0	0.00060848	0.01284909
1:Ins:C:1	0.00010556	0.00883781
1:Ins:C:2	0.00004247	0.00662304
1:Ins:C:3	0.00002858	0.00469601
1:Ins:C:4	0.00000292	0.00628385
1:Ins:C:5	0.00062343	0.03411967
1:Ins:T:0	0.00285969	0.01861535
1:Ins:T:1	0.00051278	0.03499863
1:Ins:T:2	0.00087544	0.01668221
1:Ins:T:3	0.00059392	0.01484648
1:Ins:T:4	0.00045882	0.01537035
1:Ins:T:5	0.61160754	0.00041287
2:Del:R:0	0.15377297	0.05924760
2:Del:R:1	0.00000452	0.00414839
2:Del:R:2	0.00000282	0.00196652
2:Del:R:3	0.00007867	0.00006206
2:Del:R:4	0.00000004	0.00017452
2:Del:R:5	0.00053366	0.00022575
3:Del:R:0	0.00505733	0.01231733
3:Del:R:1	0.00038434	0.00180697
3:Del:R:2	0.00001293	0.00072099
3:Del:R:3	0.00000008	0.00000010
3:Del:R:4	0.00000004	0.00016739
3:Del:R:5	0.00000008	0.00000010
4:Del:R:0	0.00074352	0.01403364
4:Del:R:1	0.00000107	0.00099009
4:Del:R:2	0.00003157	0.00002094
4:Del:R:3	0.00000008	0.00000010
4:Del:R:4	0.00000008	0.00000010
4:Del:R:5	0.00000008	0.00000010
5:Del:R:0	0.00019929	0.05054457
5:Del:R:1	0.00000004	0.00016628
5:Del:R:2	0.00000008	0.00000010
5:Del:R:3	0.00000008	0.00000010
5:Del:R:4	0.00000008	0.00000010
5:Del:R:5	0.00000008	0.00000010
2:Ins:R:0	0.00167281	0.01635159
2:Ins:R:1	0.00000347	0.00996015
2:Ins:R:2	0.00031802	0.00317769
2:Ins:R:3	0.00003299	0.00184907
2:Ins:R:4	0.00027721	0.00241858
2:Ins:R:5	0.01880459	0.04721019
3:Ins:R:0	0.00026913	0.00369468
3:Ins:R:1	0.00003196	0.00784575
3:Ins:R:2	0.00003264	0.00085943
3:Ins:R:3	0.00000008	0.00000010
3:Ins:R:4	0.00000088	0.00015353
3:Ins:R:5	0.00009376	0.00124986
4:Ins:R:0	0.00002145	0.00464572
4:Ins:R:1	0.00000166	0.01002209
4:Ins:R:2	0.00000073	0.00049030
4:Ins:R:3	0.00000008	0.00000010
4:Ins:R:4	0.00000260	0.00046954
4:Ins:R:5	0.00000050	0.00134302
5:Ins:R:0	0.00002196	0.00908052
5:Ins:R:1	0.00005606	0.01497731
5:Ins:R:2	0.00000005	0.00032479
5:Ins:R:3	0.00001516	0.00001256
5:Ins:R:4	0.00000002	0.00034480
5:Ins:R:5	0.00000005	0.00018255
2:Del:M:1	0.00047692	0.01803627
3:Del:M:1	0.00948627	0.00741483
3:Del:M:2	0.00152376	0.00288309
4:Del:M:1	0.00069307	0.00846802
4:Del:M:2	0.00173735	0.00277485
4:Del:M:3	0.00005350	0.00183291
5:Del:M:1	0.00000014	0.03101666
5:Del:M:2	0.00000404	0.01149867
5:Del:M:3	0.00009407	0.00359328
5:Del:M:4	0.00000508	0.00095346
5:Del:M:5	0.00000099	0.00099481
