Samples	ID1	ID2	ID83B
PGENE_1T	627	184	0
PGENE_2T	791	214	0
PGENE_4T	644	142	289
PGENE_5T	453	192	278
PGENE_6T	558	217	0
PGENE_8T	339	133	172
PGENE_9T	701	255	0
PGENE_10T	823	272	0
AC_WGS_1T	853	224	374
AC_WGS_2T	746	193	610
AC_WGS_4	964	350	0
AC_WGS_5	822	186	512
AC_WGS_6	1046	251	468
AC_WGS_9T	1412	373	0
AC_WGS_10	608	220	375
AC_WGS_44	994	307	0
AC_WGS_12	630	152	288
AC_WGS_13T	679	165	429
AC_WGS_15	1156	355	0
AC_WGS_17	950	310	0
AC_WGS_18T	1055	323	0
AC_WGS_20T	847	299	0
AC_WGS_22	541	173	322
AC_WGS_23	825	239	495
AC_WGS_24	421	163	0
AC_WGS_25	998	290	0
AC_WGS_26	682	150	347
AC_WGS_27	924	329	0
AC_WGS_30	763	201	394
AC_WGS_31	1240	326	0
AC_WGS_32	990	226	390
AC_WGS_33	717	205	600
AC_WGS_34	1031	213	424
AC_WGS_35	1059	303	0
AC_WGS_36	1097	313	450
AC_WGS_39	1138	265	430
AC_WGS_40	800	308	0
AC_WGS_41	869	175	506
AC_WGS_42	765	273	0
AC_WGS_43	1083	343	0
AC_WGS_45	937	298	0
AC_WGS_46	949	320	0
AC_WGS_49	584	162	318
AC_WGS_50	499	164	473
AC_WGS_51	883	327	0
AC_WGS_52	560	188	329
AC_WGS_53	709	276	0
AC_WGS_11	724	224	369
AC_WGS_37	826	283	0
RC596TH1	220	119	259
RC597TH1	236	154	221
RC598TH1	112	59	132
RC599TH1	111	80	243
RC602TH1	200	122	237
RC603TH1	333	0	786
