Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
PGENE_1T	811	0.981	335.504	41.369%	124.13	24.168%	1.1079
PGENE_2T	1005	0.972	390.098	38.816%	171.537	25.197%	1.0696
PGENE_4T	1075	0.983	413.666	38.481%	134.578	20.263%	0.2795
PGENE_5T	923	0.972	369.369	40.018%	118.423	24.021%	0.3064
PGENE_6T	775	0.969	337.031	43.488%	134.15	27.854%	1.1237
PGENE_8T	644	0.979	262.07	40.694%	82.434	22.194%	0.3178
PGENE_9T	956	0.976	369.475	38.648%	147.117	24.084%	0.969
PGENE_10T	1095	0.981	383.598	35.032%	152.985	21.095%	0.988
AC_WGS_1T	1451	0.976	609.35	41.995%	204.244	23.084%	0.3373
AC_WGS_2T	1549	0.982	561.691	36.262%	174.317	21.465%	0.2009
AC_WGS_4	1314	0.977	512.807	39.026%	200.111	23.983%	1.0486
AC_WGS_5	1520	0.981	489.396	32.197%	166.097	20.064%	0.1927
AC_WGS_6	1765	0.982	688.945	39.034%	218.348	20.299%	0.2689
AC_WGS_9T	1785	0.985	634.334	35.537%	241.59	20.404%	0.8226
AC_WGS_10	1203	0.966	528.196	43.907%	180.804	27.095%	0.3335
AC_WGS_44	1301	0.976	465.641	35.791%	203.464	23.249%	0.9834
AC_WGS_12	1070	0.966	506.35	47.322%	180.676	27.15%	0.4272
AC_WGS_13T	1273	0.968	531.391	41.743%	188.062	26.184%	0.3004
AC_WGS_15	1511	0.972	624.585	41.336%	258.874	26.433%	1.1525
AC_WGS_17	1260	0.971	552.982	43.887%	221.568	27.95%	1.1845
AC_WGS_18T	1378	0.962	598.524	43.434%	272.539	30.562%	1.1743
AC_WGS_20T	1146	0.966	488.227	42.603%	209.598	28.583%	1.1599
AC_WGS_22	1036	0.971	432.381	41.736%	145.842	25.147%	0.3112
AC_WGS_23	1559	0.976	597.304	38.313%	189.965	22.325%	0.2589
AC_WGS_24	584	0.949	277.699	47.551%	127.927	35.739%	1.2334
AC_WGS_25	1288	0.969	543.949	42.232%	234.933	28.143%	1.1019
AC_WGS_26	1179	0.953	656.551	55.687%	235.819	31.795%	0.5543
AC_WGS_27	1253	0.966	571.12	45.58%	235.085	30.546%	1.2155
AC_WGS_30	1358	0.977	538.733	39.671%	173.84	22.098%	0.2792
AC_WGS_31	1566	0.976	574.67	36.697%	253.827	23.753%	1.0694
AC_WGS_32	1606	0.982	602.406	37.51%	200.618	19.942%	0.277
AC_WGS_33	1522	0.982	541.873	35.603%	172.864	21.814%	0.1843
AC_WGS_34	1668	0.979	695.803	41.715%	232.454	21.979%	0.3305
AC_WGS_35	1362	0.978	497.956	36.561%	206.703	22.491%	0.937
AC_WGS_36	1860	0.979	753.188	40.494%	242.008	21.385%	0.3166
AC_WGS_39	1833	0.982	710.25	38.748%	229.654	19.897%	0.2925
AC_WGS_40	1108	0.962	474.796	42.852%	209.634	30.011%	1.1557
AC_WGS_41	1550	0.978	578.963	37.352%	195.871	22.021%	0.2426
AC_WGS_42	1038	0.96	442.253	42.606%	201.889	30.317%	1.2949
AC_WGS_43	1426	0.967	591.737	41.496%	260.335	28.033%	1.2213
AC_WGS_45	1235	0.976	439.834	35.614%	192.894	23.295%	0.9113
AC_WGS_46	1269	0.971	510.649	40.24%	216.149	26.222%	1.0814
AC_WGS_49	1064	0.968	488.872	45.947%	166.17	26.484%	0.3671
AC_WGS_50	1136	0.965	458.5	40.361%	161.186	28.113%	0.2503
AC_WGS_51	1210	0.976	483.775	39.981%	190.25	25.275%	1.1648
AC_WGS_52	1077	0.974	432.442	40.152%	149.252	24.432%	0.2833
AC_WGS_53	985	0.957	427.262	43.377%	198.254	32.306%	1.1479
AC_WGS_11	1317	0.968	600.586	45.603%	207.641	26.475%	0.3731
AC_WGS_37	1109	0.969	444.536	40.084%	192.771	26.904%	1.038
RC596TH1	598	0.886	344.499	57.609%	139.678	46.933%	0.5339
RC597TH1	611	0.902	414.356	67.816%	150.653	44.753%	0.6917
RC598TH1	303	0.875	199.386	65.804%	75.654	49.119%	0.6401
RC599TH1	434	0.871	234.853	54.114%	91.768	49.85%	0.4065
RC602TH1	559	0.869	382.907	68.499%	146.083	50.337%	0.6755
RC603TH1	1119	0.976	351.35	31.399%	93.535	23.66%	0.0961
