MutationsType	ID1	ID2	ID83B
1:Del:C:0	0.00015989	0.00482412	0.00000010
1:Del:C:1	0.00077352	0.00002210	0.11756537
1:Del:C:2	0.00000000	0.00000311	0.02778171
1:Del:C:3	0.00190761	0.00247208	0.01368327
1:Del:C:4	0.00070599	0.00385698	0.00801672
1:Del:C:5	0.00337011	0.01461542	0.00475978
1:Del:T:0	0.00131160	0.00790597	0.00000010
1:Del:T:1	0.00000000	0.00000000	0.06396408
1:Del:T:2	0.00093645	0.00703642	0.03919490
1:Del:T:3	0.00229585	0.02023474	0.03412841
1:Del:T:4	0.00429142	0.04711993	0.02692091
1:Del:T:5	0.00000000	0.81469722	0.11692465
1:Ins:C:0	0.00000000	0.00000000	0.01284909
1:Ins:C:1	0.00000000	0.00022703	0.00883781
1:Ins:C:2	0.00000000	0.00002620	0.00662304
1:Ins:C:3	0.00084599	0.00043005	0.00469601
1:Ins:C:4	0.00178553	0.00291185	0.00628385
1:Ins:C:5	0.02429654	0.00901754	0.03411967
1:Ins:T:0	0.00228382	0.00132856	0.01861535
1:Ins:T:1	0.00004030	0.00000000	0.03499863
1:Ins:T:2	0.00019286	0.00064703	0.01668221
1:Ins:T:3	0.00424327	0.00108288	0.01484648
1:Ins:T:4	0.01664913	0.00348746	0.01537035
1:Ins:T:5	0.89090646	0.00313258	0.00041287
2:Del:R:0	0.00119782	0.00017555	0.05924760
2:Del:R:1	0.00068605	0.00016381	0.00414839
2:Del:R:2	0.00121997	0.00356888	0.00196652
2:Del:R:3	0.00047275	0.00184957	0.00006206
2:Del:R:4	0.00042672	0.00073904	0.00017452
2:Del:R:5	0.00005460	0.00088193	0.00022575
3:Del:R:0	0.00000000	0.00000000	0.01231733
3:Del:R:1	0.00040204	0.00033185	0.00180697
3:Del:R:2	0.00000788	0.00027166	0.00072099
3:Del:R:3	0.00022135	0.00103534	0.00000010
3:Del:R:4	0.00051427	0.00038133	0.00016739
3:Del:R:5	0.00291310	0.00197742	0.00000010
4:Del:R:0	0.01812158	0.01363338	0.01403364
4:Del:R:1	0.00008190	0.00000055	0.00099009
4:Del:R:2	0.00147959	0.00294406	0.00002094
4:Del:R:3	0.00012804	0.00001250	0.00000010
4:Del:R:4	0.00501109	0.00500326	0.00000010
4:Del:R:5	0.00076938	0.00228989	0.00000010
5:Del:R:0	0.00037126	0.00040259	0.05054457
5:Del:R:1	0.00000000	0.00000000	0.00016628
5:Del:R:2	0.00000000	0.00000000	0.00000010
5:Del:R:3	0.00000031	0.00005780	0.00000010
5:Del:R:4	0.00025469	0.00122705	0.00000010
5:Del:R:5	0.00004410	0.00021007	0.00000010
2:Ins:R:0	0.00016670	0.00000302	0.01635159
2:Ins:R:1	0.00008890	0.00014181	0.00996015
2:Ins:R:2	0.00124870	0.00186471	0.00317769
2:Ins:R:3	0.00008380	0.00014700	0.00184907
2:Ins:R:4	0.00014548	0.00055061	0.00241858
2:Ins:R:5	0.00016068	0.00069357	0.04721019
3:Ins:R:0	0.00009970	0.00001210	0.00369468
3:Ins:R:1	0.00090050	0.00211579	0.00784575
3:Ins:R:2	0.00000323	0.00054329	0.00085943
3:Ins:R:3	0.00000000	0.00000727	0.00000010
3:Ins:R:4	0.00000000	0.00000000	0.00015353
3:Ins:R:5	0.00002890	0.00021041	0.00124986
4:Ins:R:0	0.00000000	0.00001680	0.00464572
4:Ins:R:1	0.00074438	0.00120373	0.01002209
4:Ins:R:2	0.00007550	0.00001220	0.00049030
4:Ins:R:3	0.00015754	0.00013417	0.00000010
4:Ins:R:4	0.00031965	0.00024939	0.00046954
4:Ins:R:5	0.00100132	0.00219354	0.00134302
5:Ins:R:0	0.00000082	0.00062496	0.00908052
5:Ins:R:1	0.00000000	0.00011771	0.01497731
5:Ins:R:2	0.00000000	0.00005670	0.00032479
5:Ins:R:3	0.00003880	0.00046284	0.00001256
5:Ins:R:4	0.00066512	0.00236732	0.00034480
5:Ins:R:5	0.00000835	0.00003850	0.00018255
2:Del:M:1	0.00019068	0.00297751	0.01803627
3:Del:M:1	0.00012636	0.00039753	0.00741483
3:Del:M:2	0.00001890	0.00015815	0.00288309
4:Del:M:1	0.00000311	0.00008470	0.00846802
4:Del:M:2	0.00003130	0.00002120	0.00277485
4:Del:M:3	0.00000000	0.00000000	0.00183291
5:Del:M:1	0.00144313	0.00013566	0.03101666
5:Del:M:2	0.00025483	0.00000553	0.01149867
5:Del:M:3	0.00023709	0.00009770	0.00359328
5:Del:M:4	0.00026187	0.00000215	0.00095346
5:Del:M:5	0.00011983	0.00011563	0.00099481
