Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
PGENE_1T	173	410	275	740	362	212	34	154	913	85
PGENE_2T	0	0	3	0	0	64	11	0	0	0
PGENE_4T	9331	0	188	1453	31	442	58	0	0	0
PGENE_5T	96	44	77	1016	890	344	482	44	164	55
PGENE_6T	2	0	72	251	40	119	14	93	8	12
PGENE_8T	246	38	36	302	235	1447	206	30	0	21
PGENE_9T	84	100	9	0	109	146	99	278	8	23
PGENE_10T	0	74	33	406	55	78	49	125	102	25
AC_WGS_1T	235	217	33	602	125	115	98	287	69	38
AC_WGS_2T	3092	472	20115	0	375	64	324	149	52	39
AC_WGS_4	95	507	194	254	265	597	59	98	0	25
AC_WGS_5	198	80	324	234	1488	160	5998	162	121	139
AC_WGS_6	303	849	103	1565	109	1189	996	467	855	187
AC_WGS_9T	72	399	0	1189	144	631	350	207	172	44
AC_WGS_10	371	35	260	274	244	362	212	2049	44	57
AC_WGS_44	0	1	2	15	0	0	0	4	14	0
AC_WGS_12	365	109	55	117	404	0	117	183	144	41
AC_WGS_13T	135	248	615	459	139	231	287	186	65	8156
AC_WGS_15	79	82	3	439	118	168	160	64	3	12
AC_WGS_17	204	261	230	183	249	1278	24	172	178	45
AC_WGS_18T	0	0	1	2	0	0	0	22	2	0
AC_WGS_20T	10	0	0	20	0	0	0	3	11	1
AC_WGS_22	229	4	89	1204	214	594	0	181	120	169
AC_WGS_23	1424	78	315	1934	545	1306	670	730	786	77
AC_WGS_24	0	13	7	7	3	10	0	43	9	0
AC_WGS_25	49	0	67	373	106	312	58	114	48	18
AC_WGS_26	10	30	0	315	52	100	70	85	50	22
AC_WGS_27	0	425	99	493	70	327	130	0	28	18
AC_WGS_30	225	385	0	2298	189	618	809	71	619	97
AC_WGS_31	1	0	0	18	0	0	0	0	15	1
AC_WGS_32	107	310	17	1099	713	457	706	119	539	117
AC_WGS_33	6175	8859	1203	533	682	0	593	99	2007	164
AC_WGS_34	107	0	283	0	2820	1517	0	182	374	145
AC_WGS_35	20	4	4	94	27	37	0	16	11	1
AC_WGS_36	78	421	0	760	1739	302	741	0	8	43
AC_WGS_39	190	323	168	1044	501	613	0	180	671	82
AC_WGS_40	0	0	0	14	0	0	0	9	8	0
AC_WGS_41	271	2744	883	1764	3058	1051	0	299	0	23
AC_WGS_42	4	0	0	3	0	0	0	8	8	1
AC_WGS_43	3	23	0	2	0	5	12	0	18	1
AC_WGS_45	1	2	1	16	0	0	4	6	6	0
AC_WGS_46	1	0	3	4	0	11	0	21	6	3
AC_WGS_49	17	213	14	771	725	95	309	63	62	45
AC_WGS_50	72	482	677	125	683	1055	1341	146	3561	129
AC_WGS_51	149	192	82	438	378	116	135	118	302	40
AC_WGS_52	231	388	122	1056	718	333	789	30	134	101
AC_WGS_53	102	116	24	25	18	161	51	46	19	18
AC_WGS_11	114	279	116	881	1249	206	177	102	142	37
AC_WGS_37	43	205	15	155	63	150	0	0	0	0
RC596TH1	113	91	13	0	2164	50	0	20	0	25
RC597TH1	105	309	10	0	0	583	0	0	0	2
RC598TH1	62	186	0	369	24	307	25	0	0	12
RC599TH1	59	0	166	911	425	430	319	249	606	40
RC602TH1	678	122	65	298	29	84	42	475	0	25
RC603TH1	27387	9379	0	0	741	357	276	6160	18	370
