Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
PGENE_1T	3.75E+00	3.93E+00	5.24E+00	2.34E+00	2.61E+00	2.23E+00	1.84E+00	5.47E+00	1.92E+00	6.20E-01
PGENE_2T	8.38E-02	1.86E-01	9.31E-02	2.89E-01	1.42E-01	2.70E-01	1.57E-01	1.51E-01	2.28E-02	0.00E+00
PGENE_4T	2.26E+00	3.30E+00	1.35E+01	1.18E+01	9.76E+00	2.03E+00	7.66E+00	1.10E+01	8.45E-02	9.67E-01
PGENE_5T	1.62E+00	2.84E+00	4.35E+00	2.78E+00	1.42E+00	3.36E+00	1.42E+00	3.89E+00	2.59E+00	5.76E-01
PGENE_6T	4.12E-01	3.04E-01	1.48E+00	9.78E-01	3.46E-01	4.50E-01	5.44E-01	1.30E+00	4.87E-01	1.96E-01
PGENE_8T	8.51E-01	2.91E+00	3.86E+00	3.25E+00	2.69E+00	2.01E+00	1.51E+00	3.65E+00	1.41E+00	3.86E-01
PGENE_9T	6.28E-01	1.97E+00	1.05E+00	1.13E+00	1.31E+00	1.19E+00	7.90E-01	1.89E+00	7.52E-01	2.62E-01
PGENE_10T	1.12E+00	1.45E+00	1.58E+00	1.08E+00	2.79E-01	1.25E+00	5.58E-01	1.74E+00	6.09E-01	3.04E-01
AC_WGS_1T	9.67E-01	2.44E+00	2.25E+00	1.68E+00	1.77E+00	1.76E+00	1.06E+00	2.56E+00	9.34E-01	3.77E-01
AC_WGS_2T	3.03E+00	2.28E+01	2.92E+00	4.69E+00	4.18E+01	1.38E+01	3.71E+01	8.03E+00	1.98E+01	1.25E+00
AC_WGS_4	7.49E-01	3.67E+00	2.14E+00	2.36E+00	2.17E+00	1.57E+00	1.51E+00	2.55E+00	1.13E+00	3.58E-01
AC_WGS_5	8.05E+00	5.84E+00	1.73E+01	7.54E+00	3.40E+00	2.21E+01	4.68E+00	5.93E+00	2.26E+01	2.53E+00
AC_WGS_6	1.07E+01	7.33E+00	1.33E+01	6.00E+00	3.76E+00	8.53E+00	2.88E+00	1.18E+01	3.12E+00	9.70E-01
AC_WGS_9T	1.78E+00	4.30E+00	5.46E+00	3.65E+00	1.32E+00	2.91E+00	4.31E-01	6.54E+00	1.69E+00	5.18E-01
AC_WGS_10	1.54E+00	9.53E+00	8.58E+00	5.54E+00	5.81E+00	3.37E+00	3.38E+00	1.00E+01	2.34E+00	5.31E-01
AC_WGS_44	2.78E-01	1.07E-01	2.64E-01	1.79E-02	0.00E+00	2.17E-02	7.02E-02	2.58E-01	5.90E-02	0.00E+00
AC_WGS_12	1.44E+00	2.23E+00	1.88E+00	3.37E-01	1.64E+00	1.66E+00	1.02E+00	2.06E+00	1.19E+00	3.78E-01
AC_WGS_13T	3.49E+00	6.96E+00	1.22E+01	3.61E+00	3.85E+00	6.87E+00	4.30E+00	8.50E+00	2.64E+00	1.34E+01
AC_WGS_15	6.04E-01	1.51E+00	2.09E+00	1.39E+00	8.50E-01	1.58E+00	5.82E-01	1.88E+00	8.94E-01	2.46E-01
AC_WGS_17	1.63E+00	3.73E+00	2.82E+00	3.11E+00	2.67E+00	1.84E+00	1.71E+00	2.78E+00	1.32E+00	4.37E-01
AC_WGS_18T	1.30E-01	2.20E-02	2.25E-01	3.83E-02	6.93E-02	1.00E-03	3.52E-02	2.55E-01	0.00E+00	0.00E+00
AC_WGS_20T	3.44E-01	1.68E-01	3.76E-01	0.00E+00	1.35E-01	6.08E-03	0.00E+00	3.21E-01	0.00E+00	5.68E-02
AC_WGS_22	1.72E+00	1.74E+00	3.95E+00	3.11E+00	1.91E+00	1.02E+00	1.16E+00	3.87E+00	1.07E+00	7.74E-01
AC_WGS_23	4.25E+00	6.02E+00	8.32E+00	6.11E+00	3.95E+00	5.88E+00	2.69E+00	7.44E+00	3.23E+00	7.99E-01
AC_WGS_24	3.30E-01	3.24E-01	4.63E-01	2.48E-01	2.00E-01	1.21E-01	1.38E-01	5.45E-01	1.07E-01	0.00E+00
AC_WGS_25	7.10E-01	1.84E+00	2.41E+00	1.65E+00	8.73E-01	1.11E+00	8.16E-01	2.46E+00	7.87E-01	2.69E-01
AC_WGS_26	1.02E+00	1.07E+00	1.55E+00	1.03E+00	3.62E-01	1.04E+00	1.51E-01	1.52E+00	5.43E-01	2.78E-01
AC_WGS_27	7.66E-01	2.92E+00	2.52E+00	2.08E+00	4.10E-01	1.84E+00	1.24E+00	2.69E+00	8.57E-01	3.09E-01
AC_WGS_30	5.24E+00	4.65E+00	8.46E+00	5.12E+00	2.94E+00	5.85E+00	7.43E-01	8.39E+00	3.04E+00	7.76E-01
AC_WGS_31	3.13E-01	3.00E-03	3.02E-01	0.00E+00	3.39E-02	0.00E+00	0.00E+00	2.45E-01	0.00E+00	5.62E-02
AC_WGS_32	3.60E+00	4.27E+00	5.69E+00	3.45E+00	1.37E+00	4.01E+00	1.34E+00	6.18E+00	2.83E+00	7.47E-01
AC_WGS_33	1.44E+01	3.06E+01	1.96E+01	3.80E+00	3.99E+01	1.35E+01	1.47E+01	2.98E+01	1.22E+01	2.26E+00
AC_WGS_34	2.68E+00	3.20E+00	4.69E+00	4.76E+00	3.11E+00	4.17E+00	2.48E+00	4.99E+00	4.16E+00	9.55E-01
AC_WGS_35	3.14E-01	5.70E-01	7.69E-01	5.11E-01	3.09E-01	1.97E-01	1.97E-01	6.34E-01	2.82E-01	7.36E-02
AC_WGS_36	1.30E+00	3.60E+00	4.87E+00	2.91E+00	1.60E+00	3.75E+00	1.75E+00	4.26E+00	3.58E+00	7.27E-01
AC_WGS_39	3.10E+00	3.50E+00	4.16E+00	3.03E+00	2.16E+00	1.51E+00	1.56E+00	4.46E+00	1.85E+00	6.11E-01
AC_WGS_40	3.39E-01	7.62E-02	3.39E-01	8.00E-03	1.00E-03	5.10E-03	4.12E-03	4.06E-01	0.00E+00	0.00E+00
AC_WGS_41	1.80E+00	9.69E+00	8.25E+00	6.03E+00	8.20E+00	3.00E+00	4.59E+00	9.01E+00	6.00E+00	1.11E+00
AC_WGS_42	2.40E-01	2.61E-02	1.26E-01	4.24E-03	8.78E-02	0.00E+00	0.00E+00	2.61E-01	0.00E+00	5.73E-02
AC_WGS_43	3.31E-01	3.23E-01	1.21E-01	1.70E-01	2.10E-01	2.46E-01	1.38E-01	1.28E-01	6.13E-02	4.33E-02
AC_WGS_45	2.59E-01	1.25E-01	3.10E-01	0.00E+00	7.91E-02	1.15E-01	7.73E-02	2.93E-01	0.00E+00	2.40E-02
