Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K
PGENE_1T	176	300	279	0	338	1048	236	28	74	800	79
PGENE_2T	0	0	3	0	0	0	64	11	0	0	0
PGENE_4T	8883	0	192	1594	0	51	758	0	0	20	5
PGENE_5T	80	0	78	705	833	646	279	419	22	99	51
PGENE_6T	0	0	68	226	36	95	84	4	85	1	12
PGENE_8T	230	21	19	506	211	0	1349	188	18	0	19
PGENE_9T	65	124	5	2	96	0	136	110	271	24	23
PGENE_10T	0	45	36	302	48	233	44	29	101	85	24
AC_WGS_1T	201	194	47	350	115	464	79	58	242	33	36
AC_WGS_2T	3022	843	19773	0	319	0	112	393	131	58	31
AC_WGS_4	88	430	194	0	252	353	601	65	88	0	23
AC_WGS_5	174	141	224	136	1186	530	156	5881	188	176	112
AC_WGS_6	319	604	142	388	88	2131	1165	844	153	618	171
AC_WGS_9T	32	344	0	1320	109	393	430	276	150	112	42
AC_WGS_10	241	274	266	742	200	33	175	128	1714	86	49
AC_WGS_44	0	0	2	0	0	25	0	0	0	9	0
AC_WGS_12	339	132	49	36	380	196	0	110	133	122	38
AC_WGS_13T	126	261	566	373	109	311	164	299	231	31	8050
AC_WGS_15	63	60	10	311	106	235	134	130	67	0	12
AC_WGS_17	200	217	216	144	235	212	1254	30	118	155	43
AC_WGS_18T	0	0	1	0	0	12	0	0	14	0	0
AC_WGS_20T	9	0	0	0	0	32	0	0	0	3	1
AC_WGS_22	205	0	70	593	205	938	524	0	91	16	162
AC_WGS_23	1287	116	315	1575	483	1143	1130	515	570	663	68
AC_WGS_24	0	14	6	0	3	35	8	0	23	3	0
AC_WGS_25	35	0	67	429	95	92	248	33	92	36	18
AC_WGS_26	5	20	0	248	47	181	68	51	64	30	20
AC_WGS_27	0	328	110	315	62	354	292	107	0	5	17
AC_WGS_30	282	76	0	246	185	2615	697	727	0	397	86
AC_WGS_31	0	0	0	0	0	23	0	0	0	11	1
AC_WGS_32	79	245	15	985	639	637	329	629	69	447	110
AC_WGS_33	5693	7959	1160	2300	362	0	0	743	4	1952	142
AC_WGS_34	105	0	248	219	2713	0	1483	0	169	351	140
AC_WGS_35	17	3	2	99	23	28	23	0	12	6	1
AC_WGS_36	44	361	0	809	1618	317	213	692	0	0	38
AC_WGS_39	196	190	171	232	478	1139	621	0	112	555	78
AC_WGS_40	0	0	0	0	0	30	0	0	0	1	0
AC_WGS_41	196	2367	901	1267	2906	1174	913	0	347	0	22
AC_WGS_42	4	0	0	0	0	15	0	0	0	4	1
AC_WGS_43	2	21	0	0	0	14	3	10	0	14	0
AC_WGS_45	2	0	2	0	0	29	0	2	0	1	0
AC_WGS_46	2	0	2	0	0	16	10	0	13	4	2
AC_WGS_49	2	153	21	530	680	484	47	271	62	21	43
AC_WGS_50	52	466	553	513	472	0	909	1479	204	3505	118
AC_WGS_51	116	193	72	522	337	108	42	125	116	280	39
AC_WGS_52	195	311	123	870	649	566	240	716	45	91	96
AC_WGS_53	94	112	22	13	13	50	157	51	37	14	17
AC_WGS_11	81	234	113	878	1167	346	107	143	98	101	35
AC_WGS_37	39	172	17	83	58	121	141	0	0	0	0
RC596TH1	95	102	4	0	2100	0	80	0	52	18	25
RC597TH1	97	296	9	0	0	8	594	0	0	0	5
RC598TH1	56	135	6	180	22	245	292	17	19	0	13
RC599TH1	32	0	160	707	381	535	328	265	222	538	37
RC602TH1	587	202	64	527	13	0	2	2	399	0	22
RC603TH1	25110	11336	0	0	479	1252	692	50	5424	32	313
