Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K
PGENE_1T	3.05E+00	5.09E+00	4.68E+00	7.52E+00	8.88E+00	1.94E+00	6.36E-01	1.96E+00	2.74E+00	1.79E+00	2.35E+00
PGENE_2T	3.23E-01	2.35E-01	5.29E-02	2.59E-01	1.77E-01	2.42E-01	0.00E+00	2.34E-02	1.18E-01	1.50E-01	1.13E-01
PGENE_4T	1.64E+01	5.68E+00	2.17E+00	2.42E+01	1.05E+01	2.21E+00	8.63E-01	3.56E-01	9.70E+00	7.03E+00	2.82E+00
PGENE_5T	3.45E+00	3.64E+00	1.57E+00	8.26E+00	8.54E+00	3.36E+00	5.66E-01	2.62E+00	1.45E+00	1.39E+00	1.56E+00
PGENE_6T	1.27E+00	3.75E-01	4.13E-01	2.69E+00	2.43E+00	3.41E-01	2.08E-01	4.77E-01	3.09E-01	5.29E-01	1.05E+00
PGENE_8T	4.34E+00	3.72E+00	8.16E-01	6.54E+00	2.63E+00	2.22E+00	3.72E-01	1.51E+00	2.79E+00	1.38E+00	1.54E+00
PGENE_9T	1.23E+00	1.93E+00	6.12E-01	1.48E+00	7.68E-01	1.14E+00	2.65E-01	7.69E-01	1.27E+00	7.59E-01	1.47E+00
PGENE_10T	1.12E+00	1.45E+00	1.09E+00	3.10E+00	3.23E+00	1.19E+00	3.23E-01	6.11E-01	2.67E-01	5.70E-01	1.53E+00
AC_WGS_1T	1.65E+00	2.19E+00	1.09E+00	5.52E+00	5.12E+00	1.73E+00	3.73E-01	8.85E-01	1.70E+00	1.06E+00	1.92E+00
AC_WGS_2T	5.88E+00	3.36E+01	3.56E+00	6.51E+00	3.26E+00	1.46E+01	1.13E+00	1.84E+01	3.84E+01	3.51E+01	7.41E+00
AC_WGS_4	3.45E+00	5.30E+00	7.82E-01	4.24E+00	3.81E+00	1.63E+00	3.57E-01	1.15E+00	2.37E+00	1.50E+00	1.64E+00
AC_WGS_5	7.39E+00	6.29E+00	7.95E+00	1.14E+01	2.15E+01	2.24E+01	2.62E+00	2.33E+01	3.69E+00	4.68E+00	4.85E+00
AC_WGS_6	7.93E+00	8.16E+00	1.00E+01	1.52E+01	1.88E+01	8.09E+00	1.04E+00	2.80E+00	3.73E+00	3.38E+00	9.65E+00
AC_WGS_9T	5.05E+00	6.09E+00	1.74E+00	8.01E+00	8.80E+00	2.84E+00	5.22E-01	1.71E+00	1.50E+00	5.12E-01	2.69E+00
AC_WGS_10	5.90E+00	8.03E+00	1.75E+00	8.03E+00	5.66E+00	3.63E+00	6.35E-01	2.58E+00	5.63E+00	3.45E+00	6.98E+00
AC_WGS_44	1.61E-02	9.77E-02	2.87E-01	1.54E-01	3.08E-01	3.07E-02	0.00E+00	5.26E-02	0.00E+00	5.90E-02	1.05E-01
AC_WGS_12	4.19E-01	2.20E+00	1.42E+00	1.79E+00	1.97E+00	1.60E+00	3.90E-01	1.24E+00	1.74E+00	1.03E+00	1.74E+00
AC_WGS_13T	3.73E+00	6.62E+00	3.01E+00	9.93E+00	9.42E+00	6.54E+00	1.26E+01	2.49E+00	3.87E+00	4.64E+00	9.19E+00
AC_WGS_15	1.65E+00	1.54E+00	5.77E-01	4.11E+00	4.22E+00	1.55E+00	2.54E-01	1.02E+00	8.68E-01	5.55E-01	1.11E+00
AC_WGS_17	3.66E+00	5.25E+00	1.56E+00	5.73E+00	2.53E+00	1.74E+00	4.53E-01	1.26E+00	2.38E+00	1.66E+00	2.01E+00
AC_WGS_18T	3.23E-02	3.28E-02	1.09E-01	8.94E-02	2.23E-01	0.00E+00	0.00E+00	0.00E+00	6.34E-02	3.82E-02	2.14E-01
AC_WGS_20T	4.12E-03	1.58E-01	2.74E-01	1.84E-01	3.67E-01	2.00E-03	5.35E-02	0.00E+00	1.27E-01	0.00E+00	1.89E-01
AC_WGS_22	3.66E+00	2.38E+00	2.00E+00	9.71E+00	8.89E+00	5.90E-01	7.59E-01	1.03E+00	1.88E+00	1.17E+00	2.16E+00
AC_WGS_23	9.69E+00	6.56E+00	3.77E+00	1.32E+01	1.20E+01	5.85E+00	8.16E-01	3.34E+00	3.82E+00	2.73E+00	4.56E+00
AC_WGS_24	2.36E-01	3.42E-01	2.53E-01	2.63E-01	5.22E-01	9.35E-02	0.00E+00	1.06E-01	1.56E-01	1.52E-01	4.32E-01
AC_WGS_25	2.25E+00	2.07E+00	7.95E-01	3.15E+00	3.47E+00	1.20E+00	2.69E-01	7.86E-01	9.37E-01	8.70E-01	1.33E+00
AC_WGS_26	1.20E+00	1.12E+00	9.63E-01	2.28E+00	2.27E+00	9.97E-01	2.71E-01	5.49E-01	3.59E-01	1.88E-01	1.22E+00
AC_WGS_27	2.28E+00	2.53E+00	7.05E-01	5.40E+00	5.25E+00	1.81E+00	2.97E-01	8.33E-01	5.34E-01	1.26E+00	8.42E-01
AC_WGS_30	5.25E+00	6.31E+00	6.54E+00	1.89E+01	1.83E+01	6.05E+00	7.70E-01	2.86E+00	2.87E+00	1.48E+00	3.79E+00
AC_WGS_31	0.00E+00	3.67E-02	3.20E-01	1.96E-01	3.38E-01	0.00E+00	5.21E-02	0.00E+00	3.63E-02	0.00E+00	1.48E-01
AC_WGS_32	4.91E+00	6.61E+00	3.34E+00	7.38E+00	8.19E+00	4.26E+00	7.50E-01	2.86E+00	1.55E+00	1.27E+00	2.68E+00
AC_WGS_33	6.92E+00	5.16E+01	1.98E+01	6.26E+01	3.92E+01	1.69E+01	2.45E+00	1.10E+01	4.31E+01	1.36E+01	1.44E+01
AC_WGS_34	7.04E+00	4.14E+00	2.82E+00	1.06E+01	4.13E+00	4.74E+00	9.25E-01	4.47E+00	2.99E+00	2.36E+00	2.98E+00
AC_WGS_35	5.67E-01	5.19E-01	2.87E-01	9.63E-01	8.98E-01	1.58E-01	7.14E-02	2.71E-01	3.08E-01	1.78E-01	2.71E-01
AC_WGS_36	3.11E+00	4.06E+00	1.16E+00	7.56E+00	7.82E+00	3.89E+00	6.92E-01	3.73E+00	1.52E+00	1.72E+00	1.07E+00
AC_WGS_39	3.06E+00	4.23E+00	3.49E+00	9.28E+00	9.09E+00	1.49E+00	6.31E-01	1.89E+00	2.03E+00	1.56E+00	2.09E+00
AC_WGS_40	6.32E-03	1.11E-01	2.80E-01	9.11E-02	3.38E-01	3.74E-03	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.47E-01
AC_WGS_41	9.97E+00	1.05E+01	1.79E+00	2.02E+01	1.82E+01	5.01E+00	1.02E+00	5.93E+00	9.06E+00	4.44E+00	6.05E+00
AC_WGS_42	4.24E-03	3.43E-02	2.25E-01	4.99E-02	2.33E-01	5.38E-03	5.58E-02	0.00E+00	8.37E-02	0.00E+00	2.01E-01
AC_WGS_43	1.62E-01	2.99E-01	3.85E-01	1.21E-01	3.14E-01	2.26E-01	4.19E-02	5.63E-02	1.80E-01	1.42E-01	8.21E-02
AC_WGS_45	0.00E+00	1.41E-01	2.09E-01	8.99E-02	2.91E-01	7.09E-02	2.72E-02	0.00E+00	7.69E-02	8.39E-02	1.48E-01
AC_WGS_46	2.06E-01	1.86E-01	1.52E-01	2.40E-01	2.53E-01	7.18E-02	7.82E-02	0.00E+00	7.63E-02	4.77E-02	2.49E-01
AC_WGS_49	2.03E+00	2.83E+00	1.08E+00	8.38E+00	8.46E+00	2.75E+00	4.55E-01	2.01E+00	6.56E-01	1.17E+00	1.15E+00
AC_WGS_50	7.11E+00	9.50E+00	1.00E+01	1.53E+01	1.57E+01	1.26E+01	1.46E+00	8.74E+00	2.78E+00	6.51E+00	4.86E+00
AC_WGS_51	1.51E+00	2.65E+00	1.77E+00	3.32E+00	3.74E+00	2.02E+00	4.05E-01	1.49E+00	1.34E+00	1.23E+00	1.69E+00
AC_WGS_52	3.16E+00	3.58E+00	1.71E+00	8.18E+00	8.33E+00	4.46E+00	6.83E-01	3.24E+00	1.84E+00	1.79E+00	1.73E+00
AC_WGS_53	9.53E-01	1.35E+00	5.09E-01	1.21E+00	1.00E+00	8.29E-01	2.11E-01	3.89E-01	9.95E-01	5.77E-01	8.09E-01
AC_WGS_11	2.72E+00	4.17E+00	1.56E+00	6.61E+00	7.30E+00	2.71E+00	5.49E-01	2.71E+00	1.58E+00	1.54E+00	1.89E+00
AC_WGS_37	1.36E+00	1.64E+00	3.01E-01	2.18E+00	2.04E+00	5.25E-01	9.74E-02	4.89E-01	8.38E-01	6.22E-01	3.52E-01
RC596TH1	2.56E+00	2.49E+00	5.92E-01	1.26E+00	1.19E+00	9.10E-01	6.32E-01	2.87E+00	1.81E+00	7.56E-01	1.69E+00
RC597TH1	2.65E+00	4.00E+00	2.97E-01	1.95E+00	7.47E-01	1.49E-01	1.44E-01	1.33E-01	1.70E+00	7.34E-01	8.00E-01
RC598TH1	1.76E+00	2.09E+00	2.14E-01	3.80E+00	3.59E+00	1.04E+00	2.58E-01	3.93E-01	1.03E+00	3.61E-01	9.23E-01
RC599TH1	4.02E+00	1.69E+00	3.18E+00	7.87E+00	6.51E+00	3.59E+00	4.77E-01	1.95E+00	1.52E+00	1.74E+00	2.45E+00
