Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L
PGENE_1T	174	384	256	601	297	186	57	0	65	843	75	420
PGENE_2T	0	0	2	0	0	58	7	7	0	0	0	4
PGENE_4T	8717	0	94	452	0	903	0	1093	0	0	0	244
PGENE_5T	84	0	61	787	770	262	429	378	17	128	47	249
PGENE_6T	0	0	67	216	29	85	11	97	71	17	10	8
PGENE_8T	200	0	0	185	186	1307	172	487	8	0	16	0
PGENE_9T	59	110	12	0	90	133	93	41	250	10	22	36
PGENE_10T	0	64	29	378	32	33	48	127	86	118	22	10
AC_WGS_1T	209	206	43	522	99	82	75	101	229	74	33	146
AC_WGS_2T	2977	1166	19431	0	244	182	456	0	126	70	30	0
AC_WGS_4	93	444	177	341	227	588	104	0	81	17	22	0
AC_WGS_5	191	108	179	551	872	201	5785	56	184	172	90	515
AC_WGS_6	251	570	221	479	124	1035	537	731	108	318	174	2075
AC_WGS_9T	31	297	0	735	87	365	241	942	119	71	37	283
AC_WGS_10	220	234	291	495	185	183	83	453	1570	88	42	64
AC_WGS_44	0	1	2	5	0	0	0	0	0	6	0	22
AC_WGS_12	325	132	52	54	362	0	88	78	126	90	37	191
AC_WGS_13T	132	278	523	658	72	158	339	127	245	44	7860	85
AC_WGS_15	74	60	0	402	87	146	159	84	60	26	9	21
AC_WGS_17	189	148	218	116	225	1241	6	238	107	124	42	170
AC_WGS_18T	0	0	1	0	0	0	0	0	10	0	0	16
AC_WGS_20T	9	0	0	1	0	0	0	0	0	0	1	34
AC_WGS_22	214	0	70	964	186	534	0	201	63	89	159	324
AC_WGS_23	1253	94	301	1343	421	1069	452	1151	494	643	58	586
AC_WGS_24	1	10	6	0	3	9	0	0	17	0	0	46
AC_WGS_25	30	0	58	275	83	227	33	293	71	37	15	23
AC_WGS_26	5	19	0	228	40	59	45	145	53	31	19	90
AC_WGS_27	0	335	109	414	47	281	118	140	0	34	16	96
AC_WGS_30	257	230	0	1867	104	617	722	0	21	591	82	820
AC_WGS_31	0	0	0	4	0	0	0	0	0	8	1	22
AC_WGS_32	60	244	10	631	581	239	565	838	66	363	104	483
AC_WGS_33	5765	7545	1090	0	288	0	769	2911	193	1599	155	0
AC_WGS_34	42	0	203	0	2542	1310	0	709	140	166	128	188
AC_WGS_35	17	1	1	60	21	19	0	67	8	4	1	15
AC_WGS_36	54	321	0	619	1518	209	694	438	0	0	34	205
AC_WGS_39	199	234	161	867	440	607	18	28	96	614	74	434
AC_WGS_40	0	0	0	0	0	0	0	0	0	0	0	31
AC_WGS_41	300	2403	845	2105	2799	941	231	82	371	0	16	0
AC_WGS_42	3	0	0	0	0	0	0	0	0	0	1	20
AC_WGS_43	2	19	0	0	0	3	9	0	0	7	0	24
AC_WGS_45	1	1	3	6	0	0	0	0	0	0	0	25
AC_WGS_46	1	0	2	0	0	7	0	8	9	0	2	20
AC_WGS_49	16	169	3	679	631	41	310	189	56	71	39	110
AC_WGS_50	51	522	474	138	302	740	1520	874	144	3394	90	22
AC_WGS_51	124	191	58	352	307	26	145	307	101	280	34	25
AC_WGS_52	213	303	100	858	578	227	737	440	36	135	88	187
AC_WGS_53	92	100	24	8	13	155	41	34	35	4	17	57
AC_WGS_11	90	238	86	735	1103	73	182	503	84	122	30	57
AC_WGS_37	46	170	19	144	59	148	0	7	0	2	0	36
RC596TH1	86	99	3	46	2030	87	0	0	85	14	26	0
RC597TH1	105	256	13	12	0	617	0	0	0	1	5	0
RC598TH1	69	134	0	398	8	308	51	0	7	0	10	0
RC599TH1	31	0	155	656	341	291	245	458	171	529	30	298
RC602TH1	579	180	60	231	8	1	0	365	374	0	20	0
RC603TH1	24972	10986	0	0	558	1271	0	0	5244	43	330	1284
