Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L
PGENE_1T	1.81E+00	5.78E+00	4.19E+00	2.44E+00	2.83E+00	5.53E+00	6.34E+00	1.94E+00	2.16E+00	2.57E+00	4.39E+00	6.62E-01
PGENE_2T	5.48E-02	2.27E-02	2.17E-02	2.69E-02	1.01E-01	2.09E-01	2.46E-01	1.56E-01	2.13E-01	3.94E-01	4.15E-01	0.00E+00
PGENE_4T	1.65E+00	1.04E+01	1.58E+00	4.52E-01	9.00E+00	7.36E+00	6.37E+00	6.86E+00	1.23E+00	2.92E+01	2.05E+01	8.58E-01
PGENE_5T	1.18E+00	3.94E+00	1.48E+00	2.64E+00	1.48E+00	3.01E+00	4.09E+00	1.28E+00	3.00E+00	4.03E+00	3.56E+00	5.38E-01
PGENE_6T	9.70E-01	1.85E+00	4.55E-01	4.79E-01	3.02E-01	8.19E-01	3.45E-01	5.56E-01	4.39E-01	2.04E+00	1.30E+00	1.90E-01
PGENE_8T	1.19E+00	3.76E+00	7.08E-01	1.52E+00	2.69E+00	1.01E+00	4.78E+00	1.22E+00	2.11E+00	9.40E+00	6.14E+00	3.81E-01
PGENE_9T	1.35E+00	7.55E-01	5.61E-01	7.80E-01	1.18E+00	6.78E-01	1.90E+00	7.51E-01	1.13E+00	1.37E+00	1.22E+00	2.62E-01
PGENE_10T	1.27E+00	1.74E+00	1.16E+00	5.41E-01	2.74E-01	1.31E+00	1.72E+00	5.79E-01	1.16E+00	1.87E+00	1.04E+00	3.01E-01
AC_WGS_1T	1.72E+00	2.42E+00	9.65E-01	8.90E-01	1.62E+00	1.99E+00	2.26E+00	1.09E+00	1.62E+00	2.46E+00	1.69E+00	3.75E-01
AC_WGS_2T	6.42E+00	4.95E+00	3.39E+00	1.67E+01	3.74E+01	2.31E+00	3.75E+01	3.25E+01	1.53E+01	7.80E+00	7.71E+00	1.06E+00
AC_WGS_4	1.30E+00	2.58E+00	7.93E-01	1.25E+00	2.38E+00	1.50E+00	7.17E+00	1.49E+00	1.85E+00	3.06E+00	4.93E+00	3.62E-01
AC_WGS_5	4.01E+00	1.81E+01	7.44E+00	2.36E+01	3.58E+00	1.61E+01	6.00E+00	4.54E+00	2.24E+01	8.56E+00	7.41E+00	2.50E+00
AC_WGS_6	4.15E+00	8.93E+00	3.65E+00	2.80E+00	4.03E+00	9.89E+00	7.44E+00	4.42E+00	7.12E+00	9.78E+00	8.91E+00	1.07E+00
AC_WGS_9T	2.06E+00	5.71E+00	1.45E+00	1.64E+00	1.67E+00	2.85E+00	7.53E+00	5.33E-01	2.74E+00	5.25E+00	5.47E+00	5.23E-01
AC_WGS_10	5.83E+00	7.28E+00	1.45E+00	2.34E+00	5.31E+00	3.20E+00	7.49E+00	3.00E+00	2.78E+00	6.95E+00	5.27E+00	6.30E-01
AC_WGS_44	5.47E-02	2.14E-01	2.98E-01	4.93E-02	0.00E+00	3.17E-01	1.02E-01	6.01E-02	2.64E-02	1.53E-01	2.77E-02	0.00E+00
AC_WGS_12	1.56E+00	1.72E+00	1.31E+00	1.25E+00	1.70E+00	1.85E+00	2.07E+00	1.03E+00	1.49E+00	1.78E+00	5.57E-01	3.86E-01
AC_WGS_13T	8.74E+00	1.20E+01	2.64E+00	2.26E+00	3.91E+00	3.96E+00	6.55E+00	4.36E+00	5.70E+00	5.44E+00	4.16E+00	1.23E+01
AC_WGS_15	1.00E+00	2.12E+00	6.13E-01	9.84E-01	8.12E-01	1.07E+00	1.53E+00	5.02E-01	1.56E+00	2.13E+00	1.57E+00	2.29E-01
AC_WGS_17	1.57E+00	2.58E+00	1.45E+00	1.29E+00	2.16E+00	2.01E+00	6.29E+00	1.61E+00	1.55E+00	7.71E+00	4.47E+00	4.43E-01
AC_WGS_18T	1.74E-01	1.17E-01	5.45E-02	0.00E+00	5.97E-02	2.05E-01	7.61E-03	4.05E-02	0.00E+00	4.68E-02	3.23E-02	0.00E+00
AC_WGS_20T	1.04E-01	2.56E-01	1.72E-01	0.00E+00	1.25E-01	3.64E-01	1.38E-01	0.00E+00	7.00E-03	1.03E-01	3.87E-03	5.42E-02
AC_WGS_22	1.64E+00	3.94E+00	1.25E+00	1.05E+00	1.77E+00	3.27E+00	2.66E+00	1.15E+00	3.83E-01	5.32E+00	3.59E+00	7.36E-01
AC_WGS_23	3.91E+00	8.03E+00	3.62E+00	3.07E+00	3.68E+00	7.56E+00	8.00E+00	2.86E+00	5.95E+00	1.10E+01	1.22E+01	8.37E-01
AC_WGS_24	3.65E-01	1.48E-01	4.58E-02	1.03E-01	1.38E-01	3.90E-01	3.25E-01	1.55E-01	4.25E-02	1.88E-01	2.52E-01	0.00E+00
AC_WGS_25	1.10E+00	2.38E+00	7.39E-01	7.63E-01	8.83E-01	6.32E-01	2.12E+00	8.21E-01	1.16E+00	2.56E+00	2.58E+00	2.69E-01
AC_WGS_26	1.07E+00	1.56E+00	8.34E-01	5.33E-01	3.32E-01	1.24E+00	1.25E+00	1.89E-01	8.99E-01	1.50E+00	1.22E+00	2.59E-01
AC_WGS_27	4.63E-01	2.94E+00	7.29E-01	8.43E-01	6.15E-01	1.73E+00	2.56E+00	1.21E+00	1.89E+00	3.10E+00	2.88E+00	2.78E-01
AC_WGS_30	3.33E+00	1.36E+01	4.65E+00	2.86E+00	2.78E+00	1.50E+01	6.75E+00	1.74E+00	5.78E+00	6.67E+00	5.64E+00	7.95E-01
AC_WGS_31	5.01E-02	2.14E-01	3.12E-01	0.00E+00	3.36E-02	3.67E-01	5.09E-03	0.00E+00	0.00E+00	1.16E-01	0.00E+00	4.76E-02
AC_WGS_32	2.25E+00	5.76E+00	3.23E+00	2.87E+00	1.66E+00	5.42E+00	8.57E+00	1.22E+00	3.95E+00	5.49E+00	6.05E+00	7.36E-01
AC_WGS_33	9.50E+00	1.04E+01	1.31E+01	1.02E+01	3.90E+01	8.42E+00	5.48E+01	1.18E+01	1.69E+01	7.36E+01	2.04E+01	2.43E+00
