Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M
PGENE_1T	154	402	242	336	281	139	54	0	461	62	816	72	339
PGENE_2T	0	0	2	0	0	60	6	6	0	0	0	0	4
PGENE_4T	8699	0	101	493	0	879	0	882	313	0	0	0	136
PGENE_5T	80	0	64	634	707	235	384	275	494	14	106	43	176
PGENE_6T	3	0	67	296	22	85	7	0	4	75	20	9	23
PGENE_8T	212	0	0	388	159	1285	172	329	0	4	0	12	0
PGENE_9T	55	109	9	19	83	133	98	26	0	246	12	21	45
PGENE_10T	0	54	38	243	29	27	20	93	237	83	102	21	0
AC_WGS_1T	202	204	53	437	86	70	48	5	277	230	67	32	108
AC_WGS_2T	2719	1223	19390	0	338	161	500	0	86	143	88	34	0
AC_WGS_4	63	481	185	237	212	540	73	0	202	75	5	21	0
AC_WGS_5	186	27	167	357	854	250	5471	62	599	159	170	86	516
AC_WGS_6	266	539	156	645	79	975	609	521	289	68	327	159	1990
AC_WGS_9T	49	230	0	964	48	356	223	683	174	117	73	30	261
AC_WGS_10	194	216	308	464	161	167	47	386	278	1539	69	38	41
AC_WGS_44	0	0	1	6	0	0	0	0	0	0	5	0	24
AC_WGS_12	326	118	40	104	336	0	109	50	21	120	88	35	188
AC_WGS_13T	133	288	498	525	55	120	289	83	322	277	38	7844	49
AC_WGS_15	72	61	10	338	78	137	126	10	203	64	20	9	0
AC_WGS_17	164	206	214	52	206	1180	3	248	187	92	108	39	125
AC_WGS_18T	0	0	0	0	0	0	0	0	0	9	0	0	18
AC_WGS_20T	8	0	0	0	0	0	0	0	5	0	0	1	31
AC_WGS_22	222	0	74	731	152	511	0	17	541	66	63	155	272
AC_WGS_23	1165	98	356	218	394	947	279	1457	1640	456	523	53	279
AC_WGS_24	0	9	6	0	3	8	0	1	0	16	0	0	49
AC_WGS_25	32	0	56	315	68	214	24	220	85	68	32	13	18
AC_WGS_26	7	12	0	203	32	53	36	106	114	51	24	18	78
AC_WGS_27	0	336	106	578	35	261	104	0	0	0	43	14	113
AC_WGS_30	163	343	64	0	115	500	491	266	2647	6	446	81	189
AC_WGS_31	0	0	0	2	0	0	0	0	4	0	7	1	21
AC_WGS_32	56	184	3	477	528	213	528	816	538	56	334	97	354
AC_WGS_33	5503	7115	1059	0	275	0	777	3631	0	194	1510	142	109
AC_WGS_34	3	0	196	0	2383	1236	0	947	203	134	103	122	101
AC_WGS_35	17	0	0	82	17	17	0	49	2	7	3	0	20
AC_WGS_36	86	265	0	1172	1392	220	703	3	0	0	0	24	227
AC_WGS_39	179	274	154	580	404	534	0	0	574	86	574	70	343
AC_WGS_40	0	0	0	0	0	0	0	0	0	0	0	0	31
AC_WGS_41	205	2460	822	2453	2553	712	161	0	407	318	0	2	0
AC_WGS_42	3	0	0	0	0	0	0	0	0	0	0	1	20
AC_WGS_43	2	18	0	0	0	3	9	0	0	0	6	0	26
AC_WGS_45	1	0	3	0	0	0	0	0	14	0	0	0	18
AC_WGS_46	1	0	2	0	0	7	0	8	0	8	0	2	21
AC_WGS_49	26	153	1	757	577	35	290	0	223	63	73	36	80
AC_WGS_50	53	469	379	104	331	713	1508	917	174	118	3332	83	90
AC_WGS_51	139	162	44	535	279	29	152	149	0	100	285	31	45
AC_WGS_52	222	269	96	973	525	212	683	227	268	43	137	84	163
AC_WGS_53	87	107	22	18	11	146	42	33	13	32	4	16	49
AC_WGS_11	99	204	77	860	1012	58	178	325	242	82	114	25	27
AC_WGS_37	40	177	14	197	48	122	0	0	0	0	3	0	30
RC596TH1	67	99	6	0	1903	67	0	99	135	76	0	24	0
RC597TH1	88	295	10	28	0	582	0	0	0	0	2	4	0
RC598TH1	56	156	6	224	6	272	15	0	240	0	0	10	0
RC599TH1	24	0	154	470	315	264	206	391	472	161	503	27	218
RC602TH1	581	151	58	370	0	0	0	271	0	370	0	17	0
RC603TH1	24517	11077	0	0	585	1060	168	0	287	5228	100	334	1332
