Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N
PGENE_1T	143	372	240	252	113	98	54	0	341	42	757	53	841	52
PGENE_2T	0	0	4	0	0	59	6	0	0	1	0	0	0	8
PGENE_4T	8681	0	144	0	407	865	0	761	387	0	0	9	0	249
PGENE_5T	69	0	57	686	551	211	367	244	400	3	87	37	408	92
PGENE_6T	1	0	67	19	248	78	7	0	0	70	12	8	101	0
PGENE_8T	215	31	0	153	430	1270	167	268	0	12	0	15	0	0
PGENE_9T	51	113	7	78	0	126	95	18	0	236	2	17	113	0
PGENE_10T	0	51	38	27	286	18	15	57	202	84	106	23	0	40
AC_WGS_1T	202	192	52	78	375	46	46	0	220	219	55	29	245	60
AC_WGS_2T	2665	1187	19244	422	0	140	576	0	80	158	92	34	84	0
AC_WGS_4	53	528	174	205	257	493	71	0	179	73	9	21	31	0
AC_WGS_5	179	7	144	860	395	231	5223	94	681	133	174	88	57	638
AC_WGS_6	246	682	163	72	630	765	500	266	381	69	339	173	0	2337
AC_WGS_9T	31	182	0	37	759	361	209	716	113	104	49	22	540	85
AC_WGS_10	188	216	297	161	487	164	40	336	269	1521	76	40	0	113
AC_WGS_44	0	0	1	0	0	0	0	0	0	0	3	0	20	12
AC_WGS_12	321	95	41	321	0	0	109	71	0	102	66	27	334	48
AC_WGS_13T	126	308	468	50	560	80	254	63	317	309	45	7775	61	105
AC_WGS_15	74	61	9	75	338	120	118	0	178	63	20	9	49	14
AC_WGS_17	149	280	206	196	50	1131	0	172	149	80	98	34	223	56
AC_WGS_18T	0	0	0	0	0	0	0	0	0	7	0	0	8	12
AC_WGS_20T	6	0	0	0	0	0	0	0	0	0	0	0	36	3
AC_WGS_22	220	0	69	132	626	448	0	0	384	36	29	143	629	88
AC_WGS_23	1153	93	357	393	363	918	213	1287	1530	468	538	62	0	490
AC_WGS_24	0	11	5	2	0	3	0	0	0	13	0	0	24	34
AC_WGS_25	28	0	54	65	302	214	22	194	62	68	30	13	78	15
AC_WGS_26	8	5	0	30	190	48	32	87	90	48	20	17	81	78
AC_WGS_27	0	333	104	30	468	236	98	0	0	0	30	11	216	64
AC_WGS_30	153	370	73	125	0	398	397	172	2565	39	447	85	142	345
AC_WGS_31	0	0	0	0	0	0	0	0	0	0	3	0	32	0
AC_WGS_32	28	101	10	506	164	240	491	873	432	33	279	78	919	30
AC_WGS_33	5308	6939	1001	245	0	0	765	4311	0	163	1459	124	0	0
AC_WGS_34	2	0	199	2339	0	1295	0	776	240	154	113	126	34	150
AC_WGS_35	15	0	0	16	66	16	0	46	0	4	0	0	46	5
AC_WGS_36	81	240	0	1348	1036	186	680	42	0	0	0	23	275	181
AC_WGS_39	168	261	150	369	366	471	0	0	395	46	510	48	988	0
AC_WGS_40	0	0	0	0	0	0	0	0	0	0	0	0	23	8
AC_WGS_41	187	2531	777	2480	2605	592	212	0	319	337	22	14	0	17
AC_WGS_42	2	0	0	0	0	0	0	0	0	0	0	0	21	1
AC_WGS_43	1	18	0	0	0	0	8	0	0	0	4	0	21	12
AC_WGS_45	0	0	2	0	0	0	0	0	4	0	0	0	28	2
AC_WGS_46	1	0	2	0	0	6	0	1	0	6	0	1	25	7
AC_WGS_49	27	124	0	557	659	18	281	12	169	55	59	33	300	20
AC_WGS_50	42	423	355	296	105	716	1414	891	276	133	3272	81	13	254
AC_WGS_51	140	137	41	266	491	27	148	150	0	98	279	31	81	61
AC_WGS_52	215	249	97	513	896	182	637	247	285	53	137	88	54	249
AC_WGS_53	84	116	21	10	10	139	40	22	9	29	3	15	41	41
AC_WGS_11	100	162	72	982	815	60	177	324	197	84	112	26	140	52
AC_WGS_37	37	182	14	45	171	110	0	0	0	0	2	0	51	19
RC596TH1	63	102	2	1867	38	69	0	101	126	83	0	25	0	0
RC597TH1	76	343	3	0	44	539	0	0	0	0	0	4	0	0
RC598TH1	52	181	2	4	269	239	10	0	217	0	0	11	0	0
RC599TH1	30	0	158	309	507	240	163	240	456	159	497	32	0	414
RC602TH1	576	129	59	0	348	6	0	307	0	374	0	19	0	0
RC603TH1	24464	11075	0	501	0	802	407	0	65	5057	120	305	874	1018
