Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N
PGENE_1T	2.53E+00	4.25E+00	1.43E+00	6.16E+00	2.41E+00	4.18E+00	1.04E+01	2.78E+00	6.89E+00	3.82E+00	8.39E+00	3.00E+00	7.08E-01	5.26E+00
PGENE_2T	1.76E-01	3.36E-01	6.54E-02	2.43E-01	1.58E-01	2.61E-01	2.31E-01	2.31E-02	1.05E-01	4.06E-01	1.72E-01	9.40E-02	0.00E+00	0.00E+00
PGENE_4T	9.68E-01	2.96E+01	1.57E+00	1.63E+01	7.57E+00	7.78E+00	1.73E+01	2.30E-01	1.25E+01	1.72E+01	1.07E+01	1.53E+01	1.11E+00	1.25E+00
PGENE_5T	2.94E+00	4.51E+00	1.02E+00	2.71E+00	1.40E+00	2.80E+00	5.93E+00	2.66E+00	6.23E+00	2.75E+00	5.00E+00	1.36E+00	5.41E-01	1.37E+00
PGENE_6T	3.88E-01	1.76E+00	9.59E-01	3.66E-01	5.57E-01	7.05E-01	2.24E+00	4.41E-01	2.43E+00	1.09E+00	1.12E+00	3.43E-01	1.50E-01	4.13E-01
PGENE_8T	2.02E+00	8.32E+00	9.94E-01	5.30E+00	1.04E+00	1.57E+00	5.09E+00	1.47E+00	4.97E+00	5.28E+00	2.00E+00	2.49E+00	3.99E-01	6.92E-01
PGENE_9T	1.15E+00	1.49E+00	1.44E+00	1.81E+00	7.32E-01	4.70E-01	1.56E+00	8.03E-01	1.23E+00	1.22E+00	5.59E-01	1.28E+00	2.60E-01	4.70E-01
PGENE_10T	1.11E+00	2.03E+00	1.19E+00	1.47E+00	5.56E-01	1.52E+00	3.03E+00	4.86E-01	3.57E+00	9.25E-01	2.97E+00	3.25E-01	3.07E-01	1.14E+00
AC_WGS_1T	1.42E+00	2.34E+00	1.71E+00	2.39E+00	1.08E+00	1.68E+00	3.72E+00	8.80E-01	3.83E+00	1.50E+00	3.47E+00	1.76E+00	3.69E-01	9.12E-01
AC_WGS_2T	1.63E+01	9.45E+00	6.78E+00	3.43E+01	3.29E+01	2.60E+00	7.73E+00	2.03E+01	5.89E+00	6.01E+00	5.16E+00	4.01E+01	1.08E+00	3.50E+00
AC_WGS_4	1.66E+00	6.21E+00	1.34E+00	6.98E+00	1.55E+00	1.48E+00	4.66E+00	1.28E+00	4.29E+00	5.31E+00	3.29E+00	2.52E+00	3.59E-01	7.74E-01
AC_WGS_5	1.86E+01	8.80E+00	3.53E+00	4.28E+00	4.33E+00	1.36E+01	1.30E+01	2.36E+01	1.48E+01	6.20E+00	1.77E+01	3.88E+00	2.32E+00	6.67E+00
AC_WGS_6	7.23E+00	1.31E+01	3.65E+00	1.09E+01	4.85E+00	1.74E+01	1.50E+01	2.43E+00	1.25E+01	1.12E+01	1.17E+01	5.11E+00	1.48E+00	4.36E+00
AC_WGS_9T	2.54E+00	6.28E+00	1.98E+00	5.20E+00	4.29E-01	2.99E+00	6.95E+00	1.47E+00	7.78E+00	3.89E+00	4.78E+00	1.55E+00	5.23E-01	1.49E+00
AC_WGS_10	2.43E+00	6.94E+00	6.09E+00	7.37E+00	3.06E+00	3.53E+00	5.04E+00	2.13E+00	7.48E+00	4.70E+00	5.77E+00	5.60E+00	6.67E-01	1.42E+00
AC_WGS_44	3.13E-02	8.92E-02	0.00E+00	7.89E-02	4.88E-02	3.61E-01	4.01E-01	2.93E-02	1.99E-01	4.89E-03	1.57E-01	0.00E+00	0.00E+00	2.66E-01
AC_WGS_12	1.71E+00	2.11E+00	1.47E+00	2.25E+00	1.08E+00	1.80E+00	3.07E+00	1.30E+00	2.25E+00	5.03E-01	1.67E+00	1.84E+00	3.98E-01	1.18E+00
AC_WGS_13T	5.50E+00	5.70E+00	8.93E+00	6.86E+00	5.62E+00	3.44E+00	7.04E+00	2.10E+00	1.08E+01	3.13E+00	8.30E+00	3.74E+00	1.08E+01	2.55E+00
AC_WGS_15	1.48E+00	2.35E+00	9.93E-01	1.55E+00	5.87E-01	9.36E-01	2.61E+00	9.04E-01	3.05E+00	1.49E+00	2.85E+00	9.23E-01	2.41E-01	5.53E-01
AC_WGS_17	1.44E+00	7.19E+00	1.55E+00	5.94E+00	1.63E+00	2.28E+00	4.64E+00	1.41E+00	3.57E+00	4.48E+00	2.71E+00	2.38E+00	4.66E-01	1.31E+00
AC_WGS_18T	0.00E+00	3.37E-02	1.83E-01	1.75E-02	3.27E-02	2.72E-01	2.39E-01	0.00E+00	8.01E-02	3.03E-02	9.20E-02	6.33E-02	0.00E+00	2.29E-02
AC_WGS_20T	0.00E+00	9.28E-02	7.15E-02	1.21E-01	0.00E+00	4.36E-01	5.00E-01	0.00E+00	1.42E-01	5.82E-03	2.96E-01	1.25E-01	4.21E-02	7.56E-02
AC_WGS_22	1.95E-01	5.23E+00	1.23E+00	2.56E+00	1.19E+00	3.32E+00	8.10E+00	1.27E+00	8.55E+00	3.32E+00	6.80E+00	1.89E+00	7.90E-01	1.23E+00
AC_WGS_23	5.98E+00	1.41E+01	4.20E+00	1.03E+01	3.74E+00	7.37E+00	1.33E+01	3.05E+00	1.21E+01	1.11E+01	1.17E+01	5.44E+00	9.91E-01	3.92E+00
AC_WGS_24	5.09E-02	1.99E-01	3.47E-01	3.11E-01	1.47E-01	6.27E-01	4.81E-01	9.84E-02	1.39E-01	2.24E-01	1.76E-01	1.58E-01	1.00E-03	1.50E-02
AC_WGS_25	1.09E+00	2.68E+00	1.06E+00	1.67E+00	8.82E-01	6.48E-01	2.28E+00	7.51E-01	2.59E+00	2.12E+00	2.06E+00	9.03E-01	2.68E-01	7.19E-01
AC_WGS_26	8.48E-01	1.62E+00	9.63E-01	9.73E-01	1.83E-01	1.43E+00	2.14E+00	4.99E-01	2.27E+00	1.02E+00	1.87E+00	3.07E-01	2.57E-01	6.21E-01
AC_WGS_27	1.80E+00	4.32E+00	4.78E-01	3.74E+00	1.35E+00	1.90E+00	5.35E+00	8.11E-01	5.34E+00	3.66E+00	2.99E+00	7.35E-01	2.65E-01	7.13E-01
AC_WGS_30	6.10E+00	9.16E+00	2.62E+00	7.26E+00	3.38E+00	9.15E+00	1.54E+01	3.07E+00	9.00E+00	7.63E+00	1.35E+01	3.34E+00	1.28E+00	5.10E+00
AC_WGS_31	0.00E+00	9.50E-02	1.60E-02	2.55E-02	0.00E+00	3.48E-01	4.54E-01	0.00E+00	1.78E-01	0.00E+00	2.21E-01	3.06E-02	3.64E-02	2.33E-01
AC_WGS_32	4.12E+00	8.25E+00	1.75E+00	6.50E+00	1.35E+00	4.66E+00	1.11E+01	3.07E+00	1.00E+01	4.67E+00	7.26E+00	1.61E+00	7.87E-01	2.96E+00
AC_WGS_33	1.65E+01	7.79E+01	9.26E+00	7.16E+01	1.40E+01	1.87E+01	3.28E+01	9.50E+00	3.06E+01	6.68E+00	7.34E+00	4.83E+01	2.56E+00	1.50E+01
AC_WGS_34	4.47E+00	1.22E+01	2.37E+00	7.14E+00	2.78E+00	3.95E+00	1.21E+01	6.66E+00	8.51E+00	1.13E+01	6.24E+00	1.67E+00	1.05E+00	1.90E+00
AC_WGS_35	1.29E-01	8.13E-01	1.96E-01	4.34E-01	1.77E-01	4.12E-01	8.80E-01	2.54E-01	1.03E+00	5.59E-01	6.33E-01	3.28E-01	5.91E-02	2.06E-01
AC_WGS_36	4.40E+00	6.52E+00	8.59E-01	5.09E+00	1.89E+00	3.11E+00	9.86E+00	5.86E+00	1.12E+01	3.39E+00	4.18E+00	1.75E+00	6.14E-01	1.04E+00
AC_WGS_39	1.74E+00	5.24E+00	1.19E+00	5.20E+00	1.86E+00	3.47E+00	7.77E+00	2.22E+00	7.00E+00	3.60E+00	6.45E+00	2.51E+00	6.39E-01	3.44E+00
AC_WGS_40	2.00E-03	4.83E-02	1.00E-01	5.52E-02	0.00E+00	4.39E-01	4.04E-01	0.00E+00	1.00E-01	3.31E-03	1.40E-01	0.00E+00	0.00E+00	4.89E-02
AC_WGS_41	6.77E+00	1.86E+01	5.48E+00	1.96E+01	4.96E+00	5.36E+00	1.91E+01	1.03E+01	2.24E+01	1.56E+01	1.38E+01	1.03E+01	9.89E-01	1.92E+00
AC_WGS_42	0.00E+00	2.92E-02	1.22E-01	2.52E-02	0.00E+00	2.64E-01	2.88E-01	0.00E+00	4.73E-02	2.00E-03	9.67E-02	7.89E-02	5.24E-02	8.58E-02
AC_WGS_43	2.22E-01	2.02E-01	1.57E-02	3.00E-01	1.32E-01	3.93E-01	4.30E-01	5.33E-02	8.84E-02	1.67E-01	1.98E-01	1.68E-01	3.62E-02	3.24E-01
AC_WGS_45	4.10E-02	6.19E-02	8.65E-02	1.11E-01	7.85E-02	2.96E-01	3.71E-01	0.00E+00	8.18E-02	0.00E+00	2.77E-01	6.99E-02	2.46E-02	2.10E-02
AC_WGS_46	3.20E-02	2.29E-01	2.22E-01	1.19E-01	5.00E-02	3.35E-01	3.57E-01	0.00E+00	1.39E-01	1.90E-01	1.29E-01	6.93E-02	7.32E-02	3.08E-02
AC_WGS_49	2.49E+00	3.73E+00	7.42E-01	2.48E+00	1.09E+00	1.67E+00	5.92E+00	2.30E+00	5.53E+00	1.54E+00	4.37E+00	7.96E-01	4.65E-01	1.10E+00
AC_WGS_50	1.16E+01	1.37E+01	3.58E+00	1.16E+01	7.47E+00	8.00E+00	1.08E+01	8.49E+00	7.91E+00	8.04E+00	8.78E+00	3.13E+00	1.65E+00	1.08E+01
AC_WGS_51	2.12E+00	3.20E+00	1.48E+00	2.39E+00	1.25E+00	1.73E+00	3.51E+00	1.67E+00	3.82E+00	1.30E+00	2.36E+00	1.36E+00	4.20E-01	1.81E+00
AC_WGS_52	4.44E+00	5.73E+00	1.38E+00	4.62E+00	2.00E+00	3.90E+00	8.54E+00	3.47E+00	8.68E+00	3.45E+00	5.87E+00	2.14E+00	6.91E-01	1.72E+00
AC_WGS_53	6.25E-01	1.20E+00	6.31E-01	1.39E+00	5.90E-01	1.02E+00	1.22E+00	3.89E-01	7.94E-01	9.89E-01	9.69E-01	1.02E+00	2.07E-01	2.81E-01
AC_WGS_11	2.49E+00	4.05E+00	1.35E+00	3.43E+00	1.52E+00	2.12E+00	5.45E+00	3.58E+00	5.77E+00	2.12E+00	3.93E+00	1.59E+00	4.98E-01	1.44E+00
AC_WGS_37	5.89E-01	2.17E+00	7.99E-02	2.39E+00	5.83E-01	7.04E-01	2.59E+00	4.74E-01	2.50E+00	2.06E+00	1.27E+00	8.89E-01	8.77E-02	3.17E-01
RC596TH1	7.59E-01	2.54E+00	1.55E+00	2.43E+00	7.29E-01	7.48E-01	3.56E+00	4.30E+00	5.33E+00	1.93E+00	1.26E+00	1.83E+00	5.52E-01	5.69E-01
RC597TH1	1.43E-01	5.06E+00	3.72E-01	5.22E+00	6.40E-01	8.88E-01	2.44E+00	9.39E-02	1.59E+00	4.29E+00	1.04E+00	1.91E+00	1.36E-01	2.90E-01
RC598TH1	1.04E+00	2.89E+00	6.95E-01	2.83E+00	4.06E-01	8.65E-01	2.65E+00	2.50E-01	3.75E+00	2.56E+00	3.32E+00	1.09E+00	2.75E-01	1.58E-01
RC599TH1	3.57E+00	6.57E+00	2.12E+00	2.40E+00	2.25E+00	7.05E+00	6.26E+00	2.24E+00	6.57E+00	3.87E+00	7.61E+00	1.42E+00	5.96E-01	2.94E+00
