Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O
PGENE_1T	119	374	249	238	531	0	51	0	0	439	70	60	756	54	417
PGENE_2T	0	0	3	0	0	5	59	0	0	0	0	0	0	5	6
PGENE_4T	8687	0	139	0	249	0	747	695	123	552	0	12	0	299	0
PGENE_5T	68	0	42	665	314	369	189	230	536	324	0	36	82	124	233
PGENE_6T	0	0	65	17	121	11	73	0	188	0	63	8	11	13	41
PGENE_8T	214	0	0	145	383	141	1222	255	189	0	1	11	0	0	0
PGENE_9T	49	110	8	75	94	85	124	0	0	0	234	17	7	0	53
PGENE_10T	0	62	19	18	0	51	11	67	417	54	59	19	100	70	0
AC_WGS_1T	194	199	47	72	243	46	26	0	338	177	206	29	56	104	82
AC_WGS_2T	2638	1100	19221	409	0	612	126	44	93	54	160	37	115	0	73
AC_WGS_4	33	520	179	198	225	56	471	0	149	167	71	19	6	0	0
AC_WGS_5	170	10	113	836	320	5042	208	109	293	665	108	88	168	699	75
AC_WGS_6	212	709	212	65	1015	332	579	60	27	469	69	162	302	2410	0
AC_WGS_9T	49	111	0	25	908	156	335	620	287	199	106	21	46	44	301
AC_WGS_10	191	206	269	151	68	68	177	375	537	180	1445	32	63	146	0
AC_WGS_44	0	0	1	0	0	0	0	0	2	0	0	0	3	1	29
AC_WGS_12	321	95	42	314	131	101	0	43	0	13	112	31	76	77	179
AC_WGS_13T	104	322	439	40	328	227	53	73	456	240	341	7714	33	80	71
AC_WGS_15	71	54	6	70	167	119	112	0	283	134	52	7	14	9	30
AC_WGS_17	149	260	200	186	175	0	1100	151	26	172	84	34	99	76	112
AC_WGS_18T	0	0	0	0	0	0	0	0	0	0	6	0	0	0	21
AC_WGS_20T	6	0	0	0	0	0	0	0	0	0	0	0	0	0	39
AC_WGS_22	223	0	74	134	0	0	459	16	963	147	16	145	40	137	450
AC_WGS_23	1188	50	303	362	0	243	865	1247	777	1238	412	45	492	463	180
AC_WGS_24	0	9	5	1	0	0	6	0	0	0	10	0	0	8	53
AC_WGS_25	28	0	39	58	54	46	210	220	314	0	52	10	23	8	83
AC_WGS_26	7	6	0	27	46	37	40	90	230	37	39	17	19	110	29
AC_WGS_27	0	278	129	30	705	17	191	0	10	108	0	12	30	47	33
AC_WGS_30	111	395	98	131	127	261	328	140	0	2731	64	76	388	225	236
AC_WGS_31	0	0	0	0	0	0	0	0	0	0	0	0	3	0	32
AC_WGS_32	55	47	34	490	922	372	184	640	0	543	71	87	299	133	307
AC_WGS_33	5151	6912	955	198	0	782	0	4390	0	0	147	110	1408	0	262
AC_WGS_34	0	0	169	2295	0	0	1258	806	0	281	132	117	88	124	158
AC_WGS_35	15	0	0	16	0	0	16	52	77	0	0	0	0	8	30
AC_WGS_36	81	150	0	1302	1500	571	125	0	132	0	0	20	0	69	142
AC_WGS_39	150	283	139	351	269	19	459	0	477	353	55	53	515	1	648
AC_WGS_40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31
AC_WGS_41	90	2539	771	2411	1241	270	563	0	1905	42	261	0	0	0	0
AC_WGS_42	1	0	0	0	0	0	0	0	0	0	0	0	0	0	23
AC_WGS_43	0	19	0	0	0	8	1	0	0	0	0	0	3	0	33
AC_WGS_45	0	0	2	0	0	0	0	0	0	4	0	0	0	0	30
AC_WGS_46	0	0	2	0	0	0	7	0	0	0	4	1	0	0	35
AC_WGS_49	20	83	19	540	676	222	0	0	301	206	51	33	59	26	78
AC_WGS_50	51	375	317	272	2	1392	704	902	198	253	118	75	3210	267	135
AC_WGS_51	139	113	44	256	349	136	17	136	286	0	85	29	269	54	37
AC_WGS_52	207	170	146	501	1128	494	128	135	171	398	52	82	117	173	0
AC_WGS_53	81	118	22	9	43	35	131	13	3	12	29	16	5	58	5
AC_WGS_11	102	122	72	954	566	161	38	305	552	145	67	22	104	64	29
AC_WGS_37	32	164	12	36	280	0	91	0	0	4	0	0	0	0	12
RC596TH1	59	100	0	1841	0	0	69	107	132	62	79	23	4	0	0
RC597TH1	66	349	6	0	3	0	536	0	42	0	0	3	4	0	0
RC598TH1	43	190	0	0	0	34	234	0	399	77	0	8	0	0	0
RC599TH1	34	0	139	298	59	173	204	253	545	357	133	25	468	517	0
RC602TH1	581	87	55	0	320	0	3	272	132	0	352	16	0	0	0
RC603TH1	24149	11395	0	450	0	542	693	0	0	242	4862	317	184	1105	749
