Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O
PGENE_1T	5.05E+00	9.00E+00	4.60E+00	3.83E+00	7.31E-01	2.30E+00	9.97E+00	1.35E+00	3.27E+00	2.20E+00	1.02E+01	5.84E+00	7.09E+00	3.01E+00	3.71E+00
PGENE_2T	2.29E-02	2.10E-01	3.62E-01	2.74E-01	0.00E+00	1.58E-01	1.74E-01	6.88E-02	9.40E-02	1.76E-01	2.30E-01	2.36E-01	1.07E-01	1.96E-02	4.39E-01
PGENE_4T	1.18E+00	1.23E+01	2.58E+01	7.67E+00	1.13E+00	7.72E+00	1.72E+01	1.50E+00	1.97E+01	9.54E-01	2.25E+01	2.33E+01	1.23E+01	3.03E-01	1.60E+01
PGENE_5T	1.35E+00	4.52E+00	4.21E+00	2.78E+00	5.32E-01	1.34E+00	6.16E+00	8.11E-01	1.45E+00	2.93E+00	5.57E+00	2.72E+00	5.98E+00	2.66E+00	2.54E+00
PGENE_6T	3.88E-01	7.73E-01	1.50E+00	6.98E-01	1.40E-01	5.51E-01	2.58E+00	8.94E-01	3.03E-01	3.45E-01	1.70E+00	5.23E-01	2.49E+00	4.55E-01	1.05E+00
PGENE_8T	6.38E-01	1.71E+00	7.64E+00	1.29E+00	3.71E-01	1.04E+00	5.57E+00	9.25E-01	2.52E+00	1.97E+00	4.35E+00	4.88E+00	5.02E+00	1.52E+00	5.03E+00
PGENE_9T	4.79E-01	6.50E-01	1.48E+00	3.97E-01	2.67E-01	7.60E-01	1.73E+00	1.49E+00	1.37E+00	1.14E+00	1.31E+00	1.82E+00	8.47E-01	8.16E-01	1.28E+00
PGENE_10T	1.14E+00	2.37E+00	2.00E+00	1.65E+00	2.96E-01	5.64E-01	2.16E+00	1.07E+00	3.59E-01	1.16E+00	2.29E+00	1.47E+00	2.96E+00	4.50E-01	8.81E-01
AC_WGS_1T	9.05E-01	3.28E+00	2.33E+00	1.84E+00	3.83E-01	1.21E+00	3.46E+00	1.68E+00	1.95E+00	1.37E+00	3.48E+00	2.51E+00	3.53E+00	9.62E-01	1.40E+00
AC_WGS_2T	3.56E+00	5.29E+00	1.00E+01	2.25E+00	1.12E+00	3.24E+01	6.03E+00	6.57E+00	3.87E+01	1.65E+01	1.06E+01	3.33E+01	7.95E+00	2.02E+01	5.77E+00
AC_WGS_4	7.90E-01	3.26E+00	6.25E+00	8.58E-01	3.56E-01	1.53E+00	5.42E+00	1.29E+00	2.67E+00	1.52E+00	3.78E+00	6.69E+00	3.66E+00	1.45E+00	5.29E+00
AC_WGS_5	6.26E+00	1.79E+01	7.69E+00	1.32E+01	2.13E+00	4.11E+00	1.54E+01	3.34E+00	3.90E+00	1.90E+01	1.02E+01	4.88E+00	1.10E+01	2.29E+01	5.47E+00
AC_WGS_6	4.78E+00	1.15E+01	1.17E+01	1.57E+01	1.69E+00	4.85E+00	1.33E+01	3.33E+00	5.88E+00	6.95E+00	1.23E+01	1.19E+01	1.06E+01	2.27E+00	1.14E+01
