Samples	SBS96A
PGENE_1T	3358
PGENE_2T	78
PGENE_4T	11503
PGENE_5T	3212
PGENE_6T	611
PGENE_8T	2561
PGENE_9T	856
PGENE_10T	947
AC_WGS_1T	1819
AC_WGS_2T	24682
AC_WGS_4	2094
AC_WGS_5	8904
AC_WGS_6	6623
AC_WGS_9T	3208
AC_WGS_10	3908
AC_WGS_44	36
AC_WGS_12	1535
AC_WGS_13T	10521
AC_WGS_15	1128
AC_WGS_17	2824
AC_WGS_18T	27
AC_WGS_20T	45
AC_WGS_22	2804
AC_WGS_23	7865
AC_WGS_24	92
AC_WGS_25	1145
AC_WGS_26	734
AC_WGS_27	1590
AC_WGS_30	5311
AC_WGS_31	35
AC_WGS_32	4184
AC_WGS_33	20315
AC_WGS_34	5428
AC_WGS_35	214
AC_WGS_36	4092
AC_WGS_39	3772
AC_WGS_40	31
AC_WGS_41	10093
AC_WGS_42	24
AC_WGS_43	64
AC_WGS_45	36
AC_WGS_46	49
AC_WGS_49	2314
AC_WGS_50	8271
AC_WGS_51	1950
AC_WGS_52	3902
AC_WGS_53	580
AC_WGS_11	3303
AC_WGS_37	631
RC596TH1	2476
RC597TH1	1009
RC598TH1	985
RC599TH1	3205
RC602TH1	1818
RC603TH1	44688
