Samples	SBS96A	SBS96B
PGENE_1T	915	2443
PGENE_2T	25	53
PGENE_4T	11503	0
PGENE_5T	266	2946
PGENE_6T	131	480
PGENE_8T	786	1775
PGENE_9T	295	561
PGENE_10T	157	790
AC_WGS_1T	668	1151
AC_WGS_2T	21746	2936
AC_WGS_4	793	1301
AC_WGS_5	1219	7685
AC_WGS_6	1938	4685
AC_WGS_9T	732	2476
AC_WGS_10	1444	2464
AC_WGS_44	3	33
AC_WGS_12	562	973
AC_WGS_13T	0	10521
AC_WGS_15	259	869
AC_WGS_17	1018	1806
AC_WGS_18T	8	19
AC_WGS_20T	21	24
AC_WGS_22	639	2165
AC_WGS_23	3087	4778
AC_WGS_24	32	60
AC_WGS_25	253	892
AC_WGS_26	99	635
AC_WGS_27	523	1067
AC_WGS_30	1071	4240
AC_WGS_31	2	33
AC_WGS_32	548	3636
AC_WGS_33	16225	4090
AC_WGS_34	279	5149
AC_WGS_35	49	165
AC_WGS_36	253	3839
AC_WGS_39	843	2929
AC_WGS_40	3	28
AC_WGS_41	2616	7477
AC_WGS_42	10	14
AC_WGS_43	27	37
AC_WGS_45	10	26
AC_WGS_46	14	35
AC_WGS_49	151	2163
AC_WGS_50	1645	6626
AC_WGS_51	436	1514
AC_WGS_52	790	3112
AC_WGS_53	310	270
AC_WGS_11	322	2981
AC_WGS_37	257	374
RC596TH1	0	2476
RC597TH1	556	453
RC598TH1	344	641
RC599TH1	433	2772
RC602TH1	1312	506
RC603TH1	44688	0
