Samples	SBS96A	SBS96B	SBS96C
PGENE_1T	2417	658	283
PGENE_2T	52	23	3
PGENE_4T	0	10292	1211
PGENE_5T	2900	128	184
PGENE_6T	472	87	52
PGENE_8T	1799	762	0
PGENE_9T	564	253	39
PGENE_10T	788	136	23
AC_WGS_1T	1168	584	67
AC_WGS_2T	0	5171	19511
AC_WGS_4	1289	596	209
AC_WGS_5	6891	0	2013
AC_WGS_6	4682	1612	329
AC_WGS_9T	2490	698	20
AC_WGS_10	2477	1202	229
AC_WGS_44	32	1	3
AC_WGS_12	974	425	136
AC_WGS_13T	10326	195	0
AC_WGS_15	868	220	40
AC_WGS_17	1817	868	139
AC_WGS_18T	19	8	0
AC_WGS_20T	24	21	0
AC_WGS_22	2175	629	0
AC_WGS_23	4819	2574	472
AC_WGS_24	60	27	5
AC_WGS_25	891	216	38
AC_WGS_26	629	105	0
AC_WGS_27	1052	380	158
AC_WGS_30	4242	983	86
AC_WGS_31	31	4	0
AC_WGS_32	3600	391	193
AC_WGS_33	4327	12588	3400
AC_WGS_34	5097	146	185
AC_WGS_35	167	47	0
AC_WGS_36	3779	66	247
AC_WGS_39	2935	741	96
AC_WGS_40	28	3	0
AC_WGS_41	7359	1690	1044
AC_WGS_42	14	10	0
AC_WGS_43	37	22	5
AC_WGS_45	26	7	3
AC_WGS_46	36	13	0
AC_WGS_49	2135	69	110
AC_WGS_50	6425	765	1081
AC_WGS_51	1501	318	131
AC_WGS_52	3051	471	380
AC_WGS_53	275	258	47
AC_WGS_11	2946	181	176
AC_WGS_37	381	223	27
RC596TH1	2447	0	29
RC597TH1	480	523	6
RC598TH1	652	333	0
RC599TH1	2735	286	184
RC602TH1	559	1118	141
RC603TH1	1064	39067	4557
