Samples	SBS96A	SBS96B	SBS96C
PGENE_1T	1.56E+00	1.46E+00	1.23E+00
PGENE_2T	2.99E-01	2.71E-01	1.31E-01
PGENE_4T	5.08E+00	1.03E+00	4.92E+00
PGENE_5T	1.11E+00	1.10E+00	1.08E+00
PGENE_6T	5.74E-01	5.68E-01	4.74E-01
PGENE_8T	1.45E+00	1.38E+00	8.21E-01
PGENE_9T	8.64E-01	8.31E-01	5.58E-01
PGENE_10T	6.39E-01	6.59E-01	5.03E-01
AC_WGS_1T	1.25E+00	1.17E+00	8.22E-01
AC_WGS_2T	1.07E+01	0.00E+00	1.07E+01
AC_WGS_4	1.37E+00	1.27E+00	1.15E+00
AC_WGS_5	0.00E+00	2.38E+00	2.38E+00
AC_WGS_6	2.46E+00	2.26E+00	1.65E+00
AC_WGS_9T	1.47E+00	1.38E+00	8.91E-01
AC_WGS_10	2.16E+00	1.96E+00	1.25E+00
AC_WGS_44	3.58E-02	8.12E-02	7.69E-02
AC_WGS_12	1.09E+00	1.07E+00	8.56E-01
AC_WGS_13T	1.07E+00	1.06E+00	2.92E-01
AC_WGS_15	8.10E-01	7.82E-01	5.90E-01
AC_WGS_17	1.62E+00	1.44E+00	1.12E+00
AC_WGS_18T	1.59E-01	1.83E-01	7.70E-02
AC_WGS_20T	1.93E-01	1.93E-01	0.00E+00
AC_WGS_22	1.29E+00	1.24E+00	5.89E-01
AC_WGS_23	2.91E+00	2.53E+00	2.03E+00
AC_WGS_24	3.09E-01	3.02E-01	1.04E-01
AC_WGS_25	8.60E-01	8.18E-01	6.32E-01
AC_WGS_26	5.63E-01	5.62E-01	1.51E-01
AC_WGS_27	1.16E+00	1.10E+00	9.01E-01
AC_WGS_30	1.99E+00	1.83E+00	1.30E+00
AC_WGS_31	8.09E-02	8.08E-02	0.00E+00
AC_WGS_32	1.33E+00	1.33E+00	1.24E+00
AC_WGS_33	8.11E+00	5.34E+00	6.88E+00
AC_WGS_34	1.39E+00	1.46E+00	1.48E+00
AC_WGS_35	3.42E-01	3.39E-01	1.67E-01
AC_WGS_36	1.18E+00	1.23E+00	1.40E+00
AC_WGS_39	1.56E+00	1.56E+00	1.18E+00
AC_WGS_40	8.54E-02	8.69E-02	1.65E-02
AC_WGS_41	2.84E+00	2.86E+00	3.08E+00
AC_WGS_42	1.46E-01	1.46E-01	0.00E+00
AC_WGS_43	2.56E-01	2.42E-01	1.29E-01
AC_WGS_45	1.63E-01	1.64E-01	7.54E-02
AC_WGS_46	1.96E-01	1.92E-01	3.14E-02
AC_WGS_49	8.63E-01	9.04E-01	9.19E-01
AC_WGS_50	2.21E+00	2.25E+00	2.27E+00
AC_WGS_51	1.06E+00	1.05E+00	8.56E-01
AC_WGS_52	1.53E+00	1.51E+00	1.36E+00
AC_WGS_53	7.77E-01	6.90E-01	4.88E-01
AC_WGS_11	1.13E+00	1.18E+00	1.20E+00
AC_WGS_37	7.09E-01	6.82E-01	5.71E-01
RC596TH1	6.86E-01	7.51E-01	9.38E-01
RC597TH1	1.02E+00	9.47E-01	5.94E-01
RC598TH1	8.63E-01	8.44E-01	3.84E-01
RC599TH1	1.21E+00	1.22E+00	1.07E+00
RC602TH1	1.36E+00	1.21E+00	9.46E-01
RC603TH1	1.81E+01	9.41E+00	1.72E+01
