Samples	SBS96A	SBS96B	SBS96C	SBS96D
PGENE_1T	2307	623	247	181
PGENE_2T	55	21	2	0
PGENE_4T	0	10195	1293	15
PGENE_5T	2909	111	115	77
PGENE_6T	450	81	46	34
PGENE_8T	1826	704	0	31
PGENE_9T	548	243	29	36
PGENE_10T	736	126	16	69
AC_WGS_1T	1105	560	55	99
AC_WGS_2T	0	5119	19563	0
AC_WGS_4	1309	569	176	40
AC_WGS_5	6927	0	1809	168
AC_WGS_6	4387	1523	281	432
AC_WGS_9T	2408	648	0	152
AC_WGS_10	2381	1156	196	175
AC_WGS_44	32	1	2	1
AC_WGS_12	963	415	115	42
AC_WGS_13T	0	347	746	9428
AC_WGS_15	854	208	25	41
AC_WGS_17	1835	826	100	63
AC_WGS_18T	17	8	0	2
AC_WGS_20T	19	21	0	5
AC_WGS_22	1926	593	0	285
AC_WGS_23	4744	2477	399	245
AC_WGS_24	61	26	3	2
AC_WGS_25	875	203	23	44
AC_WGS_26	587	94	0	53
AC_WGS_27	1034	359	137	60
AC_WGS_30	4033	920	37	321
AC_WGS_31	26	4	0	5
AC_WGS_32	3497	359	129	199
AC_WGS_33	4329	12243	3314	429
AC_WGS_34	5253	128	37	10
AC_WGS_35	163	44	0	7
AC_WGS_36	3902	55	131	4
AC_WGS_39	2855	700	48	169
AC_WGS_40	27	3	0	1
AC_WGS_41	7664	1618	808	3
AC_WGS_42	9	11	0	4
AC_WGS_43	35	21	5	3
AC_WGS_45	24	7	3	2
AC_WGS_46	30	13	0	6
AC_WGS_49	2137	59	58	60
AC_WGS_50	6323	697	949	302
AC_WGS_51	1477	303	101	69
AC_WGS_52	2986	443	318	155
AC_WGS_53	262	248	43	27
AC_WGS_11	3013	168	94	28
AC_WGS_37	394	213	17	7
RC596TH1	2476	0	0	0
RC597TH1	503	497	0	9
RC598TH1	630	313	0	42
RC599TH1	2696	261	132	116
RC602TH1	512	1091	143	72
RC603TH1	848	38310	4738	792
