Samples	SBS96A	SBS96B	SBS96C	SBS96D
PGENE_1T	1.48E+00	1.64E+00	1.23E+00	6.65E-01
PGENE_2T	2.82E-01	2.57E-01	1.20E-01	0.00E+00
PGENE_4T	3.41E+00	1.03E+00	3.36E+00	6.48E-01
PGENE_5T	1.04E+00	1.15E+00	1.06E+00	5.04E-01
PGENE_6T	5.53E-01	6.08E-01	4.85E-01	2.60E-01
PGENE_8T	1.36E+00	1.32E+00	5.45E-01	3.26E-01
PGENE_9T	8.00E-01	8.39E-01	5.38E-01	3.11E-01
PGENE_10T	6.16E-01	7.36E-01	4.47E-01	4.02E-01
AC_WGS_1T	1.22E+00	1.24E+00	7.72E-01	4.61E-01
AC_WGS_2T	1.03E+01	0.00E+00	1.03E+01	0.00E+00
AC_WGS_4	1.34E+00	1.30E+00	1.07E+00	3.39E-01
AC_WGS_5	0.00E+00	2.46E+00	2.35E+00	8.11E-01
AC_WGS_6	2.33E+00	2.44E+00	1.71E+00	9.44E-01
AC_WGS_9T	1.32E+00	1.40E+00	5.01E-01	5.62E-01
AC_WGS_10	2.00E+00	2.05E+00	1.17E+00	6.32E-01
AC_WGS_44	1.45E-02	6.60E-02	6.53E-02	0.00E+00
AC_WGS_12	1.03E+00	1.07E+00	8.39E-01	4.08E-01
AC_WGS_13T	2.65E+00	0.00E+00	3.38E+00	2.52E+00
AC_WGS_15	7.62E-01	8.06E-01	5.57E-01	2.90E-01
AC_WGS_17	1.57E+00	1.48E+00	1.08E+00	4.02E-01
AC_WGS_18T	1.56E-01	1.62E-01	7.45E-02	1.04E-01
AC_WGS_20T	1.83E-01	1.98E-01	0.00E+00	8.93E-02
AC_WGS_22	1.17E+00	1.37E+00	4.75E-01	8.06E-01
AC_WGS_23	2.71E+00	2.64E+00	1.98E+00	7.49E-01
AC_WGS_24	2.96E-01	2.95E-01	8.45E-02	1.76E-02
AC_WGS_25	7.89E-01	8.47E-01	5.87E-01	3.00E-01
AC_WGS_26	5.38E-01	6.21E-01	7.99E-02	3.32E-01
AC_WGS_27	1.09E+00	1.11E+00	8.78E-01	3.67E-01
AC_WGS_30	1.79E+00	1.92E+00	1.27E+00	8.37E-01
AC_WGS_31	8.05E-02	1.07E-01	0.00E+00	7.93E-02
AC_WGS_32	1.23E+00	1.44E+00	1.27E+00	7.69E-01
AC_WGS_33	6.67E+00	5.60E+00	5.06E+00	1.26E+00
AC_WGS_34	1.26E+00	1.43E+00	1.50E+00	6.08E-01
AC_WGS_35	3.20E-01	3.34E-01	1.30E-01	1.16E-01
AC_WGS_36	1.09E+00	1.26E+00	1.39E+00	4.67E-01
AC_WGS_39	1.46E+00	1.56E+00	1.19E+00	6.67E-01
AC_WGS_40	7.78E-02	8.04E-02	9.40E-03	2.08E-02
AC_WGS_41	2.88E+00	2.84E+00	2.94E+00	6.38E-01
AC_WGS_42	1.47E-01	1.51E-01	0.00E+00	9.45E-02
AC_WGS_43	2.51E-01	2.45E-01	1.27E-01	7.27E-02
AC_WGS_45	1.59E-01	1.84E-01	7.09E-02	9.49E-02
AC_WGS_46	1.93E-01	2.00E-01	3.03E-02	1.22E-01
AC_WGS_49	7.61E-01	9.34E-01	9.00E-01	4.39E-01
AC_WGS_50	2.09E+00	2.22E+00	2.37E+00	8.16E-01
AC_WGS_51	1.05E+00	1.14E+00	9.00E-01	4.35E-01
AC_WGS_52	1.51E+00	1.56E+00	1.33E+00	6.21E-01
AC_WGS_53	7.26E-01	6.90E-01	4.72E-01	2.42E-01
AC_WGS_11	1.07E+00	1.21E+00	1.20E+00	4.33E-01
AC_WGS_37	6.72E-01	6.83E-01	5.26E-01	1.54E-01
RC596TH1	5.25E-01	5.96E-01	1.81E-01	2.84E-01
RC597TH1	9.87E-01	9.66E-01	4.93E-01	1.90E-01
RC598TH1	8.03E-01	8.18E-01	2.77E-01	3.05E-01
RC599TH1	1.11E+00	1.23E+00	1.17E+00	5.01E-01
RC602TH1	1.34E+00	1.29E+00	8.48E-01	3.86E-01
RC603TH1	1.25E+01	1.03E+01	9.92E+00	2.11E+00
