Iteration	L1	L1 %	L2	L2 %	KL Divergence
1	893.006	55.787	175.114	48.386	0.441
2	913.266	55.521	178.747	48.479	0.426
3	900.272	55.553	174.849	47.878	0.425
4	902.705	55.2	175.62	48.344	0.425
5	910.192	55.527	176.052	48.152	0.418
6	905.011	55.887	174.916	48.086	0.428
7	889.338	54.721	173.142	47.766	0.414
8	899.565	55.686	176.075	48.251	0.431
9	896.883	55.102	176.16	48.317	0.424
10	911.856	55.819	177.84	48.582	0.426
11	897.696	55.174	175.166	48.181	0.427
12	912.402	56.22	179.728	48.723	0.437
13	911.026	55.345	175.454	47.839	0.421
14	920.796	55.954	178.884	48.06	0.423
15	899.641	54.702	173.319	47.397	0.413
16	901.812	56.43	173.678	48.118	0.443
17	898.195	55.071	173.871	47.912	0.426
18	906.57	56.306	175.17	48.264	0.424
19	901.015	55.02	174.32	47.914	0.424
20	896.716	55.307	173.015	47.762	0.418
21	903.551	55.435	172.752	48.004	0.418
22	911.519	55.385	176.924	48.212	0.418
23	912.965	56.14	176.52	48.747	0.438
24	895.902	55.109	173.872	48.276	0.425
25	897.455	56.156	173.544	48.157	0.431
26	910.574	55.164	177.191	47.724	0.415
27	892.441	55.183	172.891	47.917	0.42
28	897.24	55.088	174.495	48.042	0.427
29	898.075	55.772	175.705	48.353	0.44
30	903.641	55.416	175.225	47.717	0.419
31	912.853	56.493	176.688	48.627	0.434
32	895.707	54.943	173.643	47.937	0.416
33	898.691	54.559	174.12	47.904	0.403
34	900.316	55.234	176.021	48.382	0.417
35	904.599	55.698	174.605	48.082	0.425
36	900.691	54.84	174.664	48.248	0.426
37	913.58	56.93	177.981	48.512	0.444
38	904.58	56.182	176.113	48.732	0.431
39	910.648	55.323	178.345	48.297	0.413
40	914.514	56.509	176.686	48.535	0.441
41	903.096	55.635	176.304	48.798	0.43
42	908.527	55.752	175.953	48.043	0.426
43	913.918	55.695	175.026	48.117	0.429
44	885.594	55.052	170.892	47.305	0.42
45	900.331	54.631	175.642	47.623	0.408
46	915.932	56.109	178.679	48.699	0.429
47	906.764	55.648	177.636	47.989	0.436
48	902.681	54.967	174.406	48.115	0.41
49	893.619	55.333	171.355	48.087	0.423
50	888.457	55.567	173.597	48.3	0.427
51	910.884	54.879	178.32	47.957	0.409
52	910.063	55.36	178.027	48.346	0.419
53	904.52	55.322	177.552	48.502	0.419
54	907.166	55.522	177.569	48.636	0.427
55	899.947	54.727	173.652	47.528	0.416
56	900.443	55.372	174.915	48.07	0.429
57	897.443	56.131	172.715	48.018	0.439
58	901.442	55.704	175.531	48.298	0.431
59	909.481	56.016	177.849	48.616	0.435
60	905.65	55.312	176.925	47.974	0.42
61	910.566	55.029	176.85	48.004	0.417
62	898.663	55.176	175.074	47.961	0.424
63	891.013	54.727	173.785	48.181	0.412
64	906.848	55.595	177.795	48.314	0.432
65	904.724	55.104	177.241	48.02	0.417
66	904.24	54.713	175.609	47.885	0.411
67	898.317	55.393	175.276	48.178	0.416
68	900.792	54.725	175.886	47.907	0.408
69	894.728	55.668	174.007	48.3	0.434
70	901.639	55.327	176.112	48.376	0.411
71	900.122	54.802	173.336	47.549	0.421
72	896.199	56.265	176.461	48.484	0.441
73	904.528	55.005	177.469	47.992	0.416
74	895.728	55.2	176.893	48.229	0.419
75	904.684	55.386	175.565	48.557	0.412
76	905.303	55.599	175.913	48.075	0.427
77	905.855	54.691	175.018	48.14	0.416
78	903.68	55.252	174.209	47.791	0.413
79	902.977	55.182	175.236	47.87	0.418
80	906.186	55.671	178.187	48.487	0.43
81	907.657	55.328	176.092	48.237	0.417
82	905.202	55.894	175.117	48.247	0.421
83	907.916	55.526	177.149	47.779	0.42
84	902.741	55.889	176.603	48.346	0.428
85	904.656	55.376	175.797	48.22	0.422
86	902.708	54.63	174.845	47.819	0.402
87	905.763	55.041	175.493	48.392	0.435
88	903.371	55.411	174.861	47.892	0.427
89	898.513	55.164	175.15	48.042	0.412
90	900.128	54.785	175.128	47.857	0.41
91	895.862	55.381	173.801	48.098	0.428
92	908.615	55.657	175.765	48.047	0.42
93	906.14	54.665	173.633	47.803	0.408
94	897.36	55.299	173.795	47.967	0.43
95	899.735	57.116	175.168	48.822	0.455
96	902.526	55.234	175.116	48.287	0.424
97	905.278	55.213	175.051	48.3	0.418
98	898.1	55.808	175.554	48.214	0.436
99	907.648	55.991	178.976	49.154	0.452
100	895.724	54.794	175.371	47.908	0.425
101	915.273	56.143	177.245	48.305	0.432
102	894.825	55.341	174.873	48.052	0.423
103	903.003	54.959	175.879	48.034	0.414
104	903.052	55.811	174.273	48.045	0.439
105	904.1	54.97	175.705	47.953	0.414
106	893.955	54.377	172.82	47.481	0.412
107	888.738	54.688	174.275	47.927	0.415
108	907.293	55.987	177.759	48.373	0.434
109	916.398	54.578	178.196	47.824	0.402
110	903.071	56.025	175.621	48.747	0.434
111	909.224	55.138	176.351	47.828	0.418
112	908.266	55.976	174.962	48.375	0.429
113	903.718	56.676	176.985	48.477	0.441
114	895.883	55.273	175.4	48.015	0.419
115	909.486	55.772	178.191	48.496	0.442
116	889.458	55.581	172.398	48.66	0.426
117	911.569	55.999	178.817	48.949	0.424
118	913.135	55.246	177.964	48.417	0.413
119	898.63	55.342	174.794	48.284	0.42
120	904.944	56.203	176.588	48.169	0.446
121	908.524	56.149	177.396	48.908	0.438
122	889.118	55.083	172.138	47.731	0.416
123	897.196	54.89	173.948	47.776	0.413
124	902.901	55.72	176.843	48.368	0.421
125	901.131	54.763	175.904	48.023	0.416
126	905.731	55.518	178.097	48.278	0.43
127	891.881	55.454	173.612	48.304	0.42
128	897.323	55.451	175.253	47.81	0.433
129	902.317	55.834	175.558	48.304	0.431
130	916.901	56.514	179.328	48.875	0.441
131	904.213	54.893	175.881	47.805	0.42
132	898.838	54.826	174.563	48.014	0.408
133	903.859	55.588	173.378	48.204	0.423
134	896.229	55.07	175.115	48.241	0.418
135	904.241	55.362	175.406	47.732	0.425
136	889.969	55.784	171.951	47.977	0.433
137	895.864	55.295	174.917	48.291	0.44
138	899.179	55.6	175.416	48.082	0.426
139	912.442	54.761	176.189	47.956	0.411
140	910.233	56.655	177.958	48.577	0.444
141	902.727	55.553	172.919	47.717	0.417
142	892.146	54.935	174.202	47.957	0.425
143	899.004	55.132	173.854	48.253	0.423
144	898.002	54.85	175.006	48.0	0.406
145	899.45	56.026	175.126	48.259	0.446
146	902.119	55.228	175.334	48.17	0.426
147	903.221	56.386	173.609	48.27	0.439
148	910.445	54.922	177.139	48.023	0.414
149	914.549	56.069	176.78	48.406	0.425
150	896.812	55.094	173.191	48.063	0.431
151	905.236	55.308	174.477	47.905	0.416
152	898.88	55.579	174.263	48.253	0.425
153	901.048	55.619	177.643	48.423	0.436
154	909.491	55.629	177.295	48.362	0.426
155	909.912	55.16	176.495	47.909	0.423
156	907.82	54.421	176.409	47.715	0.395
157	899.006	54.867	173.188	48.025	0.419
158	903.884	54.781	176.53	47.828	0.406
159	888.346	55.863	171.643	47.747	0.429
160	898.009	55.215	177.37	48.434	0.42
161	904.941	55.321	175.964	47.956	0.421
162	906.641	55.489	176.889	47.846	0.41
163	899.568	54.792	173.916	47.845	0.414
164	907.746	55.88	174.991	48.023	0.429
165	892.641	54.419	174.248	47.549	0.407
166	895.568	55.079	173.789	48.234	0.43
167	900.896	55.041	177.264	48.347	0.415
168	911.522	55.865	176.054	48.289	0.42
169	909.378	55.95	175.69	48.102	0.426
170	918.823	55.808	179.67	48.262	0.428
171	912.84	55.884	175.018	47.983	0.429
172	887.959	55.611	172.952	48.338	0.441
173	902.585	56.15	175.576	47.92	0.445
174	904.954	55.412	176.05	48.385	0.426
175	882.132	55.029	172.152	47.742	0.417
176	899.764	54.826	175.21	47.891	0.411
177	890.407	55.544	173.832	47.89	0.439
178	902.974	55.693	177.941	48.444	0.434
179	913.778	55.569	178.491	48.336	0.418
180	899.315	55.531	175.301	47.882	0.431
181	902.723	56.095	174.748	48.469	0.441
182	897.224	55.159	174.15	48.592	0.423
183	897.697	55.461	175.652	48.267	0.439
184	907.436	54.944	177.054	48.041	0.416
185	890.122	54.804	173.229	47.51	0.425
186	901.988	54.806	175.686	47.61	0.416
187	907.093	54.74	175.015	47.928	0.414
188	893.528	55.793	176.379	48.693	0.434
189	912.496	56.099	177.661	48.351	0.421
190	902.299	55.894	174.658	48.28	0.43
191	895.544	54.986	173.874	47.682	0.415
192	910.362	56.126	178.186	48.336	0.427
193	918.743	55.358	178.44	48.656	0.418
194	909.153	55.098	178.2	48.346	0.422
195	895.232	55.532	173.618	47.862	0.423
196	897.108	55.286	173.825	47.526	0.419
197	907.249	55.144	177.981	48.101	0.422
198	903.753	56.073	176.892	48.352	0.442
199	903.04	55.313	172.61	47.826	0.412
200	898.805	54.686	174.509	47.714	0.409
201	900.627	55.624	177.233	48.545	0.422
202	901.546	54.885	175.26	47.805	0.406
203	903.17	55.538	175.781	48.01	0.43
204	904.468	55.498	175.316	48.426	0.423
205	896.518	55.064	175.906	47.897	0.432
206	887.097	54.788	174.275	47.976	0.419
207	902.525	55.695	176.886	48.406	0.432
208	907.557	55.901	176.473	48.161	0.416
209	898.157	55.321	174.191	47.739	0.426
210	901.235	55.7	174.933	48.283	0.425
211	899.614	55.39	174.739	47.958	0.428
212	896.855	55.322	175.341	48.171	0.429
213	901.395	54.996	174.172	47.668	0.414
214	894.274	55.083	174.222	47.988	0.424
215	884.915	55.201	171.647	47.821	0.424
216	891.625	55.113	172.487	47.731	0.411
217	913.166	55.774	178.594	48.267	0.426
218	904.246	55.002	176.145	48.04	0.421
219	901.306	55.486	176.438	48.298	0.418
220	894.824	55.788	175.328	48.363	0.428
221	910.505	56.186	176.833	48.235	0.439
222	905.004	55.556	174.235	48.09	0.434
223	901.278	55.444	175.129	47.882	0.42
224	891.971	55.064	173.212	47.556	0.422
225	902.31	54.574	177.021	47.883	0.415
226	893.82	55.599	174.754	47.833	0.421
227	900.562	55.536	177.476	48.103	0.432
228	908.71	55.114	175.393	48.513	0.42
229	898.868	55.485	174.982	48.007	0.431
230	889.505	54.627	172.531	47.302	0.406
231	900.128	54.936	177.055	48.18	0.416
232	903.174	54.954	174.151	47.796	0.415
233	907.229	54.737	177.25	47.597	0.405
234	914.826	55.575	177.34	48.085	0.421
235	895.8	55.051	174.394	47.964	0.412
236	910.493	55.774	174.129	48.335	0.423
237	891.455	55.628	173.476	47.845	0.432
238	895.595	55.02	174.727	47.834	0.409
239	901.251	55.102	175.506	48.024	0.407
240	904.053	55.603	175.223	47.967	0.43
241	896.769	55.136	173.367	48.162	0.416
242	907.675	54.452	175.226	47.573	0.394
243	907.033	55.789	177.129	48.751	0.435
244	903.592	55.407	176.761	48.157	0.436
245	912.704	56.311	175.412	48.496	0.435
246	904.361	55.631	177.799	47.679	0.417
247	892.648	55.656	174.854	47.93	0.429
248	900.609	55.529	175.82	47.906	0.433
249	905.629	55.195	176.289	48.305	0.427
250	912.09	55.49	178.608	48.766	0.421
251	908.27	55.118	173.752	47.867	0.409
252	894.446	55.29	171.966	47.71	0.42
253	912.954	55.367	177.558	48.415	0.418
254	890.227	54.904	173.091	47.643	0.422
255	896.882	54.933	174.9	47.921	0.419
256	891.776	55.647	175.089	48.283	0.434
257	903.804	54.927	173.584	48.064	0.416
258	911.581	56.001	179.13	48.146	0.435
259	889.277	56.051	174.172	48.578	0.451
260	899.146	54.201	176.433	47.538	0.396
261	913.218	55.636	178.71	48.334	0.429
262	904.325	55.959	174.676	48.206	0.445
263	915.666	56.203	178.844	48.744	0.43
264	889.141	55.459	172.992	47.984	0.43
265	892.776	55.666	174.396	48.296	0.419
266	909.215	54.649	177.816	48.084	0.419
267	914.96	55.393	177.972	47.978	0.428
268	895.622	54.434	175.287	47.797	0.409
269	893.294	55.25	172.524	47.827	0.43
270	904.259	55.245	176.092	48.224	0.419
271	907.916	55.08	175.149	47.874	0.418
272	908.048	55.254	176.527	48.301	0.428
273	904.751	54.965	175.735	47.659	0.422
274	896.625	54.72	173.581	47.488	0.415
275	913.523	54.925	176.483	47.848	0.418
276	898.514	55.718	174.09	47.893	0.43
277	900.096	54.221	175.219	47.533	0.41
278	903.711	54.568	175.387	47.667	0.42
279	901.927	54.938	174.591	47.528	0.418
280	903.88	55.607	177.323	48.77	0.422
281	901.676	54.182	175.141	47.746	0.413
282	900.104	54.418	173.324	47.653	0.404
283	906.664	55.487	177.549	48.53	0.416
284	897.224	55.755	174.895	48.083	0.431
285	905.752	54.467	174.9	47.559	0.42
286	907.807	54.996	175.946	48.031	0.411
287	907.435	55.154	175.487	48.246	0.416
288	897.606	54.991	173.475	47.633	0.422
289	912.126	55.646	176.079	48.398	0.428
290	904.572	55.394	177.974	48.158	0.43
291	898.386	54.943	176.767	48.111	0.42
292	894.646	56.727	173.151	48.89	0.437
293	903.78	54.831	175.447	48.049	0.413
294	889.4	54.705	172.306	47.396	0.419
295	916.445	55.514	178.484	48.294	0.411
296	913.797	56.612	176.819	48.491	0.442
297	903.671	55.321	176.802	47.96	0.423
298	904.538	54.543	176.603	47.755	0.408
299	901.161	55.547	173.873	48.05	0.427
300	917.502	55.556	180.119	48.445	0.43
301	908.708	55.866	174.653	48.324	0.426
302	903.707	55.11	175.68	47.889	0.419
303	899.989	55.073	177.475	47.959	0.435
304	904.442	56.651	174.623	48.553	0.446
305	910.371	55.925	177.892	48.203	0.433
306	913.036	55.548	177.764	48.443	0.426
307	904.328	54.994	174.714	47.833	0.41
308	897.43	55.029	174.562	48.023	0.411
309	901.025	55.519	177.774	48.012	0.437
310	899.831	55.507	176.596	48.204	0.42
311	897.807	55.588	173.248	48.301	0.422
312	892.02	54.307	172.427	47.338	0.404
313	894.481	54.448	173.991	47.574	0.417
314	895.618	55.192	173.753	47.712	0.417
