Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
PGENE_1T	439	2023	254	511	131
PGENE_2T	10	64	3	1	0
PGENE_4T	10256	0	1148	27	72
PGENE_5T	145	1582	147	1239	99
PGENE_6T	38	440	47	66	20
PGENE_8T	513	1676	0	372	0
PGENE_9T	214	402	29	179	32
PGENE_10T	54	726	25	99	43
AC_WGS_1T	419	1065	57	209	69
AC_WGS_2T	4844	40	19680	118	0
AC_WGS_4	469	1055	177	367	26
AC_WGS_5	0	3040	2179	3410	275
AC_WGS_6	891	4704	305	472	251
AC_WGS_9T	371	2416	19	326	76
AC_WGS_10	852	2304	197	443	112
AC_WGS_44	0	35	1	0	0
AC_WGS_12	487	312	121	550	65
AC_WGS_13T	376	0	671	232	9242
AC_WGS_15	148	720	32	201	27
AC_WGS_17	606	1726	107	360	25
AC_WGS_18T	3	23	0	0	1
AC_WGS_20T	14	28	0	0	3
AC_WGS_22	389	1889	0	317	209
AC_WGS_23	1887	4507	395	935	141
AC_WGS_24	16	66	4	6	0
AC_WGS_25	126	798	32	164	25
AC_WGS_26	46	560	0	94	34
AC_WGS_27	222	1064	136	141	27
AC_WGS_30	469	4052	92	518	180
AC_WGS_31	0	32	0	0	3
AC_WGS_32	268	2481	164	1096	175
AC_WGS_33	10876	5015	3021	1084	319
AC_WGS_34	476	1400	57	3350	145
AC_WGS_35	31	143	0	36	4
AC_WGS_36	281	1186	169	2364	92
AC_WGS_39	501	2395	73	683	120
AC_WGS_40	0	31	0	0	0
AC_WGS_41	1894	3355	904	3836	104
AC_WGS_42	7	14	0	0	3
AC_WGS_43	13	42	5	3	1
AC_WGS_45	2	30	3	0	1
AC_WGS_46	6	40	0	0	3
AC_WGS_49	109	1039	78	1002	86
AC_WGS_50	296	5560	965	1276	174
AC_WGS_51	276	968	111	528	67
AC_WGS_52	414	1876	348	1107	157
AC_WGS_53	195	284	40	43	18
AC_WGS_11	297	1194	120	1611	81
AC_WGS_37	167	357	18	88	1
RC596TH1	125	0	0	2332	19
RC597TH1	354	619	0	36	0
RC598TH1	204	699	0	64	18
RC599TH1	132	2185	160	652	76
RC602TH1	916	661	119	71	51
RC603TH1	36503	2408	3738	1249	790
