Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
PGENE_1T	1.47E+00	1.41E+00	1.27E+00	1.94E+00	6.45E-01
PGENE_2T	2.33E-01	1.47E-01	8.80E-02	2.30E-01	0.00E+00
PGENE_4T	1.41E+01	8.29E+00	6.36E-02	1.67E+01	7.40E-01
PGENE_5T	1.00E+00	1.19E+00	2.30E+00	2.54E+00	5.65E-01
PGENE_6T	4.99E-01	5.28E-01	5.85E-01	7.92E-01	2.61E-01
PGENE_8T	1.68E+00	7.20E-01	2.14E+00	2.89E+00	3.27E-01
PGENE_9T	9.23E-01	5.31E-01	7.46E-01	1.15E+00	3.09E-01
PGENE_10T	5.44E-01	5.41E-01	5.98E-01	8.75E-01	3.59E-01
AC_WGS_1T	1.36E+00	9.02E-01	8.71E-01	1.59E+00	4.31E-01
AC_WGS_2T	1.06E+01	1.23E+01	9.54E+00	0.00E+00	0.00E+00
AC_WGS_4	1.58E+00	1.14E+00	1.46E+00	2.11E+00	3.54E-01
AC_WGS_5	0.00E+00	3.13E+00	5.91E+00	6.48E+00	1.05E+00
AC_WGS_6	2.40E+00	2.33E+00	1.51E+00	2.73E+00	8.88E-01
AC_WGS_9T	1.36E+00	1.04E+00	1.43E+00	1.97E+00	4.81E-01
AC_WGS_10	2.62E+00	1.37E+00	1.43E+00	3.00E+00	5.97E-01
AC_WGS_44	3.00E-03	5.75E-02	5.05E-02	7.36E-02	0.00E+00
AC_WGS_12	1.21E+00	8.57E-01	1.14E+00	1.53E+00	4.21E-01
AC_WGS_13T	3.50E+00	7.32E+00	3.47E+00	4.02E-01	5.19E+00
AC_WGS_15	7.76E-01	6.40E-01	9.20E-01	1.16E+00	2.93E-01
AC_WGS_17	1.79E+00	1.26E+00	1.55E+00	2.32E+00	3.91E-01
AC_WGS_18T	1.32E-01	5.28E-02	0.00E+00	1.44E-01	4.79E-02
AC_WGS_20T	1.57E-01	0.00E+00	0.00E+00	1.72E-01	7.35E-02
AC_WGS_22	1.33E+00	7.32E-01	1.24E+00	1.88E+00	7.84E-01
AC_WGS_23	3.84E+00	2.37E+00	2.17E+00	4.27E+00	6.95E-01
AC_WGS_24	2.67E-01	9.41E-02	1.28E-01	2.89E-01	7.47E-03
AC_WGS_25	7.69E-01	6.68E-01	9.21E-01	1.17E+00	3.00E-01
AC_WGS_26	4.51E-01	1.37E-01	5.67E-01	7.60E-01	3.16E-01
AC_WGS_27	1.07E+00	9.96E-01	8.42E-01	1.38E+00	3.16E-01
AC_WGS_30	1.81E+00	2.00E+00	1.46E+00	2.29E+00	7.45E-01
AC_WGS_31	5.83E-02	0.00E+00	0.00E+00	8.81E-02	6.70E-02
AC_WGS_32	1.29E+00	1.49E+00	2.18E+00	2.61E+00	7.27E-01
AC_WGS_33	1.73E+01	1.02E+01	3.21E+00	1.90E+01	1.27E+00
AC_WGS_34	1.66E+00	1.57E+00	5.20E+00	5.38E+00	8.84E-01
AC_WGS_35	2.95E-01	1.53E-01	3.60E-01	4.67E-01	1.00E-01
AC_WGS_36	1.31E+00	1.43E+00	3.54E+00	3.56E+00	6.46E-01
AC_WGS_39	1.52E+00	1.36E+00	1.64E+00	2.19E+00	6.53E-01
AC_WGS_40	2.79E-02	5.19E-03	0.00E+00	2.84E-02	3.00E-03
AC_WGS_41	4.35E+00	2.91E+00	6.70E+00	7.30E+00	9.56E-01
AC_WGS_42	1.17E-01	0.00E+00	0.00E+00	1.30E-01	8.31E-02
AC_WGS_43	2.11E-01	1.52E-01	9.56E-02	2.24E-01	5.70E-02
AC_WGS_45	1.23E-01	6.88E-02	0.00E+00	1.42E-01	5.98E-02
AC_WGS_46	1.54E-01	3.12E-02	0.00E+00	1.70E-01	9.65E-02
AC_WGS_49	8.64E-01	9.58E-01	2.10E+00	2.30E+00	5.04E-01
AC_WGS_50	1.91E+00	3.21E+00	2.33E+00	3.13E+00	7.78E-01
AC_WGS_51	1.09E+00	8.90E-01	1.28E+00	1.61E+00	4.17E-01
AC_WGS_52	1.61E+00	1.46E+00	2.28E+00	2.64E+00	6.68E-01
AC_WGS_53	8.00E-01	5.34E-01	4.56E-01	8.68E-01	2.19E-01
AC_WGS_11	1.21E+00	1.22E+00	2.58E+00	2.69E+00	5.58E-01
AC_WGS_37	7.34E-01	5.66E-01	6.63E-01	9.24E-01	1.35E-01
RC596TH1	8.41E-01	0.00E+00	1.00E+00	2.23E-01	5.01E-01
RC597TH1	1.17E+00	5.58E-01	5.90E-01	1.33E+00	1.74E-01
RC598TH1	8.52E-01	3.75E-01	5.83E-01	1.06E+00	2.76E-01
RC599TH1	1.08E+00	1.40E+00	1.36E+00	1.70E+00	4.59E-01
RC602TH1	1.89E+00	1.12E+00	6.61E-01	2.09E+00	3.65E-01
RC603TH1	5.42E+01	3.34E+01	4.83E+00	6.47E+01	2.66E+00
