Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
PGENE_1T	405	1511	667	181	476	118
PGENE_2T	1	0	71	6	0	0
PGENE_4T	9999	87	472	768	107	70
PGENE_5T	92	898	828	136	1162	96
PGENE_6T	7	142	317	61	61	23
PGENE_8T	309	0	1857	59	328	8
PGENE_9T	183	173	271	28	168	33
PGENE_10T	34	413	350	17	91	42
AC_WGS_1T	368	592	559	37	195	68
AC_WGS_2T	3772	0	0	20493	417	0
AC_WGS_4	336	20	1096	257	348	37
AC_WGS_5	0	3833	0	1859	3014	198
AC_WGS_6	699	2622	2365	260	428	249
AC_WGS_9T	248	1095	1463	25	295	82
AC_WGS_10	743	1225	1249	161	417	113
AC_WGS_44	0	28	8	0	0	0
AC_WGS_12	469	407	25	72	506	56
AC_WGS_13T	297	0	104	770	223	9127
AC_WGS_15	107	308	460	36	188	29
AC_WGS_17	403	13	1813	222	330	43
AC_WGS_18T	3	16	8	0	0	0
AC_WGS_20T	12	30	1	0	0	2
AC_WGS_22	267	607	1392	18	294	226
AC_WGS_23	1649	2300	2559	337	876	144
AC_WGS_24	13	36	34	3	6	0
AC_WGS_25	67	236	605	53	154	30
AC_WGS_26	25	296	292	0	87	34
AC_WGS_27	139	356	768	167	127	33
AC_WGS_30	357	2393	1879	31	476	175
AC_WGS_31	1	32	0	0	0	2
AC_WGS_32	226	1682	997	104	1012	163
AC_WGS_33	10089	5054	1464	2369	1092	247
AC_WGS_34	269	0	1633	150	3225	151
AC_WGS_35	24	57	95	0	34	4
AC_WGS_36	224	714	697	161	2211	85
AC_WGS_39	391	1233	1328	62	637	121
AC_WGS_40	0	25	6	0	0	0
AC_WGS_41	1486	674	3059	1077	3682	115
AC_WGS_42	5	17	0	0	0	2
AC_WGS_43	13	36	9	2	3	1
AC_WGS_45	4	29	2	1	0	0
AC_WGS_46	5	19	22	0	0	3
AC_WGS_49	82	655	498	63	934	82
AC_WGS_50	388	4838	1081	657	1178	129
AC_WGS_51	254	704	366	76	489	61
AC_WGS_52	339	1133	919	323	1037	151
AC_WGS_53	166	57	250	49	38	20
AC_WGS_11	245	685	673	109	1514	77
AC_WGS_37	130	50	332	34	82	3
RC596TH1	156	0	0	0	2296	24
RC597TH1	249	0	730	27	3	0
RC598TH1	138	66	681	22	52	26
RC599TH1	87	1347	964	125	609	73
RC602TH1	862	378	379	80	70	49
RC603TH1	34572	3388	2496	2221	1334	677
