Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
PGENE_1T	6.59E-01	1.89E+00	3.22E+00	1.28E+00	1.60E+00	2.93E+00
PGENE_2T	0.00E+00	2.02E-01	2.28E-01	6.06E-02	1.68E-01	1.24E-01
PGENE_4T	9.08E-01	1.16E+01	1.34E+01	1.34E-01	1.02E+01	2.67E+00
PGENE_5T	5.89E-01	1.77E+00	3.18E+00	2.08E+00	1.25E+00	2.75E+00
PGENE_6T	2.63E-01	6.49E-01	1.17E+00	5.22E-01	5.32E-01	9.90E-01
PGENE_8T	3.41E-01	3.30E+00	2.84E+00	1.30E+00	1.26E+00	1.06E+00
PGENE_9T	2.91E-01	9.42E-01	1.18E+00	7.21E-01	5.11E-01	9.64E-01
PGENE_10T	3.69E-01	7.51E-01	1.54E+00	5.82E-01	5.21E-01	1.42E+00
AC_WGS_1T	4.27E-01	1.57E+00	2.49E+00	8.54E-01	8.82E-01	2.08E+00
AC_WGS_2T	1.90E-01	1.42E+01	4.80E-02	2.17E+01	2.06E+01	5.84E-01
AC_WGS_4	3.83E-01	2.26E+00	2.31E+00	1.14E+00	1.31E+00	1.31E+00
AC_WGS_5	1.21E+00	0.00E+00	6.34E+00	5.73E+00	3.71E+00	7.11E+00
AC_WGS_6	8.47E-01	4.38E+00	6.30E+00	1.61E+00	2.29E+00	5.46E+00
AC_WGS_9T	5.01E-01	2.73E+00	3.90E+00	1.33E+00	9.46E-01	3.21E+00
AC_WGS_10	6.03E-01	3.21E+00	5.44E+00	1.38E+00	1.50E+00	4.47E+00
AC_WGS_44	0.00E+00	8.29E-03	1.88E-01	3.74E-02	9.25E-02	1.76E-01
AC_WGS_12	4.24E-01	1.13E+00	1.26E+00	1.19E+00	9.47E-01	1.34E+00
AC_WGS_13T	8.10E+00	2.40E+00	6.73E+00	3.20E+00	2.52E+00	1.91E+00
AC_WGS_15	2.80E-01	1.12E+00	1.63E+00	8.53E-01	6.67E-01	1.40E+00
AC_WGS_17	4.08E-01	3.16E+00	2.99E+00	1.21E+00	1.39E+00	1.68E+00
AC_WGS_18T	3.98E-02	1.29E-01	2.43E-01	0.00E+00	5.35E-02	2.17E-01
AC_WGS_20T	7.24E-02	1.34E-01	1.38E-01	0.00E+00	0.00E+00	1.83E-01
AC_WGS_22	7.98E-01	2.78E+00	3.52E+00	1.11E+00	8.64E-01	2.73E+00
AC_WGS_23	7.26E-01	5.44E+00	6.54E+00	2.13E+00	2.60E+00	5.08E+00
AC_WGS_24	7.11E-03	2.66E-01	4.52E-01	1.13E-01	8.29E-02	4.02E-01
AC_WGS_25	2.84E-01	1.27E+00	1.64E+00	7.38E-01	7.05E-01	1.26E+00
AC_WGS_26	3.02E-01	6.26E-01	1.30E+00	5.38E-01	1.09E-01	1.17E+00
AC_WGS_27	3.31E-01	1.75E+00	2.21E+00	8.40E-01	1.10E+00	1.70E+00
AC_WGS_30	7.52E-01	3.74E+00	6.05E+00	1.56E+00	1.75E+00	5.20E+00
AC_WGS_31	6.78E-02	4.96E-02	3.92E-02	0.00E+00	0.00E+00	8.89E-02
AC_WGS_32	7.30E-01	2.16E+00	3.65E+00	2.16E+00	1.55E+00	3.47E+00
AC_WGS_33	1.50E+00	1.43E+01	1.48E+01	3.49E+00	1.37E+01	9.54E+00
AC_WGS_34	1.01E+00	3.22E+00	3.87E+00	3.63E+00	1.76E+00	2.53E+00
AC_WGS_35	1.07E-01	3.43E-01	5.79E-01	3.17E-01	1.70E-01	4.73E-01
AC_WGS_36	7.67E-01	1.87E+00	3.58E+00	3.12E+00	1.46E+00	2.53E+00
AC_WGS_39	6.33E-01	2.76E+00	3.83E+00	1.60E+00	1.41E+00	2.96E+00
AC_WGS_40	0.00E+00	4.21E-02	1.70E-01	0.00E+00	1.89E-02	1.68E-01
AC_WGS_41	1.24E+00	5.66E+00	7.49E+00	5.42E+00	3.06E+00	4.63E+00
AC_WGS_42	7.47E-02	9.76E-02	1.14E-02	0.00E+00	0.00E+00	1.08E-01
AC_WGS_43	4.99E-02	2.09E-01	2.07E-01	8.96E-02	1.51E-01	2.26E-01
AC_WGS_45	3.90E-02	1.04E-01	1.26E-01	0.00E+00	6.05E-02	1.62E-01
AC_WGS_46	9.94E-02	1.43E-01	2.48E-01	0.00E+00	3.08E-02	2.48E-01
AC_WGS_49	5.21E-01	1.25E+00	2.80E+00	1.95E+00	9.74E-01	2.30E+00
AC_WGS_50	8.21E-01	2.79E+00	5.03E+00	2.55E+00	3.55E+00	5.52E+00
AC_WGS_51	4.30E-01	1.19E+00	1.97E+00	1.23E+00	9.74E-01	1.75E+00
AC_WGS_52	6.80E-01	2.19E+00	3.33E+00	2.17E+00	1.56E+00	2.85E+00
AC_WGS_53	2.27E-01	8.46E-01	9.25E-01	4.05E-01	5.89E-01	6.91E-01
AC_WGS_11	6.18E-01	1.69E+00	3.11E+00	2.47E+00	1.25E+00	2.39E+00
AC_WGS_37	1.44E-01	9.77E-01	1.11E+00	5.45E-01	5.85E-01	6.37E-01
RC596TH1	6.45E-01	8.62E-01	9.46E-01	1.55E+00	9.03E-02	6.33E-01
RC597TH1	1.71E-01	1.59E+00	1.47E+00	4.49E-01	7.67E-01	1.31E-01
RC598TH1	2.90E-01	1.39E+00	1.50E+00	5.38E-01	6.37E-01	1.01E+00
RC599TH1	4.82E-01	1.88E+00	3.20E+00	1.42E+00	1.35E+00	2.81E+00
RC602TH1	3.80E-01	1.85E+00	2.40E+00	6.08E-01	1.23E+00	1.90E+00
RC603TH1	3.42E+00	4.32E+01	5.03E+01	5.44E+00	4.20E+01	1.37E+01
