Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
PGENE_1T	295	1429	349	127	418	635	105
PGENE_2T	0	0	71	4	0	3	0
PGENE_4T	9787	0	495	349	52	795	25
PGENE_5T	39	429	667	72	1042	879	84
PGENE_6T	0	116	249	46	50	128	22
PGENE_8T	139	0	1981	126	291	2	22
PGENE_9T	151	156	243	22	149	105	30
PGENE_10T	3	421	216	1	76	191	39
AC_WGS_1T	322	575	369	2	166	323	62
AC_WGS_2T	3073	40	79	20758	708	0	24
AC_WGS_4	223	208	1031	276	314	6	36
AC_WGS_5	0	0	0	1232	2317	5264	91
AC_WGS_6	487	1653	1919	103	267	1965	229
AC_WGS_9T	104	1088	1169	0	237	532	78
AC_WGS_10	621	1351	831	105	365	533	102
AC_WGS_44	0	35	0	0	1	0	0
AC_WGS_12	447	295	0	48	468	229	48
AC_WGS_13T	172	151	287	772	219	79	8841
AC_WGS_15	82	180	368	10	156	306	26
AC_WGS_17	232	99	1822	262	282	78	49
AC_WGS_18T	2	19	2	0	0	3	1
AC_WGS_20T	10	32	0	0	0	1	2
AC_WGS_22	169	648	1133	0	250	382	222
AC_WGS_23	1477	1312	2120	155	699	1973	129
AC_WGS_24	7	58	19	3	5	0	0
AC_WGS_25	19	234	524	49	132	157	30
AC_WGS_26	0	231	216	0	71	182	34
AC_WGS_27	52	485	644	172	109	96	32
AC_WGS_30	185	1116	1379	0	293	2178	160
AC_WGS_31	0	31	0	0	0	2	2
AC_WGS_32	122	1078	748	15	880	1195	146
AC_WGS_33	9114	7283	593	2138	1037	0	150
AC_WGS_34	50	0	1911	268	3053	0	146
AC_WGS_35	15	85	74	0	32	4	4
AC_WGS_36	136	442	630	139	2031	648	66
AC_WGS_39	249	1245	1016	30	566	554	112
AC_WGS_40	0	31	0	0	0	0	0
AC_WGS_41	1059	2006	2487	1096	3369	0	76
AC_WGS_42	4	17	0	0	0	1	2
AC_WGS_43	10	31	5	0	1	17	0
AC_WGS_45	2	20	0	0	0	14	0
AC_WGS_46	2	23	17	0	0	4	3
AC_WGS_49	38	511	340	31	849	474	71
AC_WGS_50	115	3305	610	452	947	2750	92
AC_WGS_51	195	676	230	56	449	290	54
AC_WGS_52	274	501	736	228	902	1127	134
AC_WGS_53	140	48	245	47	29	51	20
AC_WGS_11	150	807	505	113	1417	246	65
AC_WGS_37	94	134	290	37	73	0	3
RC596TH1	172	0	20	0	2264	0	20
RC597TH1	178	0	781	50	0	0	0
RC598TH1	92	113	597	19	36	102	26
RC599TH1	17	818	709	42	511	1044	64
RC602TH1	824	427	264	49	62	146	46
RC603TH1	33974	2996	2586	1236	1208	2133	555
