Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
PGENE_1T	7.66E-01	1.89E+00	1.98E+00	2.16E+00	1.09E+01	5.99E+00	1.22E+01
PGENE_2T	0.00E+00	4.71E-02	1.67E-01	1.69E-01	1.46E-01	2.68E-01	2.22E-01
PGENE_4T	1.29E+00	1.79E-01	1.11E+01	1.25E+01	6.88E+00	1.14E+01	9.97E+00
PGENE_5T	6.69E-01	2.63E+00	1.58E+00	1.50E+00	1.14E+01	7.39E+00	8.77E+00
PGENE_6T	2.57E-01	5.43E-01	5.78E-01	4.13E-01	3.49E+00	2.68E+00	2.91E+00
PGENE_8T	4.22E-01	1.61E+00	1.59E+00	2.68E+00	3.44E+00	3.50E+00	2.21E+00
PGENE_9T	3.12E-01	7.38E-01	5.41E-01	1.13E+00	1.76E+00	1.31E+00	1.80E+00
PGENE_10T	3.69E-01	6.82E-01	5.04E-01	6.55E-01	4.35E+00	3.14E+00	4.34E+00
AC_WGS_1T	4.54E-01	1.00E+00	9.83E-01	1.38E+00	8.31E+00	5.61E+00	7.48E+00
AC_WGS_2T	1.06E+00	2.69E+01	3.29E+01	3.28E+01	6.01E+00	7.98E+00	1.10E+01
AC_WGS_4	3.77E-01	1.25E+00	1.53E+00	1.87E+00	4.26E+00	3.31E+00	3.09E+00
AC_WGS_5	2.36E+00	1.78E+01	1.22E+01	1.74E+00	2.09E+01	4.47E+00	3.86E+01
AC_WGS_6	1.11E+00	4.66E+00	2.80E+00	2.98E+00	1.83E+01	1.22E+01	1.70E+01
AC_WGS_9T	5.50E-01	1.56E+00	1.12E+00	1.73E+00	1.10E+01	8.26E+00	9.74E+00
AC_WGS_10	6.54E-01	1.63E+00	1.81E+00	4.04E+00	1.52E+01	9.68E+00	1.62E+01
AC_WGS_44	0.00E+00	5.46E-02	6.24E-02	2.00E-03	3.54E-01	1.25E-01	3.12E-01
AC_WGS_12	4.37E-01	1.30E+00	1.04E+00	1.39E+00	2.39E+00	1.17E+00	2.83E+00
AC_WGS_13T	1.14E+01	2.93E+00	4.01E+00	4.12E+00	8.03E+00	7.63E+00	7.56E+00
AC_WGS_15	2.91E-01	9.38E-01	7.97E-01	9.09E-01	4.77E+00	3.50E+00	3.82E+00
AC_WGS_17	4.69E-01	1.50E+00	1.91E+00	2.50E+00	3.58E+00	3.52E+00	3.63E+00
AC_WGS_18T	1.73E-02	0.00E+00	3.89E-02	1.21E-01	3.01E-01	1.84E-01	2.72E-01
AC_WGS_20T	7.10E-02	0.00E+00	0.00E+00	1.29E-01	4.40E-01	7.12E-02	4.20E-01
AC_WGS_22	8.65E-01	1.30E+00	1.43E+00	2.28E+00	1.47E+01	1.04E+01	1.23E+01
AC_WGS_23	9.23E-01	3.37E+00	2.88E+00	3.69E+00	1.85E+01	1.42E+01	1.76E+01
AC_WGS_24	5.74E-03	1.12E-01	9.97E-02	2.80E-01	6.58E-01	3.65E-01	5.89E-01
AC_WGS_25	3.03E-01	8.47E-01	8.39E-01	9.40E-01	3.83E+00	3.24E+00	3.33E+00
AC_WGS_26	3.14E-01	5.78E-01	1.58E-01	4.65E-01	3.71E+00	2.47E+00	3.43E+00
AC_WGS_27	3.56E-01	8.67E-01	1.42E+00	1.11E+00	4.52E+00	3.97E+00	3.86E+00
AC_WGS_30	9.78E-01	4.40E+00	1.70E+00	3.86E+00	2.49E+01	1.64E+01	2.10E+01
AC_WGS_31	6.52E-02	0.00E+00	0.00E+00	4.37E-02	4.02E-01	2.00E-02	4.00E-01
AC_WGS_32	8.40E-01	2.78E+00	1.51E+00	1.70E+00	1.13E+01	7.23E+00	1.02E+01
AC_WGS_33	2.56E+00	9.53E+00	1.76E+01	4.86E+01	8.81E+01	1.65E+01	5.91E+01
AC_WGS_34	1.22E+00	5.65E+00	2.33E+00	2.44E+00	4.18E+00	7.14E+00	3.85E+00
AC_WGS_35	9.17E-02	3.22E-01	2.15E-01	3.09E-01	1.02E+00	8.94E-01	7.47E-01
AC_WGS_36	8.88E-01	4.48E+00	1.76E+00	1.61E+00	8.37E+00	7.15E+00	6.31E+00
AC_WGS_39	7.18E-01	1.94E+00	1.81E+00	2.12E+00	1.19E+01	8.52E+00	1.28E+01
AC_WGS_40	0.00E+00	0.00E+00	7.79E-03	2.63E-02	3.90E-01	8.35E-02	3.73E-01
AC_WGS_41	1.44E+00	9.37E+00	5.51E+00	8.38E+00	2.08E+01	1.74E+01	1.28E+01
AC_WGS_42	6.96E-02	0.00E+00	0.00E+00	9.51E-02	2.50E-01	5.56E-03	2.18E-01
AC_WGS_43	5.05E-02	7.60E-02	1.45E-01	2.17E-01	4.27E-01	1.80E-01	4.16E-01
AC_WGS_45	2.98E-02	0.00E+00	6.68E-02	1.04E-01	3.93E-01	6.63E-02	3.80E-01
AC_WGS_46	9.41E-02	0.00E+00	4.67E-02	1.26E-01	3.17E-01	2.50E-01	2.60E-01
AC_WGS_49	5.46E-01	2.27E+00	1.05E+00	1.04E+00	8.87E+00	6.03E+00	7.11E+00
AC_WGS_50	1.50E+00	6.83E+00	5.50E+00	4.00E+00	4.21E+01	7.89E+00	4.16E+01
AC_WGS_51	4.70E-01	1.46E+00	1.21E+00	1.43E+00	4.61E+00	3.16E+00	5.78E+00
AC_WGS_52	7.83E-01	3.04E+00	2.00E+00	1.79E+00	8.92E+00	6.59E+00	7.02E+00
AC_WGS_53	2.24E-01	4.10E-01	6.09E-01	8.07E-01	1.07E+00	9.86E-01	1.05E+00
AC_WGS_11	6.92E-01	3.29E+00	1.47E+00	1.56E+00	8.09E+00	6.71E+00	6.76E+00
AC_WGS_37	1.34E-01	5.55E-01	6.91E-01	8.76E-01	1.54E+00	1.44E+00	1.16E+00
RC596TH1	7.90E-01	3.90E+00	9.48E-01	1.22E+00	2.14E+00	4.42E+00	9.74E-01
RC597TH1	1.96E-01	5.40E-01	9.11E-01	1.84E+00	2.34E+00	2.43E+00	3.00E-01
RC598TH1	2.99E-01	6.09E-01	7.24E-01	1.16E+00	3.86E+00	3.00E+00	2.93E+00
RC599TH1	5.67E-01	2.17E+00	1.49E+00	1.75E+00	1.22E+01	7.40E+00	1.10E+01
RC602TH1	3.97E-01	7.20E-01	1.30E+00	2.19E+00	4.89E+00	3.70E+00	4.39E+00
RC603TH1	5.36E+00	8.38E+00	4.35E+01	5.41E+01	7.70E+01	4.27E+01	4.43E+01
