Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
PGENE_1T	234	124	862	396	956	181	514	91
PGENE_2T	0	1	0	0	0	60	17	0
PGENE_4T	9699	232	904	59	0	320	289	0
PGENE_5T	47	110	954	1011	38	425	566	61
PGENE_6T	0	68	304	47	0	152	27	13
PGENE_8T	172	92	201	277	0	1587	203	29
PGENE_9T	143	13	104	143	124	189	111	29
PGENE_10T	0	24	466	70	162	112	87	26
AC_WGS_1T	302	46	735	157	207	210	120	42
AC_WGS_2T	2709	20749	164	806	0	15	214	25
AC_WGS_4	194	276	234	312	277	756	11	34
AC_WGS_5	57	834	0	2185	0	0	5670	158
AC_WGS_6	409	84	1680	218	1204	1378	1444	206
AC_WGS_9T	84	33	1135	213	528	807	354	54
AC_WGS_10	592	188	1549	337	419	520	242	61
AC_WGS_44	0	0	22	0	14	0	0	0
AC_WGS_12	430	47	218	459	159	0	178	44
AC_WGS_13T	167	720	193	199	212	232	201	8597
AC_WGS_15	83	31	435	148	24	234	158	15
AC_WGS_17	213	243	214	277	286	1410	128	53
AC_WGS_18T	3	0	24	0	0	0	0	0
AC_WGS_20T	10	0	28	0	6	0	0	1
AC_WGS_22	175	98	1309	242	36	737	29	178
AC_WGS_23	1448	203	2247	658	554	1446	1225	84
AC_WGS_24	5	5	35	5	28	14	0	0
AC_WGS_25	23	70	414	125	47	366	80	20
AC_WGS_26	5	0	348	65	62	134	97	23
AC_WGS_27	27	181	387	103	346	452	69	25
AC_WGS_30	204	0	2217	266	458	818	1242	106
AC_WGS_31	0	0	25	0	9	0	0	1
AC_WGS_32	93	5	1029	842	628	512	946	129
AC_WGS_33	8308	1943	0	1098	8243	487	0	236
AC_WGS_34	62	247	0	3071	0	1576	311	161
AC_WGS_35	16	4	100	30	17	46	0	1
AC_WGS_36	125	133	547	1992	217	429	592	57
AC_WGS_39	208	71	1144	545	691	673	352	88
AC_WGS_40	0	0	23	0	8	0	0	0
AC_WGS_41	879	1161	1314	3349	1668	1665	0	57
AC_WGS_42	5	0	17	0	1	0	0	1
AC_WGS_43	7	0	2	1	29	5	19	1
AC_WGS_45	2	1	22	0	4	0	7	0
AC_WGS_46	2	1	21	0	6	13	3	3
AC_WGS_49	30	69	720	829	147	183	284	52
AC_WGS_50	0	45	353	838	3245	449	3199	142
AC_WGS_51	175	56	464	433	390	132	255	45
AC_WGS_52	261	227	888	871	263	472	805	115
AC_WGS_53	132	39	33	28	87	188	52	21
AC_WGS_11	131	162	817	1393	297	300	158	45
AC_WGS_37	81	38	95	72	134	209	0	2
RC596TH1	146	26	0	2263	0	21	0	20
RC597TH1	160	50	0	0	141	654	0	4
RC598TH1	86	41	345	36	54	406	0	17
RC599TH1	14	59	1080	483	352	447	728	42
RC602TH1	803	76	541	58	131	159	20	30
RC603TH1	33045	908	2198	1292	4595	1829	302	519
