Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
PGENE_1T	7.54E+00	2.06E+00	1.97E+00	9.55E+00	6.42E-01	2.14E+00	3.61E+00	1.79E+00
PGENE_2T	1.19E-01	1.55E-01	2.99E-02	2.66E-01	0.00E+00	2.73E-01	1.06E-01	1.56E-01
PGENE_4T	5.45E-01	8.89E+00	1.42E-01	5.04E+00	1.22E+00	8.70E+00	1.19E+01	1.15E+01
PGENE_5T	2.98E+00	1.41E+00	2.47E+00	3.08E+00	5.82E-01	2.21E+00	3.33E+00	1.29E+00
PGENE_6T	6.62E-01	5.02E-01	5.05E-01	5.70E-01	2.13E-01	8.19E-01	1.10E+00	2.67E-01
PGENE_8T	1.95E+00	1.53E+00	1.54E+00	1.94E+00	4.33E-01	2.72E+00	2.65E+00	2.76E+00
PGENE_9T	1.75E+00	4.93E-01	7.59E-01	1.07E+00	3.01E-01	8.63E-01	1.22E+00	1.24E+00
PGENE_10T	1.69E+00	5.38E-01	6.74E-01	1.69E+00	3.20E-01	8.97E-01	1.44E+00	4.77E-01
AC_WGS_1T	1.91E+00	1.02E+00	9.23E-01	1.84E+00	3.77E-01	1.37E+00	1.89E+00	1.40E+00
AC_WGS_2T	1.18E+01	3.66E+01	2.55E+01	1.27E+01	1.31E+00	4.12E+00	3.92E+00	3.67E+01
AC_WGS_4	3.02E+00	1.43E+00	1.23E+00	1.70E+00	3.83E-01	2.09E+00	1.88E+00	1.96E+00
AC_WGS_5	2.39E+00	8.79E+00	1.96E+01	2.38E+01	2.13E+00	3.60E+00	4.45E+00	4.11E+00
AC_WGS_6	6.75E+00	2.22E+00	4.67E+00	9.09E+00	1.03E+00	4.73E+00	7.90E+00	2.82E+00
AC_WGS_9T	3.34E+00	1.22E+00	1.62E+00	2.89E+00	5.07E-01	2.87E+00	4.06E+00	1.77E+00
AC_WGS_10	8.11E+00	1.94E+00	1.59E+00	3.28E+00	5.34E-01	2.36E+00	5.05E+00	4.51E+00
AC_WGS_44	3.18E-01	3.77E-02	5.46E-02	1.26E-01	0.00E+00	1.35E-02	2.98E-01	0.00E+00
AC_WGS_12	1.83E+00	9.50E-01	1.28E+00	1.69E+00	4.16E-01	5.28E-01	1.64E+00	1.47E+00
AC_WGS_13T	7.09E+00	4.40E+00	3.06E+00	7.65E+00	1.29E+01	5.10E+00	9.73E+00	3.93E+00
AC_WGS_15	1.14E+00	7.40E-01	9.06E-01	1.48E+00	2.66E-01	1.29E+00	1.52E+00	8.98E-01
AC_WGS_17	2.56E+00	1.72E+00	1.40E+00	2.68E+00	4.97E-01	2.76E+00	2.45E+00	2.51E+00
AC_WGS_18T	4.25E-02	1.60E-02	0.00E+00	9.41E-03	1.02E-02	5.21E-02	1.12E-01	9.11E-02
AC_WGS_20T	2.56E-01	0.00E+00	0.00E+00	4.22E-02	5.72E-02	1.38E-02	2.66E-01	1.36E-01
AC_WGS_22	2.26E+00	1.43E+00	1.20E+00	2.50E+00	7.58E-01	2.42E+00	2.98E+00	2.17E+00
AC_WGS_23	7.93E+00	2.57E+00	3.66E+00	8.36E+00	8.47E-01	4.52E+00	5.89E+00	3.52E+00
AC_WGS_24	4.32E-01	1.23E-01	1.12E-01	1.42E-01	0.00E+00	2.20E-01	3.59E-01	2.78E-01
AC_WGS_25	1.46E+00	8.58E-01	8.25E-01	1.35E+00	2.87E-01	1.34E+00	1.62E+00	8.41E-01
AC_WGS_26	1.26E+00	1.67E-01	5.79E-01	1.17E+00	2.87E-01	8.15E-01	1.22E+00	3.64E-01
AC_WGS_27	2.46E+00	1.37E+00	8.92E-01	1.71E+00	3.33E-01	2.18E+00	2.24E+00	8.35E-01
AC_WGS_30	7.80E+00	2.43E-01	3.95E+00	8.01E+00	8.17E-01	3.86E+00	5.78E+00	3.07E+00
AC_WGS_31	2.60E-01	0.00E+00	0.00E+00	9.14E-02	5.64E-02	1.00E-03	2.58E-01	3.19E-02
AC_WGS_32	6.37E+00	1.37E+00	2.89E+00	5.42E+00	7.66E-01	2.56E+00	4.97E+00	1.46E+00
AC_WGS_33	5.95E+01	1.21E+01	1.09E+01	2.10E+01	2.34E+00	1.00E+01	6.33E+00	6.03E+01
AC_WGS_34	3.47E+00	2.16E+00	4.74E+00	3.89E+00	1.05E+00	4.27E+00	3.96E+00	2.53E+00
AC_WGS_35	5.38E-01	2.23E-01	3.23E-01	2.34E-01	8.20E-02	4.74E-01	6.24E-01	2.93E-01
AC_WGS_36	3.02E+00	1.73E+00	4.09E+00	3.42E+00	8.07E-01	3.19E+00	3.82E+00	1.55E+00
AC_WGS_39	6.72E+00	2.15E+00	2.09E+00	8.05E+00	6.53E-01	2.59E+00	3.55E+00	1.94E+00
AC_WGS_40	1.69E-01	4.78E-03	0.00E+00	3.21E-02	1.00E-03	1.00E-03	1.70E-01	2.17E-02
AC_WGS_41	2.32E+01	4.67E+00	9.31E+00	1.59E+00	1.34E+00	6.47E+00	6.75E+00	1.20E+01
AC_WGS_42	1.32E-01	0.00E+00	0.00E+00	5.33E-02	6.22E-02	1.08E-02	1.76E-01	9.68E-02
AC_WGS_43	3.52E-01	1.33E-01	6.84E-02	3.55E-01	4.77E-02	1.60E-01	1.97E-01	2.03E-01
AC_WGS_45	1.64E-01	8.49E-02	0.00E+00	1.36E-01	3.56E-02	0.00E+00	1.84E-01	9.79E-02
AC_WGS_46	2.66E-01	4.45E-02	0.00E+00	8.66E-02	9.71E-02	1.84E-01	2.79E-01	1.22E-01
AC_WGS_49	1.89E+00	1.06E+00	2.10E+00	2.36E+00	4.87E-01	1.73E+00	2.59E+00	7.19E-01
AC_WGS_50	3.25E+01	4.11E+00	8.57E+00	3.17E+01	1.37E+00	5.85E+00	1.27E+01	3.96E+00
AC_WGS_51	2.91E+00	1.30E+00	1.55E+00	4.03E+00	4.32E-01	1.29E+00	2.23E+00	1.35E+00
AC_WGS_52	2.81E+00	1.88E+00	2.92E+00	4.05E+00	7.35E-01	2.51E+00	3.68E+00	1.79E+00
AC_WGS_53	1.08E+00	6.00E-01	4.41E-01	9.59E-01	2.20E-01	8.14E-01	9.09E-01	8.68E-01
AC_WGS_11	2.33E+00	1.56E+00	3.23E+00	2.79E+00	6.23E-01	2.26E+00	3.16E+00	1.49E+00
AC_WGS_37	1.08E+00	6.70E-01	5.48E-01	5.95E-01	1.38E-01	1.15E+00	1.02E+00	8.48E-01
RC596TH1	1.99E+00	9.44E-01	3.28E+00	1.34E+00	6.95E-01	2.60E+00	9.05E-01	1.29E+00
RC597TH1	2.45E+00	8.09E-01	3.96E-01	3.91E-01	2.00E-01	1.64E+00	1.04E-01	1.78E+00
RC598TH1	8.32E-01	6.54E-01	5.63E-01	1.14E+00	2.66E-01	1.41E+00	1.39E+00	1.02E+00
RC599TH1	8.31E+00	1.43E+00	2.22E+00	6.89E+00	4.88E-01	2.20E+00	3.62E+00	1.81E+00
RC602TH1	4.19E+00	1.15E+00	7.27E-01	4.72E-01	3.62E-01	1.72E+00	2.45E+00	2.54E+00
RC603TH1	1.10E+02	3.20E+01	9.55E+00	3.19E+01	5.27E+00	3.33E+01	5.46E+01	5.57E+01
