Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
PGENE_1T	211	334	288	765	396	268	54	952	90
PGENE_2T	0	0	3	0	0	63	12	0	0
PGENE_4T	9697	0	580	515	32	469	175	0	35
PGENE_5T	103	0	90	959	928	405	514	153	60
PGENE_6T	8	0	70	307	44	143	20	6	13
PGENE_8T	246	0	61	225	244	1541	218	0	26
PGENE_9T	90	221	0	83	126	163	112	34	27
PGENE_10T	0	106	27	468	62	102	57	100	25
AC_WGS_1T	251	306	28	719	137	157	118	63	40
AC_WGS_2T	2573	167	20731	34	800	60	180	94	43
AC_WGS_4	87	530	214	238	283	650	65	0	27
AC_WGS_5	167	178	394	30	1611	72	6261	29	162
AC_WGS_6	340	884	110	1641	138	1346	1113	854	197
AC_WGS_9T	79	415	0	1183	160	754	389	180	48
AC_WGS_10	410	867	121	1425	301	372	236	119	57
AC_WGS_44	0	2	1	19	0	0	0	14	0
AC_WGS_12	391	155	64	168	432	0	125	156	44
AC_WGS_13T	120	288	650	228	169	247	281	92	8446
AC_WGS_15	84	81	8	441	125	202	174	0	13
AC_WGS_17	210	253	249	201	267	1365	34	196	49
AC_WGS_18T	4	0	0	19	0	0	0	4	0
AC_WGS_20T	11	0	0	22	0	0	0	11	1
AC_WGS_22	244	0	96	1274	229	682	0	104	175
AC_WGS_23	1535	107	351	2110	593	1477	750	854	88
AC_WGS_24	0	31	4	30	4	11	0	12	0
AC_WGS_25	55	0	69	414	114	353	63	57	20
AC_WGS_26	12	44	0	351	57	123	77	47	23
AC_WGS_27	0	401	112	430	78	385	152	13	19
AC_WGS_30	276	244	0	2204	201	772	939	572	103
AC_WGS_31	1	0	0	18	0	0	0	15	1
AC_WGS_32	126	254	34	1029	754	546	756	559	126
AC_WGS_33	6026	9362	1754	0	859	0	434	1733	147
AC_WGS_34	107	0	288	0	2937	1547	0	394	155
AC_WGS_35	22	2	5	99	28	45	0	12	1
AC_WGS_36	94	372	9	594	1811	367	795	0	50
AC_WGS_39	227	247	181	1077	533	704	22	694	87
AC_WGS_40	0	3	0	20	0	0	0	8	0
AC_WGS_41	208	2868	987	1532	3200	1271	0	0	27
AC_WGS_42	5	0	0	9	0	0	0	9	1
AC_WGS_43	3	23	0	0	0	5	14	18	1
AC_WGS_45	1	4	1	21	0	0	4	5	0
AC_WGS_46	3	1	2	17	0	14	0	9	3
AC_WGS_49	22	197	24	745	756	143	331	47	49
AC_WGS_50	158	135	728	22	790	1089	1366	3837	146
AC_WGS_51	163	189	92	443	404	151	142	322	44
AC_WGS_52	238	337	159	926	757	419	838	119	109
AC_WGS_53	105	132	30	27	21	172	56	18	19
AC_WGS_11	124	248	137	842	1304	273	185	148	42
AC_WGS_37	41	197	28	118	67	180	0	0	0
RC596TH1	133	36	30	0	2213	39	0	0	25
RC597TH1	101	282	29	0	0	597	0	0	0
RC598TH1	63	166	12	333	26	344	28	0	13
RC599TH1	79	0	152	1009	455	482	358	626	44
RC602TH1	725	303	64	491	41	110	55	0	29
RC603TH1	28809	12233	943	0	965	456	691	116	475
