Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
PGENE_1T	2.05E+00	2.16E+00	4.84E+00	4.31E+00	6.18E-01	2.43E+00	1.89E+00	4.31E+00	4.20E+00
PGENE_2T	1.59E-01	2.80E-01	1.05E-01	2.03E-01	0.00E+00	1.48E-01	2.67E-02	1.01E-01	2.58E-01
PGENE_4T	1.28E+01	8.52E+00	2.09E+00	3.89E+00	1.57E+00	1.20E+01	1.52E-01	1.39E+01	3.16E+00
PGENE_5T	1.52E+00	2.28E+00	1.81E+00	2.14E+00	5.52E-01	1.56E+00	2.76E+00	2.92E+00	3.36E+00
PGENE_6T	5.43E-01	8.40E-01	4.94E-01	9.46E-01	2.07E-01	4.33E-01	4.79E-01	1.22E+00	4.18E-01
PGENE_8T	1.52E+00	2.63E+00	9.83E-01	2.23E+00	3.93E-01	2.68E+00	1.46E+00	2.84E+00	2.12E+00
PGENE_9T	5.71E-01	8.64E-01	1.18E+00	2.12E+00	2.97E-01	1.50E+00	7.52E-01	1.76E+00	1.20E+00
PGENE_10T	5.18E-01	9.41E-01	1.28E+00	1.26E+00	3.25E-01	3.39E-01	6.42E-01	1.56E+00	1.25E+00
AC_WGS_1T	1.06E+00	1.45E+00	1.27E+00	2.29E+00	3.78E-01	1.75E+00	9.62E-01	2.12E+00	1.86E+00
AC_WGS_2T	3.79E+01	3.62E+00	2.90E+00	1.80E+01	1.51E+00	4.19E+01	2.62E+01	2.90E+00	1.47E+01
AC_WGS_4	1.43E+00	1.94E+00	8.33E-01	3.33E+00	3.65E-01	2.22E+00	1.20E+00	1.87E+00	1.62E+00
AC_WGS_5	4.75E+00	6.34E+00	8.88E+00	5.96E+00	2.31E+00	3.61E+00	2.26E+01	7.34E+00	2.35E+01
AC_WGS_6	2.68E+00	4.79E+00	1.17E+01	6.66E+00	9.86E-01	3.49E+00	3.70E+00	1.00E+01	9.37E+00
AC_WGS_9T	8.07E-01	2.96E+00	3.70E+00	4.17E+00	4.95E-01	1.75E+00	1.87E+00	3.73E+00	2.94E+00
AC_WGS_10	2.73E+00	2.98E+00	6.66E+00	1.25E+01	5.78E-01	6.51E+00	1.64E+00	1.22E+01	3.62E+00
AC_WGS_44	6.97E-02	2.37E-02	2.76E-01	1.34E-01	0.00E+00	0.00E+00	5.53E-02	2.65E-01	3.75E-02
AC_WGS_12	1.06E+00	3.91E-01	1.53E+00	2.05E+00	4.06E-01	1.70E+00	1.21E+00	1.85E+00	1.78E+00
AC_WGS_13T	5.12E+00	4.54E+00	4.00E+00	8.13E+00	1.26E+01	3.77E+00	2.93E+00	1.03E+01	7.59E+00
AC_WGS_15	6.74E-01	1.35E+00	6.98E-01	1.45E+00	2.49E-01	9.64E-01	1.01E+00	1.49E+00	1.59E+00
