Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
PGENE_1T	3358	0.981	677.753	20.183%	89.389	19.724%	0.0338
PGENE_2T	78	0.838	60.6	77.692%	10.845	55.343%	0.5817
PGENE_4T	11503	0.996	1518.396	13.2%	292.678	9.271%	0.0192
PGENE_5T	3212	0.991	454.255	14.142%	64.444	13.523%	0.0205
PGENE_6T	611	0.956	174.473	28.555%	24.358	29.275%	0.0891
PGENE_8T	2561	0.993	341.128	13.32%	49.997	11.425%	0.0187
PGENE_9T	856	0.951	228.788	26.728%	39.66	31.02%	0.0847
PGENE_10T	947	0.955	266.824	28.176%	36.624	29.715%	0.064
AC_WGS_1T	1819	0.987	298.359	16.402%	39.585	15.904%	0.0258
AC_WGS_2T	24682	1.0	201.092	0.815%	30.807	0.491%	0.0001
AC_WGS_4	2094	0.984	442.253	21.12%	63.771	18.564%	0.0388
AC_WGS_5	8904	0.999	440.237	4.944%	78.187	5.528%	0.0024
AC_WGS_6	6623	0.975	1171.916	17.695%	188.378	22.49%	0.0384
AC_WGS_9T	3208	0.976	576.324	17.965%	91.149	21.675%	0.0285
AC_WGS_10	3908	0.947	890.64	22.79%	172.33	32.328%	0.0651
AC_WGS_44	36	0.585	47.667	132.408%	7.565	81.575%	1.2155
AC_WGS_12	1535	0.987	262.285	17.087%	39.367	15.902%	0.0357
AC_WGS_13T	10521	1.0	82.52	0.784%	23.44	0.783%	0.0
AC_WGS_15	1128	0.971	271.239	24.046%	36.213	23.725%	0.0501
AC_WGS_17	2824	0.995	336.864	11.929%	44.076	9.784%	0.0163
AC_WGS_18T	27	0.419	40.088	148.474%	7.862	90.783%	1.6646
AC_WGS_20T	45	0.607	51.341	114.091%	9.276	79.835%	1.1101
AC_WGS_22	2804	0.986	465.267	16.593%	64.679	16.787%	0.0237
AC_WGS_23	7865	0.993	921.347	11.715%	129.48	11.875%	0.0128
AC_WGS_24	92	0.687	81.681	88.784%	13.042	72.68%	0.711
AC_WGS_25	1145	0.974	271.36	23.7%	35.943	22.697%	0.0536
AC_WGS_26	734	0.96	201.478	27.449%	26.899	28.173%	0.0743
AC_WGS_27	1590	0.96	408.723	25.706%	64.944	27.995%	0.0652
AC_WGS_30	5311	0.969	984.867	18.544%	171.488	24.803%	0.0314
AC_WGS_31	35	0.593	41.756	119.303%	7.291	81.011%	1.1124
AC_WGS_32	4184	0.983	709.651	16.961%	101.446	19.011%	0.0243
AC_WGS_33	20315	0.997	1755.957	8.644%	318.782	8.017%	0.0096
AC_WGS_34	5428	0.988	947.054	17.448%	165.863	15.51%	0.026
AC_WGS_35	214	0.88	114.834	53.661%	15.95	47.617%	0.2973
AC_WGS_36	4092	0.99	676.903	16.542%	100.992	13.769%	0.0233
AC_WGS_39	3772	0.989	528.699	14.016%	74.777	14.74%	0.0195
AC_WGS_40	31	0.413	45.309	146.158%	9.947	91.184%	1.6685
AC_WGS_41	10093	0.994	1242.679	12.312%	193.194	11.484%	0.0121
AC_WGS_42	24	0.408	35.081	146.171%	8.385	91.488%	1.6584
AC_WGS_43	64	0.725	60.765	94.945%	8.558	68.962%	0.8047
AC_WGS_45	36	0.607	42.814	118.928%	6.87	79.862%	1.0938
AC_WGS_46	49	0.585	58.457	119.3%	8.697	81.1%	1.1213
AC_WGS_49	2314	0.991	363.103	15.692%	46.662	13.183%	0.0298
AC_WGS_50	8271	0.996	640.958	7.749%	95.407	8.756%	0.0052
AC_WGS_51	1950	0.984	355.468	18.229%	48.128	17.954%	0.0301
AC_WGS_52	3902	0.99	522.795	13.398%	76.5	14.122%	0.0197
AC_WGS_53	580	0.977	147.225	25.384%	20.277	21.214%	0.0908
AC_WGS_11	3303	0.995	384.844	11.651%	52.094	9.554%	0.0139
AC_WGS_37	631	0.953	222.642	35.284%	31.939	30.437%	0.1333
RC596TH1	2476	0.992	417.199	16.85%	103.497	13.858%	0.0229
RC597TH1	1009	0.984	248.242	24.603%	43.942	20.511%	0.0594
RC598TH1	985	0.96	294.474	29.896%	45.065	28.616%	0.0802
RC599TH1	3205	0.978	622.682	19.428%	85.977	20.709%	0.0322
RC602TH1	1818	0.981	414.674	22.809%	62.775	19.621%	0.0618
RC603TH1	44688	1.0	1717.434	3.843%	291.817	2.646%	0.0024
