,Stability (Avg Silhouette),Minimum Stability,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Significant Decrease of L2,Mean Sample KL,Maximum Sample KL
1,1.0,1.0,55.46%,65.64%,160.3%,68.48%,101.6%,True,0.4628,2.1937
2,1.0,1.0,35.07%,55.48%,157.51%,51.11%,96.92%,True,0.4085,2.0441
3,1.0,1.0,22.64%,53.21%,157.39%,48.95%,96.89%,False,0.3751,2.0367
4,1.0,1.0,12.58%,49.66%,157.11%,45.39%,96.77%,False,0.3665,2.0115
5,1.0,1.0,9.88%,45.35%,154.29%,38.19%,93.94%,True,0.3315,2.3884
6,0.99,0.97,8.76%,42.92%,155.06%,35.15%,92.94%,False,0.291,1.8401
7,0.82,0.35,7.94%,42.08%,157.88%,34.62%,93.08%,False,0.2838,1.8181
8*,0.9,0.56,6.71%,39.33%,145.25%,31.69%,91.78%,True,0.2665,1.6758
9,0.89,0.49,5.26%,38.44%,148.47%,30.34%,91.49%,False,0.266,1.6685
10,0.89,0.47,4.74%,37.65%,149.42%,29.3%,91.4%,False,0.2581,1.6668
11,0.8,0.24,4.2%,36.65%,148.24%,28.33%,90.48%,False,0.2501,1.659
12,0.79,0.14,3.94%,35.78%,145.42%,27.03%,86.03%,True,0.2368,1.5087
13,0.72,-0.03,3.61%,35.14%,143.16%,26.35%,84.89%,False,0.2301,1.4364
14,0.64,-0.11,3.4%,34.88%,145.66%,25.96%,84.97%,False,0.231,1.4526
15,0.6,-0.01,3.33%,32.67%,140.47%,23.96%,80.59%,False,0.2058,1.3555
