Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
PGENE_1T	0	376	1071	482	1429	0	0	0
PGENE_2T	0	0	0	0	0	78	0	0
PGENE_4T	10260	0	1243	0	0	0	0	0
PGENE_5T	0	0	998	1005	0	487	722	0
PGENE_6T	0	83	356	0	0	172	0	0
PGENE_8T	235	0	0	290	0	1656	380	0
PGENE_9T	165	0	0	193	275	223	0	0
PGENE_10T	0	0	529	97	321	0	0	0
AC_WGS_1T	364	0	814	153	0	249	239	0
AC_WGS_2T	2776	21906	0	0	0	0	0	0
AC_WGS_4	0	401	0	330	500	863	0	0
AC_WGS_5	0	883	0	2219	0	0	5802	0
AC_WGS_6	0	0	1777	0	1594	1564	1688	0
AC_WGS_9T	0	0	1266	269	800	873	0	0
AC_WGS_10	797	0	1732	447	932	0	0	0
AC_WGS_44	0	0	36	0	0	0	0	0
AC_WGS_12	473	0	285	513	264	0	0	0
AC_WGS_13T	0	0	0	0	0	0	1630	8891
AC_WGS_15	0	130	529	169	0	300	0	0
AC_WGS_17	412	0	0	284	0	1547	581	0
AC_WGS_18T	0	0	27	0	0	0	0	0
AC_WGS_20T	12	0	33	0	0	0	0	0
AC_WGS_22	242	0	1364	260	0	757	0	181
AC_WGS_23	1552	0	2246	652	573	1422	1420	0
AC_WGS_24	0	0	39	0	53	0	0	0
AC_WGS_25	0	114	485	138	0	408	0	0
AC_WGS_26	0	0	397	0	0	164	173	0
AC_WGS_27	0	228	475	0	384	503	0	0
AC_WGS_30	0	0	2519	0	0	1109	1683	0
AC_WGS_31	0	0	35	0	0	0	0	0
AC_WGS_32	0	0	1321	840	0	764	1259	0
AC_WGS_33	9827	0	0	0	10488	0	0	0
AC_WGS_34	0	0	0	3461	0	1967	0	0
AC_WGS_35	0	0	117	31	0	66	0	0
AC_WGS_36	0	0	648	1989	0	593	862	0
AC_WGS_39	0	0	1272	607	1117	776	0	0
AC_WGS_40	0	0	31	0	0	0	0	0
AC_WGS_41	1547	0	0	3831	3017	1698	0	0
AC_WGS_42	0	0	24	0	0	0	0	0
AC_WGS_43	0	0	0	0	64	0	0	0
AC_WGS_45	0	0	36	0	0	0	0	0
AC_WGS_46	0	0	30	0	0	19	0	0
AC_WGS_49	0	0	796	829	0	258	431	0
AC_WGS_50	0	0	0	912	3886	0	3473	0
AC_WGS_51	233	0	574	514	629	0	0	0
AC_WGS_52	452	0	940	911	542	0	1057	0
AC_WGS_53	154	0	0	0	102	198	126	0
AC_WGS_11	359	0	988	1450	0	0	506	0
AC_WGS_37	106	0	0	89	212	224	0	0
RC596TH1	0	0	0	2476	0	0	0	0
RC597TH1	237	0	0	0	0	772	0	0
RC598TH1	122	0	415	0	0	448	0	0
RC599TH1	0	0	1215	473	0	573	944	0
RC602TH1	900	0	626	0	292	0	0	0
RC603TH1	35908	0	0	0	8780	0	0	0
