Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
PGENE_1T	3358	0.952	995.528	29.646%	139.392	30.758%	0.085
PGENE_2T	78	0.824	64.014	82.069%	11.128	56.787%	0.726
PGENE_4T	11503	0.989	2575.033	22.386%	471.409	14.932%	0.0547
PGENE_5T	3212	0.986	570.863	17.773%	78.166	16.402%	0.0332
PGENE_6T	611	0.94	196.405	32.145%	28.971	34.819%	0.1243
PGENE_8T	2561	0.99	434.797	16.978%	62.199	14.214%	0.03
PGENE_9T	856	0.927	304.045	35.519%	51.803	40.518%	0.1402
PGENE_10T	947	0.932	318.522	33.635%	45.029	36.534%	0.1295
AC_WGS_1T	1819	0.981	361.763	19.888%	48.924	19.656%	0.039
AC_WGS_2T	24682	0.999	1738.938	7.045%	388.902	6.196%	0.0047
AC_WGS_4	2094	0.966	595.731	28.449%	89.162	25.955%	0.078
AC_WGS_5	8904	0.989	1132.195	12.716%	211.096	14.925%	0.0214
AC_WGS_6	6623	0.962	1488.15	22.469%	230.602	27.531%	0.058
AC_WGS_9T	3208	0.968	711.968	22.194%	107.251	25.504%	0.0526
AC_WGS_10	3908	0.928	1167.167	29.866%	204.336	38.332%	0.1152
AC_WGS_44	36	0.536	46.621	129.503%	7.837	84.509%	1.3764
AC_WGS_12	1535	0.98	354.403	23.088%	52.576	21.237%	0.054
AC_WGS_13T	10521	0.997	1434.21	13.632%	253.028	8.455%	0.0476
AC_WGS_15	1128	0.957	328.351	29.109%	44.896	29.414%	0.073
AC_WGS_17	2824	0.985	584.704	20.705%	83.232	18.476%	0.0464
AC_WGS_18T	27	0.427	40.007	148.174%	7.834	90.459%	1.6127
AC_WGS_20T	45	0.599	49.549	110.109%	9.303	80.067%	1.0973
AC_WGS_22	2804	0.984	486.447	17.348%	68.602	17.806%	0.0315
AC_WGS_23	7865	0.991	992.024	12.613%	150.15	13.771%	0.0162
AC_WGS_24	92	0.65	90.834	98.733%	13.641	76.018%	0.8655
AC_WGS_25	1145	0.97	301.385	26.322%	39.318	24.829%	0.069
AC_WGS_26	734	0.937	246.611	33.598%	33.532	35.12%	0.1062
AC_WGS_27	1590	0.943	505.666	31.803%	77.623	33.46%	0.0894
AC_WGS_30	5311	0.955	1298.88	24.456%	205.936	29.785%	0.0531
AC_WGS_31	35	0.546	44.444	126.983%	7.54	83.778%	1.1951
AC_WGS_32	4184	0.97	913.281	21.828%	137.159	25.704%	0.0443
AC_WGS_33	20315	0.987	3339.377	16.438%	660.376	16.607%	0.0497
AC_WGS_34	5428	0.979	1486.629	27.388%	263.523	24.642%	0.0967
AC_WGS_35	214	0.859	120.556	56.335%	17.191	51.322%	0.3623
AC_WGS_36	4092	0.986	820.24	20.045%	123.548	16.844%	0.0377
AC_WGS_39	3772	0.971	782.547	20.746%	120.514	23.755%	0.0556
AC_WGS_40	31	0.413	44.897	144.829%	9.937	91.092%	1.6066
AC_WGS_41	10093	0.974	2298.643	22.775%	384.448	22.853%	0.0549
AC_WGS_42	24	0.352	37.415	155.896%	8.584	93.659%	1.75
AC_WGS_43	64	0.67	68.231	106.611%	9.293	74.885%	1.0872
AC_WGS_45	36	0.582	42.745	118.736%	7.001	81.385%	1.4302
AC_WGS_46	49	0.565	59.839	122.12%	8.889	82.89%	1.2183
AC_WGS_49	2314	0.986	430.991	18.625%	59.628	16.846%	0.047
AC_WGS_50	8271	0.96	1838.884	22.233%	305.367	28.026%	0.0479
AC_WGS_51	1950	0.969	482.114	24.724%	68.764	25.652%	0.0619
AC_WGS_52	3902	0.974	887.611	22.748%	124.008	22.892%	0.0543
AC_WGS_53	580	0.966	189.126	32.608%	24.946	26.099%	0.1241
AC_WGS_11	3303	0.986	623.759	18.885%	91.724	16.821%	0.0364
AC_WGS_37	631	0.939	252.997	40.095%	36.334	34.626%	0.1644
RC596TH1	2476	0.986	596.176	24.078%	123.603	16.55%	0.0961
RC597TH1	1009	0.974	283.511	28.098%	48.917	22.833%	0.0687
RC598TH1	985	0.948	338.688	34.385%	50.139	31.838%	0.1093
RC599TH1	3205	0.965	768.891	23.99%	109.614	26.402%	0.054
RC602TH1	1818	0.974	548.079	30.147%	78.527	24.544%	0.1058
RC603TH1	44688	0.997	5542.805	12.403%	1085.316	9.843%	0.0301
