Samples	SBS1	SBS2	SBS5	SBS7a	SBS7b	SBS7c	SBS7d	SBS9	SBS13	SBS17a	SBS17b	SBS31	SBS32	SBS33	SBS34	SBS35	SBS36	SBS38	SBS40	SBS54
PGENE_1T	173	169	2042	0	229	0	140	0	57	0	203	0	0	0	0	0	0	345	0	0
PGENE_2T	0	7	42	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0
PGENE_4T	217	0	2657	5841	2172	0	616	0	0	0	0	0	0	0	0	0	0	0	0	0
PGENE_5T	265	0	1777	0	0	0	0	0	130	0	0	0	0	0	141	0	189	710	0	0
PGENE_6T	63	0	462	0	0	0	0	0	45	0	0	0	0	0	0	0	41	0	0	0
PGENE_8T	146	303	1157	0	0	0	0	0	473	0	0	0	0	0	0	0	301	181	0	0
PGENE_9T	25	71	153	0	71	0	106	0	52	0	0	0	0	0	0	0	0	96	282	0
PGENE_10T	141	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	619	0
AC_WGS_1T	158	51	948	198	0	0	107	141	50	0	0	0	0	0	49	0	0	117	0	0
AC_WGS_2T	0	0	0	2494	5302	0	0	0	0	0	0	8909	7977	0	0	0	0	0	0	0
AC_WGS_4	139	273	963	0	256	0	0	0	201	0	0	0	0	0	0	0	0	262	0	0
AC_WGS_5	344	0	2860	0	0	0	0	0	0	0	0	2038	0	0	0	1833	0	1829	0	0
AC_WGS_6	356	335	1192	0	0	0	0	963	215	0	0	0	0	0	0	0	0	0	3562	0
AC_WGS_9T	241	137	955	0	0	0	0	0	142	0	0	0	0	0	173	0	336	0	1224	0
AC_WGS_10	348	0	570	362	0	0	373	0	0	0	0	0	0	0	0	0	0	0	2255	0
AC_WGS_44	5	0	15	0	0	0	0	0	0	6	0	0	0	0	10	0	0	0	0	0
AC_WGS_12	51	0	558	220	84	0	58	0	0	0	0	0	0	0	0	0	0	303	261	0
AC_WGS_13T	397	0	1916	0	0	0	0	0	0	0	0	0	0	6875	0	0	0	0	0	1333
AC_WGS_15	132	54	316	0	0	0	0	0	44	0	0	0	0	0	40	0	0	93	449	0
AC_WGS_17	118	333	1409	0	260	0	0	0	446	0	0	0	0	0	0	0	0	258	0	0
AC_WGS_18T	2	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC_WGS_20T	2	0	13	8	0	7	0	0	0	0	0	0	0	0	15	0	0	0	0	0
AC_WGS_22	316	146	1752	0	0	0	0	0	198	0	0	0	0	0	120	0	134	138	0	0
AC_WGS_23	631	0	1258	840	425	0	300	0	363	0	0	0	0	0	0	0	0	387	3661	0
AC_WGS_24	4	0	16	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	57	0
AC_WGS_25	120	46	591	0	77	0	0	0	110	0	0	0	0	0	0	0	121	80	0	0
AC_WGS_26	82	17	426	0	0	0	0	107	34	0	0	0	0	0	0	0	68	0	0	0
AC_WGS_27	93	117	578	0	0	0	0	0	67	0	0	159	0	0	0	0	0	0	576	0
AC_WGS_30	482	254	2655	0	0	0	0	1130	217	0	0	0	0	0	0	573	0	0	0	0
AC_WGS_31	1	0	19	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0
AC_WGS_32	180	114	2215	0	0	0	0	563	148	0	0	0	0	0	0	365	0	599	0	0
AC_WGS_33	502	1390	724	3347	4040	0	568	0	0	0	0	0	0	0	0	0	0	0	9744	0
AC_WGS_34	278	210	2203	0	0	0	0	0	609	0	0	0	0	0	0	0	0	2128	0	0
AC_WGS_35	27	7	131	0	0	0	0	0	12	0	0	0	0	0	0	0	22	15	0	0
AC_WGS_36	282	121	1705	0	0	0	0	0	104	0	0	0	0	0	0	309	247	1324	0	0
AC_WGS_39	277	228	2291	0	0	0	0	0	211	0	125	0	0	0	215	0	0	425	0	0
AC_WGS_40	2	0	14	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0
AC_WGS_41	884	861	2137	0	897	0	0	0	259	0	0	0	0	0	0	0	0	2287	2768	0
AC_WGS_42	0	0	13	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0
AC_WGS_43	2	6	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	49	0
