Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
PGENE_1T	3358	0.967	768.211	22.877%	118.299	26.103%	0.0612
PGENE_2T	78	0.83	66.882	85.746%	10.981	56.037%	0.6914
PGENE_4T	11503	0.98	3442.111	29.924%	672.869	21.313%	0.1173
PGENE_5T	3212	0.978	761.263	23.701%	103.749	21.771%	0.0513
PGENE_6T	611	0.934	212.389	34.761%	30.287	36.401%	0.1254
PGENE_8T	2561	0.977	652.388	25.474%	94.707	21.643%	0.0564
PGENE_9T	856	0.965	232.047	27.108%	34.005	26.597%	0.0971
PGENE_10T	947	0.961	267.17	28.212%	34.518	28.006%	0.0722
AC_WGS_1T	1819	0.974	399.05	21.938%	58.978	23.696%	0.0544
AC_WGS_2T	24682	0.97	7971.503	32.297%	1605.224	25.573%	0.1076
AC_WGS_4	2094	0.976	510.047	24.358%	77.196	22.472%	0.0548
AC_WGS_5	8904	0.958	2948.513	33.114%	419.853	29.684%	0.0939
AC_WGS_6	6623	0.966	1604.307	24.223%	217.701	25.991%	0.0497
AC_WGS_9T	3208	0.969	727.256	22.67%	105.11	24.995%	0.0469
AC_WGS_10	3908	0.926	1241.349	31.764%	202.705	38.026%	0.1239
AC_WGS_44	36	0.696	39.591	109.975%	6.659	71.806%	1.0754
AC_WGS_12	1535	0.986	294.846	19.208%	41.655	16.826%	0.0501
AC_WGS_13T	10521	0.993	2378.958	22.612%	390.382	13.045%	0.0754
AC_WGS_15	1128	0.951	347.478	30.805%	47.69	31.244%	0.0886
AC_WGS_17	2824	0.976	679.728	24.07%	102.909	22.844%	0.058
AC_WGS_18T	27	0.353	41.536	153.837%	8.119	93.75%	1.9736
AC_WGS_20T	45	0.773	44.809	99.576%	7.38	63.517%	0.9501
AC_WGS_22	2804	0.972	647.284	23.084%	92.443	23.994%	0.0502
AC_WGS_23	7865	0.974	1868.092	23.752%	249.694	22.901%	0.0554
AC_WGS_24	92	0.672	86.102	93.589%	13.281	74.012%	0.8118
AC_WGS_25	1145	0.954	345.286	30.156%	50.065	31.615%	0.0965
AC_WGS_26	734	0.94	241.77	32.939%	33.588	35.179%	0.1105
AC_WGS_27	1590	0.948	477.308	30.019%	73.858	31.837%	0.0898
AC_WGS_30	5311	0.905	1882.148	35.439%	298.185	43.128%	0.1158
AC_WGS_31	35	0.838	32.655	93.3%	4.918	54.644%	0.8953
AC_WGS_32	4184	0.965	1025.313	24.506%	146.002	27.361%	0.0562
AC_WGS_33	20315	0.99	4051.862	19.945%	570.671	14.351%	0.0477
AC_WGS_34	5428	0.981	1245.354	22.943%	218.039	20.389%	0.0505
AC_WGS_35	214	0.867	124.323	58.095%	16.766	50.053%	0.3153
AC_WGS_36	4092	0.986	864.639	21.13%	127.731	17.414%	0.0534
AC_WGS_39	3772	0.975	801.138	21.239%	115.89	22.844%	0.0376
AC_WGS_40	31	0.631	41.317	133.281%	8.465	77.599%	1.5214
AC_WGS_41	10093	0.986	2068.073	20.49%	286.868	17.052%	0.042
AC_WGS_42	24	0.605	33.33	138.875%	7.3	79.65%	1.4542
AC_WGS_43	64	0.74	59.388	92.794%	8.347	67.262%	0.8167
AC_WGS_45	36	0.702	38.953	108.203%	6.128	71.237%	1.0767
AC_WGS_46	49	0.546	60.161	122.778%	9.034	84.242%	1.1889
AC_WGS_49	2314	0.976	563.153	24.337%	82.082	23.19%	0.0565
AC_WGS_50	8271	0.974	1700.583	20.561%	245.114	22.496%	0.0384
AC_WGS_51	1950	0.973	433.116	22.211%	61.549	22.961%	0.0498
AC_WGS_52	3902	0.967	1042.34	26.713%	138.923	25.645%	0.0599
AC_WGS_53	580	0.973	168.653	29.078%	22.26	23.289%	0.1105
AC_WGS_11	3303	0.987	618.175	18.716%	87.681	16.08%	0.0368
AC_WGS_37	631	0.947	217.464	34.463%	33.747	32.16%	0.1542
RC596TH1	2476	0.982	689.374	27.842%	140.464	18.807%	0.0642
RC597TH1	1009	0.974	308.635	30.588%	50.285	23.471%	0.1149
RC598TH1	985	0.97	292.845	29.73%	40.414	25.662%	0.096
RC599TH1	3205	0.962	873.551	27.256%	113.405	27.315%	0.0629
RC602TH1	1818	0.975	490.358	26.972%	73.217	22.884%	0.099
RC603TH1	44688	0.995	8327.947	18.636%	1246.064	11.301%	0.0587
