sample	SBS7a	SBS7b	SBS7c	SBS7d	SBS38	Site
AC_WGS_10	0.092630502	0	0	0.095445241	0	Hand
AC_WGS_11	0.028156222	0	0	0	0.267029973	Foot
AC_WGS_12	0.143322476	0.054723127	0	0.037785016	0.197394137	Foot
AC_WGS_13T	0	0	0	0	0	Foot
AC_WGS_15	0	0	0	0	0.082446809	Foot
AC_WGS_17	0	0.092067989	0	0	0.091359773	Foot
AC_WGS_18T	0	0	0	0	0	Foot
AC_WGS_1T	0.108851017	0	0	0.058823529	0.064321056	Foot
AC_WGS_20T	0.177777778	0	0.155555556	0	0	Foot
AC_WGS_22	0	0	0	0	0.049215407	Foot
AC_WGS_23	0.106802289	0.054036872	0	0.038143675	0.04920534	Fingernail
AC_WGS_24	0	0	0	0	0	Foot
AC_WGS_25	0	0.067248908	0	0	0.069868996	Foot
AC_WGS_26	0	0	0	0	0	Foot
AC_WGS_27	0	0	0	0	0	Foot
AC_WGS_2T	0.101045296	0.214812414	0	0	0	Hand
AC_WGS_30	0	0	0	0	0	Foot
AC_WGS_31	0	0	0	0	0	Foot
AC_WGS_32	0	0	0	0	0.143164436	Foot
AC_WGS_33	0.164755107	0.198867832	0	0.027959636	0	Fingernail
AC_WGS_34	0	0	0	0	0.392041268	Foot
AC_WGS_35	0	0	0	0	0.070093458	Foot
AC_WGS_36	0	0	0	0	0.323558162	Foot
AC_WGS_37	0	0.085578447	0	0	0.071315372	Fingernail
AC_WGS_39	0	0	0	0	0.112672322	Foot
AC_WGS_4	0	0.122254059	0	0	0.125119389	Foot
AC_WGS_40	0	0	0	0	0	Fingernail
AC_WGS_41	0	0.088873477	0	0	0.226592688	Foot
AC_WGS_42	0	0	0	0	0	Foot
AC_WGS_43	0	0	0	0	0	Foot
AC_WGS_44	0	0	0	0	0	Foot
AC_WGS_45	0	0	0	0	0	Foot
AC_WGS_46	0	0	0	0	0	Foot
AC_WGS_49	0	0	0	0	0.260587727	Foot
AC_WGS_5	0	0	0	0	0.205413297	Foot
AC_WGS_50	0	0	0	0	0.061540322	Foot
AC_WGS_51	0.065641026	0	0	0.030769231	0.135897436	Foot
AC_WGS_52	0	0.075345976	0	0	0.146078934	Foot
AC_WGS_53	0	0.155172414	0	0.043103448	0	Fingernail
AC_WGS_6	0	0	0	0	0	Foot
AC_WGS_9T	0	0	0	0	0	Foot
PGENE_10T	0	0	0	0	0	Foot
PGENE_1T	0	0.068195354	0	0.041691483	0.102739726	Foot
PGENE_2T	0	0	0	0	0	Foot
PGENE_4T	0.507780579	0.188820308	0	0.053551248	0	Foot
PGENE_5T	0	0	0	0	0.221046077	Toenail
PGENE_6T	0	0	0	0	0	Foot
PGENE_8T	0	0	0	0	0.070675517	Foot
PGENE_9T	0	0.082943925	0	0.123831776	0.112149533	Hand
RC596TH1	0	0	0	0	0.641357027	Foot
RC597TH1	0	0.124876115	0	0	0	Foot
RC598TH1	0	0	0	0	0	Foot
RC599TH1	0	0	0	0	0.100156006	Foot
RC602TH1	0.234323432	0.099559956	0	0.091309131	0	Hand
RC603TH1	0.450881668	0.123545471	0	0.086801826	0	Hand
