sample	SBS2	SBS13	BND	DEL	DUP	INV
AC_WGS_10	0	0	154	82	46	142
AC_WGS_11	0	0	36	43	20	47
AC_WGS_12	0	0	17	65	0	3
AC_WGS_13T	0	0	76	76	51	94
AC_WGS_15	0.04787234	0.039007092	42	23	12	37
AC_WGS_17	0.117917847	0.157932011	175	110	54	201
AC_WGS_18T	0	0	3	0	0	0
AC_WGS_1T	0.028037383	0.027487631	31	67	18	50
AC_WGS_20T	0	0	2	0	0	1
AC_WGS_22	0.052068474	0.070613409	71	856	30	35
AC_WGS_23	0	0.046153846	24	60	25	59
AC_WGS_24	0	0	5	7	5	17
AC_WGS_25	0.040174672	0.096069869	59	41	37	65
AC_WGS_26	0.023160763	0.046321526	14	14	5	11
AC_WGS_27	0.073584906	0.042138365	228	58	33	94
AC_WGS_2T	0	0	23	67	21	51
AC_WGS_30	0.047825268	0.040858595	26	56	44	64
AC_WGS_31	0	0	0	0	0	0
AC_WGS_32	0.027246654	0.035372849	146	64	36	120
AC_WGS_33	0.068422348	0	9	123	49	103
AC_WGS_34	0.038688283	0.112196021	93	77	47	71
AC_WGS_35	0.03271028	0.056074766	5	10	5	23
AC_WGS_36	0.029569892	0.025415445	85	79	74	147
AC_WGS_37	0.137876387	0.06022187	106	96	33	110
AC_WGS_39	0.060445387	0.055938494	115	90	45	97
AC_WGS_4	0.130372493	0.095988539	205	93	47	152
AC_WGS_40	0	0	3	8	0	0
AC_WGS_41	0.085306648	0.025661349	370	165	138	278
AC_WGS_42	0	0	1	0	0	0
AC_WGS_43	0.09375	0	6	1	4	5
AC_WGS_44	0	0	3	0	0	0
AC_WGS_45	0	0	5	0	0	0
AC_WGS_46	0	0	0	2	1	5
AC_WGS_49	0	0	21	26	6	27
AC_WGS_5	0	0	228	59	58	134
AC_WGS_50	0	0	85	77	41	90
AC_WGS_51	0	0	15	25	5	15
AC_WGS_52	0	0	136	79	40	119
AC_WGS_53	0.120689655	0.075862069	50	56	18	25
AC_WGS_6	0.050581308	0.03246263	232	129	98	206
AC_WGS_9T	0.042705736	0.044264339	70	87	61	100
PGENE_10T	0	0	22	50	51	122
PGENE_1T	0.050327576	0.01697439	23	69	27	54
PGENE_2T	0.08974359	0.371794872	9	7	2	11
PGENE_4T	0	0	91	126	65	124
PGENE_5T	0	0.040473225	9	50	12	37
PGENE_6T	0	0.073649755	30	33	11	44
PGENE_8T	0.118313159	0.184693479	156	154	108	294
PGENE_9T	0.082943925	0.060747664	5	22	15	26
RC596TH1	0	0	28	23	9	19
RC597TH1	0.229930624	0.206144698	267	96	80	175
RC598TH1	0.132994924	0.112690355	40	41	21	71
RC599TH1	0	0.034945398	17	75	47	109
RC602TH1	0	0	6	37	21	63
RC603TH1	0	0	140	217	170	283
