sample	Unknown	TMB
AC_WGS_10	0	1.7
AC_WGS_11	0	1.54
AC_WGS_12	0	0.87
AC_WGS_13T	0.780153978	3.93
AC_WGS_15	0.035460993	0.88
AC_WGS_17	0	1.36
AC_WGS_18T	0	0.47
AC_WGS_1T	0.026937878	1.09
AC_WGS_20T	0.333333333	0.4
AC_WGS_22	0.042796006	1.28
AC_WGS_23	0	3.12
AC_WGS_24	0.163043478	0.23
AC_WGS_25	0	0.81
AC_WGS_26	0	0.64
AC_WGS_27	0	0.94
AC_WGS_2T	0	8.67
AC_WGS_30	0	2.22
AC_WGS_31	0.428571429	0.53
AC_WGS_32	0	1.92
AC_WGS_33	0	7.2
AC_WGS_34	0	2.36
AC_WGS_35	0	0.53
AC_WGS_36	0	1.98
AC_WGS_37	0	0.58
AC_WGS_39	0.05699894	1.87
AC_WGS_4	0	1.13
AC_WGS_40	0.483870968	0.38
AC_WGS_41	0	3.87
AC_WGS_42	0.458333333	0.35
AC_WGS_43	0	0.5
AC_WGS_44	0.277777778	0.45
AC_WGS_45	0.277777778	0.42
AC_WGS_46	0.163265306	0.44
AC_WGS_49	0.031979257	1.12
AC_WGS_5	0	3.4
AC_WGS_50	0	3.12
AC_WGS_51	0.033333333	1.05
AC_WGS_52	0	1.65
AC_WGS_53	0	0.52
AC_WGS_6	0	2.79
AC_WGS_9T	0.053927681	1.66
PGENE_10T	0	0.68
PGENE_1T	0	1.39
PGENE_2T	0	0.36
PGENE_4T	0	4.15
PGENE_5T	0.043897883	1.38
PGENE_6T	0	0.46
PGENE_8T	0	1.06
PGENE_9T	0	0.6
RC596TH1	0	1.02
RC597TH1	0	0.54
RC598TH1	0	0.43
RC599TH1	0	1.21
RC602TH1	0	0.79
RC603TH1	0	15.15
