sample	ID1	ID2	ID83B	Gene
AC_WGS_10	0.737430168	0.262569832	0	Other
AC_WGS_11	0.526397516	0.206521739	0.267080745	NRAS
AC_WGS_12	0.56185567	0.148011782	0.290132548	BRAF
AC_WGS_13T	0.791826309	0.208173691	0	Other
AC_WGS_15	0.616438356	0.140722291	0.242839352	Other
AC_WGS_17	0.47109067	0.134691196	0.394218134	Other
AC_WGS_18T	0.618105516	0.127697842	0.254196643	Other
AC_WGS_1T	0.739092496	0.260907504	0	NRAS
AC_WGS_20T	0.77753304	0.22246696	0	Other
AC_WGS_22	0.589784946	0.16827957	0.241935484	NRAS
AC_WGS_23	0.744815149	0.255184851	0	Other
AC_WGS_24	0.620840153	0.14457174	0.234588107	Other
AC_WGS_25	0.733637747	0.266362253	0	Other
AC_WGS_26	0.722021661	0.277978339	0	Other
AC_WGS_27	0.560645161	0.112903226	0.326451613	NRAS
AC_WGS_2T	0.522200772	0.166988417	0.310810811	BRAF
AC_WGS_30	0.73699422	0.26300578	0	Other
AC_WGS_31	0.759467041	0.240532959	0	Other
AC_WGS_32	0.764027671	0.235972329	0	Other
AC_WGS_33	0.758704453	0.241295547	0	Other
AC_WGS_34	0.747832939	0.252167061	0	Other
AC_WGS_35	0.54887218	0.152255639	0.29887218	Other
AC_WGS_36	0.540789474	0.122368421	0.336842105	NRAS
AC_WGS_37	0.733263598	0.266736402	0	Other
AC_WGS_39	0.439260563	0.144366197	0.416373239	NRAS
AC_WGS_4	0.529185375	0.1533034	0.317511225	NRAS
AC_WGS_40	0.729752066	0.270247934	0	Other
AC_WGS_41	0.51996286	0.17455896	0.30547818	Other
AC_WGS_42	0.719796954	0.280203046	0	Other
AC_WGS_43	0.592634561	0.142209632	0.265155807	Other
AC_WGS_44	0.481601033	0.124596514	0.393802453	Other
AC_WGS_45	0.791036415	0.208963585	0	Other
AC_WGS_46	0.751598174	0.248401826	0	Other
AC_WGS_49	0.773119605	0.226880395	0	Other
AC_WGS_5	0.720890411	0.279109589	0	Other
AC_WGS_50	0.787064677	0.212935323	0	NRAS
AC_WGS_51	0.599069767	0.132093023	0.268837209	BRAF
AC_WGS_52	0.490790899	0.208017335	0.301191766	NRAS
AC_WGS_53	0.72	0.28	0	Other
AC_WGS_6	0.77484472	0.22515528	0	Other
AC_WGS_9T	0.578456319	0.127226463	0.294317218	NRAS
PGENE_10T	0.587870434	0.154376292	0.257753274	Other
PGENE_1T	0.505403159	0.182876143	0.311720698	BRAF
PGENE_2T	0.549734244	0.170083523	0.280182232	Other
PGENE_4T	0.588785047	0.142056075	0.269158879	Other
PGENE_5T	0.533385703	0.129615082	0.336999214	NRAS
PGENE_6T	0.765056254	0.234943746	0	Other
PGENE_8T	0.753968254	0.246031746	0	NRAS
PGENE_9T	0.765602322	0.234397678	0	BRAF
RC596TH1	0.367892977	0.198996656	0.433110368	BRAF
RC597TH1	0.386252046	0.252045827	0.361702128	Other
RC598TH1	0.369636964	0.194719472	0.435643564	Other
RC599TH1	0.255760369	0.184331797	0.559907834	NRAS
RC602TH1	0.357781753	0.218246869	0.423971377	Other
RC603TH1	0.297587131	0	0.702412869	Other
